SL. No.,Category,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Seas - Number,River & Seas - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishment - Number,Commercial Establishment - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,257,55.9,84,5.3,0,0,7,7.7,6,28.9,7,32.2,69,19.1,430,149.1
2,State,Arunachal Pradesh,5,0.2,0,0,0,0,0,0,0,0,0,0,7,0.5,12,0.8
3,State,Assam,320,33.9,73,20.2,2,0.1,4,0.3,0,0,7,0.7,127,20.9,533,76
4,State,Bihar,2210,235.1,397,22.8,0,0,86,4.7,12,19.3,82,5.2,336,16.8,3123,303.8
5,State,Goa,3,1.1,0,0,0,0,0,0,0,0,0,0,4,0.1,7,1.2
6,State,Gujarat,128,21.8,20,3.1,0,0,2,0.5,0,0,3,0.4,38,3.2,191,29
7,State,Haryana,7,1.2,5,6.1,0,0,2,0,0,0,4,0.3,8,3.7,26,11.3
8,State,Himachal Pradesh,1,0.2,0,0,0,0,0,0,0,0,1,0.9,2,0,4,0.6
9,State,Jammu & Kashmir,7,1.2,1,0.2,0,0,0,0,0,0,0,0,9,0.5,17,1.9
10,State,Karnataka,184,6.9,5,0.9,1,0,1,0,0,0,2,2.4,150,8.9,343,19.1
11,State,Kerala,21,6.1,7,7.4,2,0,0,0,2,0,0,0,35,15.8,67,29.3
12,State,Madhya Pradesh,190,26.9,17,1.4,0,0,2,2.1,0,0,2,0.7,31,25.1,242,56.2
13,State,Maharashtra,202,48.3,120,33.3,0,0,7,0.1,0,0,17,12.3,285,147.3,631,241.4
14,State,Manipur,10,1.3,1,0.8,0,0,0,0,0,0,0,0,4,0.4,15,2.5
15,State,Meghalaya,5,1.3,8,0.1,0,0,0,0,1,3.7,0,0,26,2.8,40,8
16,State,Mizoram,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,State,Nagaland,10,0.8,1,0.1,0,0,0,0,0,0,8,1.2,11,0.8,30,2.9
18,State,Orissa,120,22.3,5,0,0,0,4,0.4,1,1.3,0,0,32,7.7,162,31.8
19,State,Punjab,30,11.9,0,0,0,0,0,0,3,1.1,3,0.6,48,9.2,84,22.7
20,State,Rajasthan,28,4.2,4,1.7,0,0,0,0,0,0,0,0,79,12.7,111,18.7
21,State,Sikkim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,State,Tamil Nadu,38,9,6,4.7,0,0,0,0,3,87,0,0,6,2.4,53,103.1
23,State,Tripura,42,2.5,7,0.3,0,0,0,0,0,0,5,0.2,7,0.3,61,3.4
24,State,Uttar Pradesh,1691,244.2,118,27.7,0,0,27,2,0,0,5,0.1,456,22,2297,296
25,State,West Bengal,459,47.5,61,12.3,33,3.6,0,0,5,3.3,24,3.5,228,8.6,810,78.7
Total (States),State,Total (States),5969,783.9,940,148.4,38,3.7,142,18,33,144.6,171,60.3,1998,328.8,9291,1487.7
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,4,0.2
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,3,11.3,0,0,0,0,0,0,0,0,3,5.2,1,9,7,25.5
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Total (UTs),UT,Total (UTs),4,11.3,0,0,0,0,0,0,0,0,3,5.2,8,9.2,15,25.7
Total (All-India),Total (All-India),Total (All-India),5973,785.2,940,148.4,38,3.7,142,18,33,144.6,174,65.5,2006,338,9306,1513.4
33,City,Ahmedabad,4,1.4,0,0,0,0,0,0,0,0,0,0,12,1.4,16,2.7
34,City,Bangalore,4,0.2,0,0,0,0,0,0,0,0,1,2.3,6,1.6,11,4
35,City,Bombay,14,24.4,2,0.1,0,0,0,0,0,0,8,2.7,25,28.5,49,55.6
36,City,Calcutta,5,2.5,8,3.9,0,0,0,0,0,0,4,1.6,6,1.6,23,9.6
37,City,Delhi,3,11.3,0,0,0,0,0,0,0,0,2,5.1,0,0,5,16.4
38,City,Hyderabad,2,6.9,1,0,0,0,0,0,0,0,1,0,0,0,4,6.9
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
40,City,Kanpur,27,1,3,0,0,0,0,0,0,0,4,0.1,5,0.3,39,1.5
41,City,Lucknow,10,0.6,1,1.3,0,0,0,0,0,0,0,0,0,0,11,1.9
42,City,Madras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,City,Nagpur,3,0.2,0,0,0,0,0,0,0,0,0,0,8,1.2,11,0.4
44,City,Pune,6,1.4,4,1.7,0,0,0,0,0,0,0,0,6,2.8,16,5.9
