SL. No.,Category,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary but Below Matric/ H. Sec.,By Education - Matric / H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic-Setup - Lower Income upto Rs. 500 PM,By Economic-Setup - Low/ Mid Income (From Rs. 501 to 1000 PM),By Economic-Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic-Setup - Upp/ Mid Income (From Rs. 2001 to 3000 PM),By Economic-Setup - Upper Income (Above Rs. 3000 PM),By Economic-Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,State,Andhra Pradesh,1913,545,272,129,2859,1821,437,601,2859,2084,564,166,42,3,2859,2389,470,2859
2,State,Arunachal Pradesh,15,7,23,4,49,35,14,0,49,5,16,17,9,2,49,43,6,49
3,State,Assam,89,787,256,224,1356,556,499,301,1356,436,641,101,100,78,1356,1100,256,1356
4,State,Bihar,2426,1215,596,321,4558,2852,1187,519,4558,2510,1152,570,254,72,4558,4384,174,4558
5,State,Goa,59,37,23,0,119,86,18,15,119,85,18,11,4,1,119,119,0,119
6,State,Gujarat,841,912,206,87,2046,1626,303,117,2046,1332,450,167,62,35,2046,1729,317,2046
7,State,Haryana,92,38,122,110,362,130,208,24,362,107,84,79,61,31,362,238,124,362
8,State,Himachal Pradesh,3,41,49,15,108,88,20,0,108,38,20,33,10,7,108,107,1,108
9,State,Jammu & Kashmir,12,4,3,1,20,18,2,0,20,16,3,1,0,0,20,20,0,20
10,State,Karnataka,1156,935,266,59,2416,598,608,1210,2416,1309,790,262,50,5,2416,2326,90,2416
11,State,Kerala,20,96,255,68,439,318,101,20,439,174,182,63,18,2,439,439,0,439
12,State,Madhya Pradesh,2512,1977,884,344,5717,3836,1497,384,5717,2502,1237,625,946,407,5717,4590,1127,5717
13,State,Maharashtra,1894,1886,1347,216,5343,3726,862,755,5343,3566,1185,485,107,0,5343,4319,1024,5343
14,State,Manipur,31,56,61,0,148,93,55,0,148,44,50,31,23,0,148,87,61,148
15,State,Meghalaya,10,14,14,4,42,22,17,3,42,14,24,4,0,0,42,38,4,42
16,State,Mizoram,0,22,23,35,80,65,15,0,80,35,6,0,0,39,80,56,24,80
17,State,Nagaland,18,15,6,0,39,20,19,0,39,21,12,4,2,0,39,39,0,39
18,State,Orissa,75,71,51,0,197,99,77,21,197,160,27,2,6,2,197,197,0,197
19,State,Punjab,37,40,12,9,98,81,17,0,98,52,25,17,4,0,98,98,0,98
20,State,Rajasthan,790,782,466,246,2284,1935,199,150,2284,698,1070,386,130,0,2284,2149,135,2284
21,State,Sikkim,63,12,18,14,107,53,46,8,107,82,15,10,0,0,107,94,13,107
22,State,Tamil Nadu,2966,2536,1188,102,6792,4326,1776,690,6792,4975,1608,189,18,2,6792,6488,304,6792
23,State,Tripura,44,61,36,4,145,103,31,11,145,96,37,10,2,0,145,134,11,145
24,State,Uttar Pradesh,126,66,36,9,237,155,68,14,237,149,60,16,10,2,237,210,27,237
25,State,West Bengal,806,624,630,98,2158,1379,621,158,2158,935,962,178,83,0,2158,1808,350,2158
Total (States),State,Total (States),15998,12779,6843,2099,37719,24021,8697,5001,37719,21425,10238,3427,1941,688,37719,33201,4518,37719
26,UT,A & N Islands,4,16,24,15,59,36,23,0,59,15,34,10,0,0,59,59,0,59
27,UT,Chandigarh,0,0,2,0,2,2,0,0,2,2,0,0,0,0,2,2,0,2
28,UT,D & N Haveli,3,2,3,0,8,8,0,0,8,8,0,0,0,0,8,8,0,8
29,UT,Daman & Diu,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1
30,UT,Delhi*,0,0,173,0,173,173,0,0,173,173,0,0,0,0,173,173,0,173
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,174,15,14,3,206,177,17,12,206,191,9,6,0,0,206,210,5,206
Total (UTs),UT,Total (UTs),181,34,216,18,449,397,40,12,449,390,43,16,0,0,449,453,5,449
Total (All-India),Total (All-India),Total (All-India),16179,12813,7059,2117,38168,24418,8737,5013,38168,21815,10281,3443,1941,688,38168,33654,4523,38168
33,City,Ahmedabad,130,245,102,52,529,316,138,75,529,238,140,81,45,25,529,348,181,529
34,City,Bangalore,229,61,2,0,292,13,26,253,292,253,32,6,1,0,292,289,3,292
35,City,Bombay,274,458,422,205,1359,712,409,238,1359,156,769,210,118,106,1359,994,365,1359
36,City,Calcutta,31,5,0,0,36,25,7,4,36,36,0,0,0,0,36,36,0,36
37,City,Delhi*,0,0,173,0,173,173,0,0,173,173,0,0,0,0,173,173,0,173
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,City,Jaipur,15,12,4,0,31,28,3,0,31,25,6,0,0,0,31,28,3,31
40,City,Kanpur,54,40,8,7,109,90,13,6,109,60,24,13,10,2,109,109,0,109
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,568,162,57,17,804,235,468,101,804,768,36,0,0,0,804,804,0,804
43,City,Nagpur,75,104,36,0,215,179,36,0,215,177,38,0,0,0,215,167,48,215
44,City,Pune,21,57,42,13,133,47,51,35,133,21,68,41,3,0,133,112,21,133
