SL. No.,Rank,Killed - in Dacoity Operation or Other Raids,Killed - by Riotous Mobs,Killed - by Other Criminals,Killed - on Border Duties,Killed - in Accidents,Killed - Total,Injured - in Dacoity Operation or Other Raids,Injured - by Riotous Mobs,Injured - by Other Criminals,Injured - on Border Duties,Injured - in Accidents,Injured- Total
1,Constables,9,16,80,7,140,252,104,1694,448,23,283,2552
2,Head Constables,4,2,27,0,45,78,17,334,92,2,81,526
3,Asstt. Sub-Inspector,1,1,7,0,10,19,8,81,33,0,8,130
4,Sub-Inspector,5,0,11,0,15,31,24,247,77,1,49,398
5,Inspector,0,2,4,0,3,9,5,111,11,0,10,137
6,Others Gazetted Officers,0,0,3,0,2,5,2,72,6,0,6,86
7,Total,19,21,132,7,215,394,160,2539,667,26,437,3829
