SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - Incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
1,State,Andhra Pradesh,2048,3.3,1159,1.9,20,0,545,0.9,721,1.2,480,0.8,241,0.4,430,0.7,2,0,831,1.4,7506,12.2,18840,30.7,5153,8.4,638,1,1787,2.9,66,0.1,46353,75.5,86099,140.3
2,State,Arunachal Pradesh,52,6.7,6,0.8,5,0.6,17,2.2,39,5,21,2.7,18,2.3,12,1.6,0,0,39,5,260,33.6,304,39.3,16,2.1,20,2.6,21,2.7,0,0,973,125.7,1764,227.9
3,State,Assam,848,3.6,313,1.3,18,0.1,404,1.7,941,4,919,3.9,22,0.1,533,2.3,43,0.2,657,2.8,3593,15.3,8222,34.9,4748,20.2,479,2,563,2.4,10,0,16312,69.3,37684,160.1
4,State,Bihar,3600,4.4,3699,4.5,479,0.6,962,1.2,1648,2,1359,1.7,289,0.4,3123,3.8,197,0.2,2267,2.8,9063,11.1,19423,23.8,15343,18.8,1472,1.8,1420,1.7,7,0,50937,62.3,113640,139
5,State,Goa,22,1.8,7,0.6,8,0.7,20,1.7,28,2.3,22,1.8,6,0.5,7,0.6,0,0,28,2.3,511,42.7,1229,102.8,236,19.7,72,6,40,3.3,5,0.4,1756,146.8,3969,331.9
6,State,Gujarat,1030,2.6,487,1.2,9,0,168,0.4,571,1.4,460,1.2,111,0.3,191,0.5,0,0,806,2,5434,13.8,19954,50.7,1615,4.1,1458,3.7,795,2,64,0.2,55150,140,87732,222.7
7,State,Haryana,452,2.9,214,1.4,114,0.7,150,1,227,1.5,172,1.1,55,0.4,26,0.2,7,0,154,1,1992,12.8,4191,26.8,340,2.2,297,1.9,557,3.6,10,0.1,16811,107.6,25542,163.5
8,State,Himachal Pradesh,92,1.9,44,0.9,16,0.3,45,0.9,93,1.9,81,1.7,12,0.2,4,0.1,0,0,25,0.5,790,16.1,738,15.1,329,6.7,112,2.3,78,1.6,0,0,4155,84.9,6521,133.3
9,State,Jammu & Kashmir,111,1.6,368,5.2,10,0.1,211,3,525,7.5,523,7.4,2,0,17,0.2,0,0,26,0.4,1568,22.3,3120,44.3,1958,27.8,196,2.8,230,3.3,0,0,11528,163.7,19868,282.1
10,State,Karnataka,1281,3,357,0.8,48,0.1,193,0.4,409,0.9,373,0.9,36,0.1,343,0.8,0,0,589,1.4,7671,17.7,16212,37.5,6659,15.4,804,1.9,1655,3.8,373,0.9,50404,116.6,86998,201.2
11,State,Kerala,541,1.9,446,1.5,15,0.1,205,0.7,137,0.5,137,0.5,0,0,67,0.2,0,0,217,0.8,4587,15.9,3560,12.3,7487,25.9,391,1.4,1151,4,267,0.9,45015,155.6,64086,221.5
12,State,Madhya Pradesh,2576,4.2,2021,3.3,58,0.1,1885,3.1,1130,1.9,1026,1.7,104,0.2,242,0.4,137,0.2,2153,3.5,18920,31,37172,60.9,4062,6.7,860,1.4,1434,2.3,3,0,107977,176.9,180630,296
13,State,Maharashtra,244,3.4,1064,1.5,88,0.1,838,1.2,1034,1.4,764,1.1,270,0.4,631,0.9,37,0.1,3410,4.7,16792,23.2,57024,78.7,4857,6.7,2626,3.6,2594,3.6,207,0.3,89711,123.8,183357,253.1
14,State,Manipur,95,5.6,49,2.9,1,0.1,8,0.5,130,7.6,119,7,11,0.6,15,0.9,3,0.2,36,2.1,185,10.9,353,20.8,108,6.4,35,2.1,89,5.2,4,0.2,1268,74.6,2379,139.9
15,State,Meghalaya,97,6,12,0.7,2,0.1,16,1,19,1.2,19,1.2,0,0,40,2.5,1,0.1,37,2.3,186,11.4,384,23.6,73,4.5,18,1.1,53,3.3,0,0,797,49,1735,106.6
16,State,Mizoram,28,4.3,10,1.5,0,0,56,8.6,8,1.2,8,1.2,0,0,1,0.2,1,0.2,22,3.4,152,23.3,353,54.2,3,0.5,36,5.5,40,6.1,2,0.3,555,85.3,1267,194.6
17,State,Nagaland,37,3.6,14,1.4,6,0.6,12,1.2,21,2,8,0.8,13,1.3,30,2.9,0,0,82,7.9,281,27.2,284,27.5,25,2.4,41,4,40,3.9,1,0.1,534,51.6,1408,136.2
18,State,Orissa,593,2,466,1.6,130,0.4,183,0.6,243,0.8,243,0.8,0,0,162,0.5,0,0,563,1.9,4625,15.4,9209,30.6,1506,5,382,1.3,350,1.2,11,0,22645,75.3,41068,136.6
19,State,Punjab,1761,9.2,1184,6.2,122,0.6,49,0.3,193,1,125,0.7,68,0.4,84,0.4,38,0.2,582,3,1540,8,2128,11.1,32,0.2,284,1.5,322,1.7,3,0,5953,31.1,14275,74.5
20,State,Rajasthan,1041,2.5,606,1.5,60,0.1,620,1.5,1751,4.2,1671,4,80,0.2,111,0.3,8,0,1086,2.6,6727,16.2,12865,30.9,13411,32.2,998,2.4,2799,6.7,41,0.1,46022,110.5,88146,211.6
21,State,Sikkim,7,1.7,1,0.2,0,0,6,1.5,6,1.5,6,1.5,0,0,1,0.2,0,0,6,1.5,39,9.5,93,22.6,9,2.2,10,2.4,15,3.6,0,0,140,34,333,80.8
22,State,Tamil Nadu,1582,2.9,1027,1.9,49,0.1,305,0.6,806,1.5,806,1.5,0,0,53,0.1,0,0,430,0.8,7935,14.6,23259,42.7,8973,16.5,886,1.6,1692,3.1,253,0.5,81475,149.7,128725,236.5
23,State,Tripura,141,5.8,61,2.5,4,0.2,43,1.8,61,2.5,53,2.2,8,0.3,61,2.5,0,0,111,4.5,821,33.6,987,40.4,576,23.5,24,1,19,0.8,0,0,2611,106.7,5520,225.7
24,State,Uttar Pradesh,6502,5,6517,5,1951,1.5,1385,1.1,3346,2.6,2915,2.3,431,0.3,2297,1.8,445,0.3,6416,5,18987,14.7,41748,32.3,9411,7.3,3492,2.7,2880,2.2,99,0.1,54777,42.4,160253,124.1
25,State,West Bengal,1440,2.3,166,0.3,494,0.8,631,1,882,1.4,850,1.4,32,0.1,810,1.3,6,0,797,1.3,1909,3,25200,40.1,7311,11.6,944,1.5,866,1.4,72,0.1,21852,34.7,63380,100.7
Total (States),State,Total (States),28421,3.6,20298,2.6,3707,0.5,8957,1.1,14969,1.9,13160,1.7,1809,0.2,9291,1.2,925,0.1,21370,2.7,122074,15.5,306852,39,94241,12,16575,2.1,21490,2.7,1498,0.2,735711,93.6,1406379,178.9
26,UT,A & N Islands,13,4.9,5,1.9,1,0.4,4,1.5,4,1.5,4,1.5,0,0,3,1.1,0,0,5,1.9,109,41.3,130,49.2,33,12.5,12,4.5,7,2.7,2,0.8,569,215.5,897,339.8
27,UT,Chandigarh,14,2.1,8,1.2,1,0.2,4,0.6,19,2.9,15,2.3,4,0.6,0,0,0,0,14,2.1,233,35,769,115.6,20,3,32,4.8,52,7.8,1,0.2,567,85.3,1734,260.8
28,UT,D & N Haveli,10,8,0,0,0,0,5,4,5,4,3,2.4,2,1.6,4,3.2,0,0,5,4,101,80.8,58,46.4,30,24,7,5.6,2,1.6,0,0,324,259.2,551,440.8
29,UT,Daman & Diu,1,1.1,0,0,0,0,3,3.2,0,0,0,0,0,0,0,0,0,0,1,1.1,11,11.7,30,31.9,15,16,2,2.1,0,0,0,0,57,60.6,120,127.7
30,UT,Delhi,295,3.5,364,4.4,46,0.6,121,1.4,753,9,680,8.1,73,0.9,7,0.1,6,0.1,203,2.4,1591,19,11253,134.7,113,1.4,698,8.4,1116,13.4,35,0.4,11412,136.6,28013,335.2
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.4,8,17.8,5,11.1,1,2.2,0,0,0,0,14,31.1,30,66.7
32,UT,Pondicherry,17,2.4,14,2,0,0,5,0.7,21,3,18,2.5,3,0.4,1,0.1,0,0,13,1.8,183,25.7,748,105.2,130,18.3,25,3.5,38,5.3,1,0.1,1436,202,2632,370.2
Total (UTs),UT,Total (UTs),350,3.4,391,3.8,48,0.5,142,1.4,802,7.8,720,7,82,0.8,15,0.1,6,0.1,241,2.3,2230,21.7,12996,126.7,346,3.4,777,7.6,1215,11.8,39,0.4,14379,140.1,33977,331.1
