SL. No.,Crime Head,1987,1988,Percentage Variation in 1988 Over 1987,Percentage Share of Crime During 1988
1,Murder,65008,67540,3.9,2.8
2,Attempt to Commit Murder,*,52790,NA,2.2
3,C.H. Not Amounting to Murder,8446,8398,-0.6,0.3
4,Rape,11430,12911,13,0.5
5,Kidnapping & Abduction,20799,21005,1,0.9
5,I) Of Women & Girls,*,18175,NA,0.8
5,II) Of Others,*,2830,NA,0.1
6,Dacoity,35070,32336,-7.8,1.3
7,Preparation & Assembly for Dacoity,*,3781,NA,0.2
8,Robbery,28917,29085,0.6,1.2
9,Burglary,91557,93556,2.2,3.9
10,Theft,203744,217638,6.8,9
11,Riots,557327,543463,-2.5,22.5
12,Criminal Breach of Trust,15705,16669,6.1,0.7
13,Cheating,20579,20657,0.4,0.9
14,Counterfeiting,825,709,-14.1,0
15,Other IPC Crimes not Included Above,1125938,1297965,15.3,53.7
16,Total Cognizable Crimes Under IPC,2185345,2418503,10.7,100
