SL. No.,Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,1978,9898,2646,26.7
2,1979,10690,2957,27.7
3,1980,15617,3559,22.8
4,1981,16242,5341,32.9
5,1982,17657,4822,27.3
6,1983,17055,4933,28.9
7,1984,23825,6818,28.6
8,1985,22642,6712,29.6
9,1986,21925,7615,34.7
10,1987,34444,8100,23.5
11,1988,33084,9057,27.4
12,Percentage Change in 1988 Over 1978,234.2,242.3,2.6
