SI.No.,Category,State/UT,Persons in Custody/ Bail During investigation at beginning of the Year,Persons Arrested During Year,Persons released by Police /Court before trial During Year,Persons in Custody/Bail during investigation at the end of year,Persons in whose cases /chargesheets were laid During Year,Persons under trial at the beginning of year,Total Persons under Trial During the Year,No. of Persons whose cases withdrawn or otherwise disposed,Persons in Custody /Bail during trial at the end of Year,Persons in whose cases trial Completed During Year,Persons Convicted During Year,Persons Acquitted During Year,Percentage of Persons Convicted to total persons whose trial Completed,Persons reported for regular Department Action,Persons reported for suitable action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - awarded other Major punishment,Persons Punished Departmentally - awarded Minor Punishment,Government Gazetted and equal officers in other public undertaking/Civil - Group 'A' officers,Government Gazetted and equal officers in other public undertaking/Civil - Group 'B' officers,Government Non Gazetted Officers and equals in undertaking involved,Private Persons involved
1,State,Assam,1,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,19,1,13,0
2,State,Goa,4,0,0,2,1,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Gujarat,68,217,217,68,217,230,515,11,340,51,12,43,23.53,1,103,0,0,1,0,11,46,215,21
4,State,Haryana,43,54,26,34,49,84,97,8,93,50,17,33,34,0,0,0,0,0,0,0,2,27,3
5,State,Himachal Pradesh,265,24,243,90,14,235,250,6,45,4,0,1,0,6,5,1,1,1,0,10,1,78,9
6,State,Kerala,59,39,39,79,25,46,71,2,64,5,3,2,60,7,0,0,0,0,7,0,15,24,0
7,State,Madhya Pradesh,218,194,0,0,86,367,453,0,0,38,19,19,50,12,15,0,0,0,11,37,0,146,11
8,State,Maharashtra,0,3,3,3,310,886,1197,15,3,142,58,84,40.8,4,0,0,0,0,0,21,26,241,30
9,State,Manipur,8,8,8,8,6,40,46,0,8,3,1,2,33.3,0,0,0,0,0,0,2,1,4,1
10,State,Mizoram,24,9,9,33,9,11,20,0,20,0,0,0,0,6,11,0,0,0,12,1,5,8,3
11,State,Rajasthan,79,37,0,60,0,442,582,0,549,33,11,22,33.3,293,293,1,20,0,10,48,84,83,1
12,State,Tamil Nadu,85,103,103,63,26,54,80,0,61,19,12,7,63.2,124,0,6,12,270,52,1,15,96,10
Total (States),State,Total (States),854,688,648,441,743,2399,3322,42,1192,345,133,213,38.6,453,427,8,33,272,92,150,196,935,89
13,UT,Chandigarh,7,7,7,7,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,2,2,3,0
14,UT,Delhi,41,40,40,81,44,41,85,0,85,16,2,8,12.5,2,0,2,0,11,0,0,2,34,4
15,UT,Pondicherry,6,1,1,3,2,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Total (UTs),UT,Total (UTs),54,48,48,91,47,44,90,2,96,16,2,8,12.5,2,0,2,0,11,0,2,4,38,4
Total (All-India),Total (All-India),Total (All-India),908,736,696,532,790,2443,3412,44,1288,361,135,221,37.4,455,427,10,33,283,92,152,200,973,93
