SL. No.,Nature of Property,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage Recovery - Cases,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery - Value
1,Communication and Electric Wire,7661,2298,30,306.6,69.3,22.6
2,Cattle,13990,7229,51.7,311.9,150.9,48.4
3,Cycle,37766,15973,42.3,194.1,86.5,44.6
4,"Motor Cars including Lorries, Buses Etc.",7367,3475,47.2,3170.9,1684.6,53.1
5,"Motorcycle, Scooters etc.",13963,5737,41.1,1644.8,838.7,51
6,Fire Arms,1226,366,29.9,73.7,31.3,42.5
7,Explosives,107,46,43,1.5,0.3,20
8,Electronic Eqpt.,3342,1345,40.2,137.7,51.8,37.6
9,Cultural Property including Antiques,1070,317,29.6,68.1,40.4,59.3
10,Other Kinds of Property Stolen,397658,126847,31.9,27174.3,6102.9,22.5
11,Total,484150,163633,33.8,33083.6,9056.7,27.4
