SL. No.,Category,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,57,24,0,13,5,3,2,3,0,6,191,329,214,0,1,0,427,1270
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,2,13,2,0,0,0,32,49
3,State,Assam,23,0,0,11,57,52,5,46,13,35,189,336,392,2,2,0,212,1318
4,State,Bihar,70,39,10,45,74,55,19,145,43,144,241,944,1417,20,22,0,576,3790
5,State,Goa,3,0,0,2,0,0,0,0,0,0,4,26,36,0,2,0,27,100
6,State,Gujarat,22,13,1,4,12,12,0,5,0,2,144,403,54,1,3,0,564,1228
7,State,Haryana,14,6,1,4,2,2,0,0,0,0,43,38,3,0,1,0,68,180
8,State,Himachal Pradesh,0,0,0,0,1,1,0,0,0,0,17,10,13,0,0,0,37,78
9,State,Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,13,20
10,State,Karnataka,46,2,1,5,8,6,2,0,0,37,169,487,308,9,15,0,480,1567
11,State,Kerala,4,2,0,1,7,0,7,2,0,0,51,23,94,0,2,0,26,212
12,State,Madhya Pradesh,73,71,4,38,7,7,0,1,0,25,368,672,204,20,1,0,3119,4603
13,State,Maharashtra,46,24,0,31,35,35,0,26,2,36,323,945,344,51,8,0,1102,2973
14,State,Manipur,2,12,0,5,5,5,0,2,0,5,3,41,27,0,0,0,30,132
15,State,Meghalaya,3,0,0,0,0,0,0,0,0,0,6,18,11,0,0,0,4,42
16,State,Mizoram,1,0,0,5,0,0,0,0,0,0,31,27,0,0,0,0,14,78
17,State,Nagaland,3,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,7,37
18,State,Orissa,0,0,0,0,0,0,0,0,0,2,10,32,0,0,0,0,17,61
19,State,Punjab,6,8,2,0,0,0,0,0,0,0,5,5,0,0,0,0,8,34
20,State,Rajasthan,31,2,2,17,51,51,0,8,0,35,175,280,984,4,7,0,271,1867
21,State,Sikkim,0,0,0,2,1,1,0,0,0,0,4,15,7,0,2,0,25,56
22,State,Tamil Nadu,23,1,0,2,0,0,0,0,0,1,160,393,29,1,1,0,210,821
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,15,43,0,0,0,0,87,145
24,State,Uttar Pradesh,14,1,4,7,2,2,0,0,0,3,12,50,1,1,0,2,45,142
25,State,West Bengal,49,0,11,19,9,9,0,36,0,15,36,248,1097,2,0,0,138,1660
Total (States),State,Total (States),490,205,36,212,276,241,35,274,58,346,2205,5400,5242,111,67,2,7539,22463
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,20,26
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,8
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,UT,Delhi,1,2,2,0,3,3,0,0,0,0,8,86,0,4,0,0,33,139
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,24,53
Total (UTs),UT,Total (UTs),1,2,2,0,3,3,0,0,0,0,10,118,8,4,0,0,81,229
Total (All-India),Total (All-India),Total (All-India),491,207,38,212,279,244,35,274,58,346,2215,5518,5250,115,67,2,7620,22692
33,City,Ahmedabad,5,3,0,0,5,5,0,2,0,0,19,111,8,0,0,0,58,211
34,City,Bangalore,1,0,0,0,1,1,0,0,0,0,9,57,14,0,1,0,18,101
35,City,Bombay,6,1,0,7,9,9,0,0,1,0,0,162,0,0,1,0,103,290
36,City,Calcutta,0,0,1,0,0,0,0,0,0,1,0,21,0,0,0,0,2,25
37,City,Delhi,1,2,2,0,3,3,0,0,0,0,8,86,0,4,0,0,33,139
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,0,12,30
40,City,Kanpur,1,0,0,0,1,1,0,0,0,2,5,18,0,0,0,0,34,61
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,0,0,0,1,0,0,0,0,0,0,11,66,0,0,0,0,8,86
43,City,Nagpur,2,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,7,34
44,City,Pune,2,0,0,0,0,0,0,0,0,0,35,28,0,1,0,0,10,76
