SL. No.,Crime Head,Number of Cases Reported During - 1987,Number of Cases Reported During - 1988,Percentage Change in 1988** Over 1987
1,Arms Act,1071,268,-75
2,Narcotic Drugs & Psychotropic Substances Act,475,56,-88.2
3,Gambling Act,11854,4125,-65.2
4,Excise Act,2546,971,-61.9
5,Prohibition Act,22660,8632,-61.9
6,Explosive & Explosive Substances Act,311,78,-74.9
7,Immoral Traffic (Prevention) Act,1102,406,-63.2
8,Indian Railways Act,5069,228,-95.5
9,Foreigner's Registration Act,*,4,NA
10,Protection Of Civil Rights Act,*,28,NA
11,Indian Passport Act,*,0,NA
12,Essential Commodities Act,*,65,NA
13,Terrorist & Disruptive Activites Act,*,6,NA
14,Antiquity & Art Treasure Act,*,0,NA
15,Dowry Prohibition Act,*,48,NA
16,Other LSL Crimes not Included Above,40081,10553,-73.7
17,Total Cognizable Crimes Under LSL,85169,25468,-70.1
