SL. No.,Crime Head,1978 - Incidence,1978 - Volume,1983 - Incidence,1983 -Volume,1984 - Incidence,1984 - Volume,1985 - Incidence,1985 - Volume,1986 - Incidence,1986 - Volume,1987 - Incidence,1987 - Volume,Quinquennial Avg. 1983-1987 (Q.A.) - Incidence,Quinquennial Avg. 1983-1987 (Q.A.) - Volume,1988 - Incidence,1988 - Volume,"Percentage Change in 1988 ((+) Increase, (-) Decrease Over -1978","Percentage Change in 1988 ((+) Increase, (-) Decrease Over -Quinquennial Avg. (Q.A.)","Percentage Change in 1988 ((+) Increase, (-) Decrease Over -1987"
1,Arms Act,57903,9.1,64413,8.9,59205,8,61987,8.3,56954,7.4,53577,6.9,59227,7.9,52601,6.6,-9.2,-11.2,-1.8
2,Narcotic Drugs & Psychotropic Substances Act,12792,2,14356,2,14440,2,14277,1.9,13253,1.7,9442,1.2,13154,1.8,13357,1.7,4.4,1.5,41.5
3,Gambling Act,235790,36.9,189863,26.4,176829,24,179419,23.9,163097,21.3,166429,21.3,175127,23.4,171024,21.5,-27.5,-2.3,2.8
4,Excise Act,103250,16.2,113338,15.7,107967,14.7,106163,14.1,95011,12.4,91696,11.7,102835,13.7,88419,11.1,-14.4,-14,-3.6
5,Prohibition Act,686784,107.6,388224,53.9,365526,49.7,356840,47.5,365300,47.7,553138,70.8,405806,53.9,640011,80.3,-6.8,57.7,15.7
6,Explosive & Explosive Substances Act,1803,0.3,3477,0.5,2905,0.4,3373,0.4,3205,0.4,3304,0.4,3253,0.4,3712,0.5,105.9,14.1,12.3
7,Immoral Traffic (Prevention) Act,15448,2.4,15325,2.1,14209,1.9,14815,2,14403,1.9,13453,1.7,14441,1.9,15989,2,3.5,10.7,18.9
8,Indian Railways Act,24944,3.9,48655,6.8,36749,5,32478,4.3,37460,4.9,19429,2.5,34954,4.7,37438,4.7,50.1,7.1,92.7
9,Foreigner's Registration Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,1119,0.1,NA,NA,NA
10,Protection Of Civil Rights Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,2966,0.4,NA,NA,NA
11,Indian Passport Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,729,0.1,NA,NA,NA
12,Essential Commodities Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,5829,0.7,NA,NA,NA
13,Terrorist & Disruptive Activites Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,763,0.1,NA,NA,NA
14,Antiquity & Art Treasure Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,12,0,NA,NA,NA
15,Dowry Prohibition Act,*,NA,*,NA,*,NA,*,NA,*,NA,*,NA,NA,NA,2064,0.3,NA,NA,NA
16,Other LSL Crimes not Including Above,1653509,259,2083412,289.2,2138978,290.8,2327129,309.9,2235971,291.9,2678858,342.8,2292870,304.9,2729636,342.7,65.1,19,1.9
17,Total Cognizable Crimes Under LSL,2792223,437.4,2921063,405.5,2916808,396.5,3096481,412.4,2984654,389.6,3589326,459.3,3101666,412.7,3765669,472.7,34.9,21.4,4.9
