SL. No.,Category,State/UT/City,Murder - 1987,Murder - 1988,Murder - Percentage Variation,Attempt to Commit Murder - 1987,Attempt to Commit Murder - 1988,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1987,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1987,Rape - 1988,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1987,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1987,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1987,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1987,Dacoity - 1988,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1987,Preparation and Assembly for Dacoity - 1988,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1987,Robbery - 1988,Robbery - Percentage Variation,Burglary - 1987,Burglary - 1988,Burglary - Percentage Variation,Theft - 1987,Theft - 1988,Theft - Percentage Variation,Riots - 1987,Riots - 1988,Riots - Percentage Variation,Criminal Breach of Trust - 1987,Criminal Breach of Trust - 1988,Criminal Breach of Trust - Percentage Variation,Cheating - 1987,Cheating - 1988,Cheating - Percentage Variation,Counterfeiting - 1987,Counterfeiting - 1988,Counterfeiting - Percentage Variation,Other IPC Crimes - 1987,Other IPC Crimes - 1988,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1987,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - Percentage Variation
15,State,Meghalaya,95,97,2.1,*,12,NA,4,2,-50,19,16,-15.8,22,19,-13.6,*,19,NA,*,0,NA,31,40,29,*,1,NA,37,37,0,159,186,17,436,384,-11.9,414,73,-82.4,13,18,38.5,35,53,51.4,0,0,NA,1175,797,-32.2,2440,1735,-28.9
16,State,Mizoram,45,28,-37.8,*,10,NA,1,0,-100,62,56,-9.7,2,8,300,*,8,NA,*,0,NA,1,1,0,*,1,NA,28,22,-21.4,133,152,14.3,347,353,1.7,1,3,200,40,36,-10,43,40,-7,9,2,-77.8,445,555,24.7,1157,1267,9.5
17,State,Nagaland,45,37,-17.8,*,14,NA,2,6,200,9,12,33.3,25,21,-16,*,8,NA,*,13,NA,20,30,50,*,0,NA,82,82,0,309,281,-9.1,311,284,-8.7,60,25,-58.3,38,41,7.9,46,40,-13,7,1,-85.7,670,534,-20.3,1624,1408,-13.3
18,State,Orissa,586,593,1.2,*,466,NA,63,130,106.3,186,183,-1.6,255,243,-4.7,*,243,NA,*,0,NA,191,162,-15.2,*,0,NA,592,563,-4.9,4666,4625,-0.9,9597,9209,-4,1611,1506,-6.5,439,382,-13,341,350,2.6,8,11,37.5,24068,22645,-5.9,42603,41068,-3.6
19,State,Punjab,1388,1761,26.9,*,1184,NA,137,122,-10.9,47,49,4.3,182,193,6,*,125,NA,*,68,NA,151,84,-44.4,*,38,NA,592,582,-1.7,1464,1540,5.2,2304,2128,-7.6,160,32,-80,248,284,14.5,277,322,16.2,9,3,-66.7,8058,5953,-26.1,15017,14275,-4.9
20,State,Rajasthan,1139,1041,-8.6,*,606,NA,43,60,39.5,604,620,2.6,1755,1751,-0.2,*,1671,NA,*,80,NA,90,111,23.3,*,8,NA,1051,1086,3.3,6381,6727,5.4,11351,12865,13.3,12177,13411,10.1,1004,998,-0.6,2870,2799,-2.5,42,41,-2.4,41344,46022,11.3,79851,88146,10.4
21,State,Sikkim,6,7,16.7,*,1,NA,1,0,-100,8,6,-25,3,6,100,*,6,NA,*,0,NA,0,1,@,*,0,NA,4,6,50,39,39,0,80,93,16.3,4,9,125,21,10,-52.4,24,15,-37.5,0,0,NA,164,140,-14.6,354,333,-5.9
22,State,Tamil Nadu,1531,1582,3.3,*,1027,NA,22,49,122.7,267,305,14.2,630,806,27.9,*,806,NA,*,0,NA,82,53,-35.4,*,0,NA,433,430,-0.7,7835,7935,1.3,22216,23259,4.7,8179,8973,9.7,1001,886,-11.5,1786,1692,-5.3,355,253,-28.7,70133,81475,16.2,114470,128725,12.5
23,State,Tripura,144,141,-2.1,*,61,NA,4,4,0,43,43,0,54,61,13,*,53,NA,*,8,NA,49,61,24.5,*,0,NA,86,111,29.1,661,821,24.2,861,987,14.6,561,576,2.7,22,24,9.1,24,19,-20.8,0,0,NA,2122,2611,23,4631,5520,19.2
24,State,Uttar Pradesh,6985,6502,-6.9,*,6517,NA,2026,1951,-3.7,1392,1385,-0.5,3441,3346,-2.8,*,2915,NA,*,431,NA,3071,2297,-25.2,*,445,NA,7240,6416,-11.4,21665,18987,-12.4,42331,41748,-1.4,9228,9411,2,3817,3492,-8.5,3145,2880,-8.4,76,99,30.3,64374,54777,14.9,168791,160253,-5.1
