SL. No.,Category,State/UT/City,1983,1984,1985,1986,1987,Quinquennial Avg. 1983-1987 (Q.A.),1988,"Percentage Change in 1988 ((+) Increase, (-) Decrease Over - Quinquennial Avg. (Q.A.)","Percentage Change in 1988 ((+) Increase, (-) Decrease Over - 1987"
1,State,Andhra Pradesh,84773,82559,82219,81322,94279,85030,86099,1.3,-8.7
2,State,Arunachal Pradesh,1071,960,1012,1280,1355,1136,1764,55.3,30.2
3,State,Assam,48979,35145,34459,38108,37244,38787,37684,-2.8,1.2
4,State,Bihar,108662,104763,100549,105901,107245,105424,113640,7.8,6
5,State,Goa,2850,2999,3759,4514,4551,3735,3969,6.3,-12.8
6,State,Gujarat,79559,83930,87336,83001,84714,83708,87732,4.8,3.6
7,State,Haryana,16774,17912,20001,21797,22918,19880,25542,28.5,11.4
8,State,Himachal Pradesh,4430,5065,5299,5955,6479,5446,6521,19.7,0.6
9,State,Jammu & Kashmir,17139,17122,19440,19855,19158,18543,19863,7.1,3.7
10,State,Karnataka,77304,78866,83580,81540,79456,80149,86998,8.5,9.5
11,State,Kerala,47309,48932,49146,53911,56806,51221,64086,25.1,12.8
12,State,Madhya Pradesh,166355,167945,171553,170673,181103,171526,180630,5.3,-0.3
13,State,Maharashtra,157249,163667,166672,182026,184596,170842,183357,7.3,-0.7
14,State,Manipur,3069,2886,3203,2604,1841,2721,2379,-12.6,29.2
15,State,Meghalaya,1646,1613,1752,1594,2440,1809,1735,-4.1,-28.9
16,State,Mizoram,1696,1577,1213,1006,1157,1330,1267,-4.7,9.5
17,State,Nagaland,1940,1964,2122,1559,1624,1842,1408,-23.6,-13.3
18,State,Orissa,44662,44817,44838,45103,42603,44405,41068,-7.5,-3.6
19,State,Punjab,13960,12828,11185,13224,15017,13243,14275,7.8,-4.9
20,State,Rajasthan,71367,71672,78876,81118,79851,76577,88146,15.1,10.4
21,State,Sikkim,257,283,325,373,354,318,333,4.6,-5.9
22,State,Tamil Nadu,114416,113714,119455,116276,114470,115666,128725,11.3,12.5
23,State,Tripura,5900,6025,5461,4714,4631,5346,5520,3.3,19.2
24,State,Uttar Pradesh,164926,180189,184786,184818,168791,176702,160253,-9.3,-5.1
25,State,West Bengal,81239,74899,70346,68526,62947,71591,63380,-11.5,0.7
Total (States),State,Total (States),1317532,1322332,1348587,1370798,1375630,1346976,1406379,4.4,2.2
26,UT,A & N Islands,755,739,672,719,741,725,897,23.7,21.1
27,UT,Chandigarh,1612,1806,1767,1510,1621,1663,1734,4.3,7
28,UT,D & N Haveli,205,283,382,464,541,375,551,46.9,1.8
29,UT,Daman & Diu,86,91,114,136,116,109,120,10.5,3.4
30,UT,Delhi,27360,30773,30412,29828,25846,28844,28013,-2.9,8.4
31,UT,Lakshadweep,18,23,28,20,31,24,30,25,-3.2
32,UT,Pondicherry,2298,2613,2769,2360,2466,2501,2632,5.2,6.7
Total (UTs),UT,Total (UTs),32334,36328,36144,35037,31362,34241,33977,-0.8,8.3
Total (All-India),Total (All-India),Total (All-India),1349866,1358660,1384731,1405835,1406992,1381216,1440356,4.3,2.4
33,City,Ahmedabad,10500,10156,10703,10505,11037,10580,12294,16.2,11.4
34,City,Bangalore,14149,16354,16019,16592,21817,16986,21998,29.5,0.8
35,City,Bombay,31722,31150,35977,36643,36018,34302,35802,4.4,-0.6
36,City,Calcutta,14062,13877,14644,14013,13219,13963,13652,-2.2,3.3
37,City,Delhi,26070,29243,28823,27813,23837,27157,25530,-6,7.1
38,City,Hyderabad,6649,7491,7579,7481,7498,7340,7469,1.8,-0.4
39,City,Jaipur,4491,5137,5411,4988,5667,5139,6860,33.5,21.1
40,City,Kanpur,6638,6226,7278,7632,7231,7001,5926,-15.4,-18
41,City,Lucknow,6659,6839,4778,4814,3418,5302,4642,-12.4,35.8
42,City,Madras,13816,10561,11834,13466,13827,12701,13947,9.8,0.9
43,City,Nagpur,6148,7060,7929,8832,8783,7750,8249,6.4,-6.1
44,City,Pune,7517,8319,9165,9422,9163,8717,10051,15.3,9.7
