SL. No.,Category,Crime Head,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Only Girls,Overall Age Groups - Boys,Overall Age Groups - Girls,Total (Boys + Girls)
1,A.IPC Crimes,Murder,15,3,370,18,85,385,106,491
2,A.IPC Crimes,Attempt to Commit Murder,8,1,172,1,25,180,27,207
3,A.IPC Crimes,C.H. Not Amounting to Murder,2,0,32,3,1,34,4,38
4,A.IPC Crimes,Rape,6,0,200,0,6,206,6,212
5,A.IPC Crimes,Kidnapping & Abduction,1,3,220,32,23,221,58,279
5,A.IPC Crimes,I) Of Women & Girls,1,3,186,31,23,187,57,244
5,A.IPC Crimes,II) Of Others,0,0,34,1,0,34,1,35
6,A.IPC Crimes,Dacoity,4,0,263,2,5,267,7,274
7,A.IPC Crimes,Preparation & Assembly for Dacoity,2,0,56,0,0,58,0,58
8,A.IPC Crimes,Robbery,5,0,330,7,4,335,11,346
9,A.IPC Crimes,Burglary,225,35,1865,28,62,2090,125,2215
10,A.IPC Crimes,Theft,637,56,4317,168,340,4954,564,5518
11,A.IPC Crimes,Riots,107,5,4829,108,201,4936,314,5250
12,A.IPC Crimes,Criminal Breach of Trust,22,0,75,1,17,97,18,115
13,A.IPC Crimes,Cheating,10,1,51,0,5,61,6,67
14,A.IPC Crimes,Counterfeiting,0,0,2,0,0,2,0,2
15,A.IPC Crimes,Other IPC Crimes not Included Above,504,23,5811,262,1020,6315,1305,7620
16,A.IPC Crimes,Total Cognizable Crimes Under IPC,1548,127,18593,630,1794,20141,2551,22692
1,B.LSL Crimes,Arms Act,3,0,197,0,1,200,1,201
2,B.LSL Crimes,Narcotic Drugs & Psychotropic Substances Act,0,0,40,4,5,40,9,49
3,B.LSL Crimes,Gambling Act,37,1,1726,12,4,1763,17,1780
4,B.LSL Crimes,Excise Act,6,0,444,11,464,450,475,725
5,B.LSL Crimes,Prohibition Act,42,49,1599,57,203,1641,309,1950
6,B.LSL Crimes,Explosive & Explosive Substances Act,4,0,76,0,1,80,1,81
7,B.LSL Crimes,Immoral Traffic (Prevention) Act,0,0,27,8,598,27,606,633
8,B.LSL Crimes,Indian Railways Act,25,0,185,0,7,210,7,217
9,B.LSL Crimes,Foreigner's Registration Act,1,0,2,0,0,3,0,3
10,B.LSL Crimes,Protection Of Civil Rights Act,3,0,12,0,0,15,0,15
11,B.LSL Crimes,Indian Passport Act,0,0,0,0,0,0,0,0
12,B.LSL Crimes,Essential Commodities Act,0,0,41,0,0,41,0,41
13,B.LSL Crimes,Terrorist & Disruptive Activites Act,0,0,11,0,0,11,0,11
14,B.LSL Crimes,Antiquity & Art Treasure Act,0,0,0,0,0,0,0,0
15,B.LSL Crimes,Dowry Prohibition Act,2,0,52,2,2,54,4,58
16,B.LSL Crimes,Other LSL Crimes not Included Above,1348,250,7041,328,545,8289,1123,9512
17,B.LSL Crimes,Total Cognizable Crimes Under LSL,1471,300,11453,422,1830,12924,2552,15476
C. Grand Total (A+B),C. Grand Total (A+B),C. Grand Total (A+B),3019,427,30046,1052,3624,33065,5103,38168
