SL. No.,Event,Number of Occasious Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,524,128,468,10,793
2,Anti-Dacoity Operations,127,80,20,2,35
3,Against Extremists and Terrorists,294,267,88,20,68
4,Against Others,166,71,70,0,99
Total,Total,1111,546,646,32,995
