SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,93,68,1,19,24,24,0,34,0,71,100,202,135,18,31,0,98,894
2,Andhra Pradesh,Anantpur,98,31,0,22,26,22,4,13,0,13,239,589,473,14,27,0,2420,3965
3,Andhra Pradesh,Chittoor,95,44,0,38,58,38,20,13,0,28,342,991,535,20,78,5,2840,5087
4,Andhra Pradesh,Cuddapah,114,45,1,15,27,9,18,16,2,11,195,391,446,21,36,0,1602,2922
5,Andhra Pradesh,Godavari East,100,101,0,55,56,30,26,8,0,20,495,1324,123,74,131,3,3118,5608
6,Andhra Pradesh,Godavari West,47,39,0,32,31,8,23,14,0,16,314,871,224,44,68,2,2668,4370
7,Andhra Pradesh,Guntur,147,178,0,58,64,30,34,40,0,68,478,1550,246,49,146,3,3898,6925
8,Andhra Pradesh,Hyderabad,90,101,2,17,51,51,NA,4,NA,84,1151,3079,191,95,379,32,2193,7469
9,Andhra Pradesh,Karimnagar,103,47,1,31,32,27,5,50,0,105,243,433,195,11,41,1,807,2100
10,Andhra Pradesh,Khammam,87,37,0,13,25,19,6,10,0,24,259,406,252,11,41,0,1570,2735
11,Andhra Pradesh,Krishna,77,55,0,44,15,15,0,10,0,14,228,575,121,25,44,3,2428,3693
12,Andhra Pradesh,Kurnool,123,36,1,10,12,12,0,12,0,11,108,245,106,10,33,2,1224,1933
13,Andhra Pradesh,Mahabub Nagar,111,31,7,19,15,15,0,15,0,19,297,534,211,5,27,1,1889,3181
14,Andhra Pradesh,Medak,103,62,1,7,20,20,0,22,0,50,334,481,255,15,44,0,1950,3344
15,Andhra Pradesh,Nalgonda,89,47,0,13,17,15,2,25,0,25,170,474,318,10,48,1,1882,3119
16,Andhra Pradesh,Nellore,58,22,0,18,23,19,4,11,0,17,158,582,75,18,48,3,1741,2774
17,Andhra Pradesh,Nizamabad,96,43,1,14,20,16,4,39,0,59,257,486,125,9,63,2,1438,2652
18,Andhra Pradesh,Prakasham,82,20,1,18,29,22,7,9,0,24,201,476,179,15,50,2,1847,2953
19,Andhra Pradesh,Ranga Reddy,82,19,3,21,50,10,40,22,0,60,710,952,215,53,101,0,2703,4991
20,Andhra Pradesh,Srikakulam,40,14,0,10,14,4,10,6,0,4,144,288,229,18,54,0,1451,2272
21,Andhra Pradesh,Vijayawada,31,32,0,12,33,30,3,8,0,20,177,884,79,20,75,3,1274,2648
22,Andhra Pradesh,Vizianagaram,22,17,0,16,16,11,5,2,0,7,133,302,82,19,37,1,1466,2120
23,Andhra Pradesh,Vizag,64,27,0,9,28,28,0,11,0,28,473,1277,104,44,130,1,2048,4244
24,Andhra Pradesh,Warangal,91,38,1,34,32,3,29,29,0,35,298,573,227,10,47,1,1681,3097
25,Andhra Pradesh,Guntakal Rly.,1,0,0,0,0,0,0,0,0,4,0,310,2,4,3,0,62,386
26,Andhra Pradesh,Secunderabad Rly.,3,2,0,0,2,1,1,6,0,11,1,350,5,3,0,0,14,397
27,Andhra Pradesh,Vijyawada Rly.,1,3,0,0,1,1,0,1,0,3,1,215,0,3,5,0,41,274
28,Andhra Pradesh,Total,2048,1159,20,545,721,480,241,430,2,831,7506,18840,5153,638,1787,66,46353,86099
1,Arunachal Pradesh,Changlang,5,1,0,0,0,0,0,1,0,4,22,22,2,0,0,0,41,98
2,Arunachal Pradesh,Dibang Valley,11,0,0,2,2,1,1,0,0,4,20,7,2,1,0,0,50,99
3,Arunachal Pradesh,Kameng East,5,0,0,1,2,1,1,0,0,2,18,10,2,0,0,0,53,93
4,Arunachal Pradesh,Kameng West,1,0,0,0,4,2,2,1,0,3,17,39,0,1,0,0,88,154
5,Arunachal Pradesh,Siang East,6,3,2,6,5,3,2,4,0,5,21,29,0,1,0,0,86,168
6,Arunachal Pradesh,Siang West,4,2,0,1,4,1,3,0,0,5,19,57,5,3,5,0,108,213
7,Arunachal Pradesh,Subansiri Lower,11,0,2,3,5,5,0,2,0,6,52,70,0,9,8,0,248,416
8,Arunachal Pradesh,Lohit,2,0,1,1,6,2,4,2,0,6,32,25,1,0,4,0,76,156
9,Arunachal Pradesh,Tawang,3,0,0,0,2,1,1,0,0,0,19,9,0,2,1,0,32,68
10,Arunachal Pradesh,Tirap,1,0,0,1,3,1,2,2,0,2,24,28,1,3,3,0,94,165
11,Arunachal Pradesh,Subansiri Upper,3,0,0,2,6,4,2,0,0,2,16,8,3,0,0,0,94,134
12,Arunachal Pradesh,Total,52,6,5,17,39,21,18,12,0,39,260,304,16,20,21,0,973,1764
1,Assam,Barpeta,32,8,0,20,41,38,3,18,2,25,168,285,384,16,70,1,719,1789
2,Assam,Cachar,52,7,0,25,84,84,0,21,0,26,338,611,703,34,23,0,1431,3355
3,Assam,Darrang,49,9,0,9,24,18,6,53,10,56,194,257,245,8,4,0,645,1563
4,Assam,Dhubri,34,6,1,21,42,40,2,14,4,10,175,267,392,24,31,0,517,1538
5,Assam,Dibrugarh,163,34,6,35,71,70,1,25,5,93,309,1031,102,35,35,1,1516,3461
6,Assam,Goalpara,27,10,1,12,16,16,0,10,0,18,112,310,193,29,34,2,596,1370
7,Assam,Golaghat,48,17,2,24,57,56,1,16,1,21,119,325,65,11,23,0,650,1379
8,Assam,Jorhat,43,1,0,12,31,31,0,1,0,33,164,437,101,18,23,1,1012,1877
9,Assam,Karbi Anglong,28,34,0,11,22,19,3,18,1,16,77,139,235,9,12,0,407,1009
10,Assam,Kamrup,50,10,2,34,95,90,5,43,2,105,610,1580,459,133,99,1,2366,5589
11,Assam,Karimaganj,24,7,0,14,22,22,0,6,3,7,102,203,304,14,8,0,393,1107
12,Assam,Kokrajhar,52,69,2,18,26,26,0,160,11,87,52,360,318,11,16,1,530,1713
13,Assam,Lakhimpur,46,20,0,47,123,123,0,16,1,16,161,403,116,21,36,0,1135,2141
14,Assam,N.C. Hills,3,2,0,3,3,3,0,1,0,10,30,40,10,4,4,0,84,194
15,Assam,Nagaon,76,49,1,36,125,125,0,37,1,21,410,629,532,58,62,0,1499,3536
16,Assam,Nalbari,26,16,1,28,35,35,0,59,0,35,156,203,177,13,16,2,553,1320
17,Assam,Sibsagar,31,1,2,18,89,88,1,4,0,25,150,630,111,16,36,0,1088,2201
18,Assam,Sonitpur,64,13,0,37,35,35,0,31,2,53,266,512,301,25,31,1,1171,2542
19,Assam,Total,848,313,18,404,941,919,22,533,43,657,3593,8222,4748,479,563,10,16312,37684
1,Bihar,Aurangabad,55,5,1,9,13,12,1,65,2,20,173,240,375,19,28,0,1032,2037
2,Bihar,Bokaro,15,38,1,5,15,15,0,10,0,17,11,448,48,9,22,0,543,1182
3,Bihar,Begusarai,87,64,3,8,48,0,48,50,0,51,283,322,337,21,12,0,665,1951
4,Bihar,Bhagalpur,125,191,15,36,46,46,0,61,0,59,53,417,850,28,11,0,1126,3018
5,Bihar,Bhojpur,128,246,10,23,41,41,0,172,0,95,443,549,671,64,50,0,1448,3940
6,Bihar,Darbhanga,32,15,1,13,29,20,9,28,0,26,219,247,403,9,10,0,897,1929
7,Bihar,Deoghar,29,20,3,8,5,5,0,27,4,18,73,123,161,6,11,0,149,637
8,Bihar,Dhanbad,71,92,9,22,67,67,0,68,0,69,289,860,254,43,55,0,1906,3805
9,Bihar,Dumka,65,50,7,51,18,18,0,33,0,14,138,215,215,28,14,0,869,1717
10,Bihar,Champaran East,67,105,8,17,49,49,0,78,9,29,298,428,629,67,60,0,1677,3521
11,Bihar,Champaran West,38,77,24,22,55,0,55,63,0,37,204,209,429,22,54,0,1182,2416
12,Bihar,Gaya,122,155,11,12,22,22,0,124,17,63,222,662,625,52,29,0,1430,3546
13,Bihar,Giridih,70,42,55,65,32,22,10,85,15,81,302,325,350,15,14,0,1136,2587
14,Bihar,Godda,41,32,4,27,20,20,0,68,5,30,68,119,178,16,5,0,320,933
15,Bihar,Gopalganj,51,127,33,7,31,31,0,73,7,11,149,295,284,25,25,0,907,2025
16,Bihar,Gumla,98,38,3,43,21,21,0,30,0,46,63,143,54,7,10,0,501,1057
17,Bihar,Hazaribagh,141,71,19,26,40,39,1,106,23,90,411,788,411,24,39,0,2247,4436
18,Bihar,Jamshedpur,51,90,4,11,23,23,0,12,0,20,113,437,82,12,14,0,894,1763
19,Bihar,Jehanabad,71,86,3,8,39,9,30,84,0,26,117,181,216,12,13,0,562,1418
20,Bihar,Katihar,69,0,6,42,69,69,0,66,0,40,147,314,287,78,25,0,1016,2159
21,Bihar,Khagaria,48,63,0,9,49,49,0,24,0,33,34,206,261,9,16,0,607,1359
22,Bihar,Laharadaga,20,10,2,7,5,5,0,14,0,18,13,97,33,8,8,0,207,442
23,Bihar,Madhopura,30,8,2,7,17,17,0,55,0,28,106,132,321,8,19,0,529,1262
24,Bihar,Madhubani,39,46,0,11,29,29,0,58,0,29,304,424,605,58,34,0,1201,2838
25,Bihar,Munger,167,177,6,42,66,0,66,130,0,66,241,629,878,24,56,0,1830,4312
26,Bihar,Muzaffarpur,117,166,4,19,73,73,0,137,0,87,282,599,508,78,87,0,1424,3581
27,Bihar,Nalanda,93,98,2,8,19,19,0,64,0,69,136,395,358,11,19,0,963,2235
28,Bihar,Nawada,38,134,10,12,20,20,0,21,0,9,70,243,207,14,12,0,542,1332
29,Bihar,Palamau,133,89,4,24,54,54,0,129,0,61,283,448,299,21,29,0,1327,2901
30,Bihar,Patna,268,310,29,54,136,113,23,141,63,224,623,2429,460,210,101,1,4976,10025
31,Bihar,Purnea,118,59,19,80,105,105,0,185,0,122,535,812,1348,181,52,1,1632,5249
32,Bihar,Ranchi,210,79,17,25,32,32,0,61,11,227,286,953,152,48,55,0,2596,4752
33,Bihar,Rohtas,153,169,18,16,64,22,42,209,11,114,445,620,367,40,55,0,1899,4180
34,Bihar,Saharsa,48,50,4,21,36,36,0,70,0,39,218,298,552,22,42,0,1040,2440
35,Bihar,Sahibganj,76,59,9,22,30,30,0,55,0,20,112,225,258,11,22,3,424,1326
36,Bihar,Samastipur,54,70,21,20,40,40,0,99,11,33,170,265,311,35,30,0,1646,2805
37,Bihar,Saran,104,98,12,12,33,33,0,73,4,40,363,343,402,33,44,0,2415,3976
38,Bihar,Singhbhum,227,83,8,51,51,51,0,31,0,38,219,370,146,14,19,0,920,2177
39,Bihar,Sitamarhi,47,60,2,33,15,15,0,48,4,23,210,167,420,13,40,0,1306,2388
40,Bihar,Siwan,88,133,10,14,31,31,0,67,0,42,293,425,246,8,62,1,1085,2505
41,Bihar,Vaishali,62,176,80,8,30,30,0,60,4,43,282,193,268,57,61,0,1430,2754
42,Bihar,Dhanbad Rly.,4,0,0,2,3,3,0,14,0,11,4,155,9,0,1,0,108,311
43,Bihar,Jamalpur Rly.,5,3,0,2,3,3,0,19,1,5,1,256,11,6,8,0,54,374
44,Bihar,Jamshedpur Rly.,6,1,0,2,3,2,1,3,1,4,15,195,5,0,1,0,35,271
45,Bihar,Katihar Rly.,8,0,0,2,11,8,3,23,0,10,20,211,18,1,7,1,112,424
46,Bihar,Muzaffarpur Rly.,5,12,0,4,3,3,0,11,2,11,19,265,23,0,20,0,72,447
47,Bihar,Patna Rly.,6,2,0,0,7,7,0,19,3,19,3,746,18,5,19,0,50,897
48,Bihar,Total,3600,3699,479,962,1648,1359,289,3123,197,2267,9063,19423,15343,1472,1420,7,50937,113640
1,Goa,Goa,22,7,8,20,28,22,6,7,0,28,511,1229,236,72,40,5,1756,3969
1,Gujarat,Ahmedabad,122,107,1,13,129,76,53,26,0,101,878,4132,248,211,204,20,9162,15354
2,Gujarat,Amreli,21,7,0,4,13,11,2,3,0,21,88,355,45,25,11,2,1073,1668
3,Gujarat,Anand,50,27,0,7,27,25,2,11,0,24,233,734,52,46,27,1,2571,3810
4,Gujarat,Bharuch,59,28,0,13,27,27,0,20,0,33,292,646,50,51,26,0,2774,4019
5,Gujarat,Bhavnagar,54,17,6,2,22,19,3,4,0,30,189,524,75,58,17,6,1759,2763
6,Gujarat,Gandhinagar,10,3,0,2,7,6,1,2,0,12,83,299,26,10,24,0,888,1366
7,Gujarat,Himatnagar,29,7,1,8,21,21,0,11,0,20,278,610,36,151,19,3,2521,3715
8,Gujarat,Jamnagar,34,19,0,11,19,16,3,4,0,28,174,571,39,32,32,2,1753,2718
9,Gujarat,Junagadh,55,28,0,6,23,19,4,1,0,48,226,661,52,37,27,1,2040,3205
10,Gujarat,Kheda,35,8,0,15,11,8,3,6,0,18,193,512,50,44,23,2,1906,2823
11,Gujarat,Kutch,25,13,0,2,13,10,3,3,0,15,126,321,34,32,27,8,1507,2126
12,Gujarat,Meshana,43,14,0,5,21,18,3,3,0,39,195,930,112,78,35,2,2831,4308
13,Gujarat,Palanpur,42,27,0,5,27,27,0,4,0,79,332,706,103,87,22,1,2582,4017
14,Gujarat,Panchmahals,74,13,0,6,20,16,4,29,0,77,301,480,54,64,22,0,2633,3773
15,Gujarat,Patan,17,9,0,4,9,8,1,6,0,32,104,426,57,24,10,3,1214,1915
16,Gujarat,Porbandar,17,13,0,1,4,3,1,0,0,14,32,104,15,8,7,1,583,799
17,Gujarat,Rajkot,54,42,1,14,29,27,2,8,0,40,248,1065,77,119,40,4,3838,5579
18,Gujarat,Surat,90,21,0,17,51,41,10,10,0,62,316,1394,196,107,58,2,3826,6150
19,Gujarat,Surendranagar,32,20,0,9,20,16,4,2,0,21,146,406,35,38,22,0,1622,2373
20,Gujarat,Vadodara,107,47,0,17,64,53,11,23,0,65,734,3256,205,168,108,6,5185,9985
21,Gujarat,Valsad,48,12,0,6,10,10,0,11,0,10,243,490,44,45,25,0,2457,3401
22,Gujarat,W.Rly,12,5,0,1,4,3,1,4,0,17,23,1332,10,23,9,0,425,1865
23,Gujarat,Total,1030,487,9,168,571,460,111,191,0,806,5434,19954,1615,1458,795,64,55150,87732
1,Haryana,Ambala,37,16,11,17,36,31,5,2,2,13,278,560,11,34,42,6,1460,2525
2,Haryana,Bhiwani,21,7,6,8,6,2,4,4,0,5,89,193,35,20,53,1,1154,1602
3,Haryana,Faridabad,32,20,19,12,27,24,3,3,3,18,180,533,56,42,60,0,2244,3249
4,Haryana,Gurgaon,21,11,10,16,19,14,5,2,1,12,163,398,40,25,60,1,1461,2240
5,Haryana,Hissar,58,36,8,7,23,19,4,1,0,2,160,306,24,13,51,1,1421,2111
6,Haryana,Jind,24,13,9,7,3,1,2,2,1,9,158,177,12,10,21,0,535,981
7,Haryana,Karnal,51,18,11,26,17,14,3,2,0,10,213,482,33,38,61,0,1648,2610
8,Haryana,Kurukshetra,49,20,9,17,18,14,4,0,0,6,128,296,0,27,50,0,943,1563
9,Haryana,Narnaul,24,8,2,3,13,9,4,1,0,9,126,240,42,31,23,0,1589,2111
10,Haryana,Rohtak,64,21,16,8,24,19,5,4,0,38,230,372,54,27,59,1,1483,2401
11,Haryana,Sirsa,28,21,6,9,16,12,4,1,0,6,136,200,10,5,39,0,1213,1690
12,Haryana,Sonipat,40,20,7,20,25,13,12,3,0,24,131,263,22,25,35,0,1146,1761
13,Haryana,GRP,3,3,0,0,0,0,0,1,0,2,0,171,1,0,3,0,514,698
14,Haryana,Total,452,214,114,150,227,172,55,26,7,154,1992,4191,340,297,557,10,16811,25542
1,Himachal Pradesh,Bilaspur,5,3,2,2,2,2,0,1,0,0,42,33,55,11,1,0,283,440
2,Himachal Pradesh,Chamba,9,2,3,2,7,5,2,1,0,2,68,43,11,4,3,0,179,334
3,Himachal Pradesh,Hamirpur,3,1,1,2,3,3,0,0,0,0,25,19,8,1,6,0,179,248
4,Himachal Pradesh,Kangra,16,5,2,6,14,14,0,0,0,3,159,94,27,11,19,0,649,1005
5,Himachal Pradesh,Kinnaur,4,0,1,5,6,6,0,0,0,1,31,19,1,1,1,0,67,137
6,Himachal Pradesh,Kullu,4,6,1,0,10,8,2,0,0,2,40,44,4,21,1,0,176,309
7,Himachal Pradesh,Lahaul & Spiti,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,17,28
8,Himachal Pradesh,Mandi,10,9,4,3,14,10,4,0,0,1,112,139,26,12,11,0,643,984
9,Himachal Pradesh,Shimla,19,10,0,11,15,15,0,2,0,7,147,152,88,25,21,0,898,1395
10,Himachal Pradesh,Sirmaur,11,1,1,4,6,5,1,0,0,2,30,61,27,5,6,0,285,439
11,Himachal Pradesh,Solan,2,2,0,4,7,6,1,0,0,7,80,77,54,15,5,0,459,712
12,Himachal Pradesh,UNA,9,3,1,6,9,7,2,0,0,0,56,46,25,6,4,0,316,481
13,Himachal Pradesh,Rly. & Traffic,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,9
