SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,16,16,31,31,326,326,8818,8818,9191,9191
2,State,Arunachal Pradesh,1,1,7,1,24,24,716,716,748,742
3,State,Assam,36,36,124,124,720,720,18020,18000,18900,18880
4,State,Bihar,23,23,63,63,1102,1102,15890,15890,17078,17078
5,State,Goa,1,1,4,3,42,21,660,524,707,549
6,State,Gujarat,11,11,33,33,380,337,11809,10443,12233,10824
7,State,Haryana,6,6,16,16,299,293,4405,4405,4726,4720
8,State,Himachal Pradesh,6,6,16,14,174,119,3709,3614,3905,3753
9,State,Jammu & Kashmir,22,22,65,65,214,214,8058,8058,8359,8359
10,State,Karnataka,7,2,15,13,209,193,5193,5009,5424,5216
11,State,Kerala,8,8,36,31,253,230,6350,5292,6647,5561
12,State,Madhya Pradesh,32,32,125,125,2353,2353,22164,22164,24674,24674
13,State,Maharashtra,11,7,40,40,685,413,10605,9165,11341,9625
14,State,Manipur,25,14,54,35,260,210,6120,5123,6459,5382
15,State,Meghalaya,4,2,17,13,76,66,1979,1766,2076,1847
16,State,Mizoram,8,7,14,13,71,49,1728,1616,1821,1685
17,State,Nagaland,19,19,54,65,268,253,8602,8160,8943,8497
18,State,Orissa,17,17,79,79,522,419,6541,6537,7159,7052
19,State,Punjab,14,14,80,59,379,360,6466,5363,6939,5796
20,State,Rajasthan,11,11,40,40,271,251,7624,7101,7946,7403
21,State,Sikkim,1,1,5,2,17,12,524,507,547,522
22,State,Tamil Nadu,10,3,44,6,338,145,7817,3202,8209,3356
23,State,Tripura,10,7,46,23,185,129,4009,3139,4250,3298
24,State,Uttar Pradesh,42,35,137,137,1167,1167,32604,32604,33950,33943
25,State,West Bengal,37,37,87,87,986,986,29194,29194,30304,30304
Total (States),State,Total (States),378,338,1232,1118,11321,10391,229605,216410,242536,228257
26,UT,A & N Islands,1,1,1,1,19,19,480,414,501,435
27,UT,Chandigarh,0,0,1,1,32,27,1065,1000,1098,1028
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,11,10,30,30,485,445,10157,8749,10683,9234
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,2,2,30,30,796,796,828,828
Total (UTs),UT,Total (UTs),12,11,34,34,566,521,12498,10959,13110,11525
Total (All-India),Total (All-India),Total (All-India),390,349,1266,1152,11887,10912,242103,227369,255646,239782
33,City,Ahmedabad,0,0,0,0,0,0,0,0,0,0
34,City,Bangalore,2,2,10,9,152,135,3275,3200,3445,3346
35,City,Bombay,0,0,0,0,337,313,6386,5657,6723,5970
36,City,Calcutta,9,8,34,33,318,268,7372,6970,7733,7279
37,City,Delhi,11,10,30,30,485,445,10157,8749,10683,9234
38,City,Hyderabad,2,2,3,1,112,96,1869,1808,1986,1907
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,34,34,1898,1870,1932,1904
42,City,Madras,0,0,0,0,0,0,0,0,0,0
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0
44,City,Pune,0,0,0,0,77,77,1448,1451,1525,1528
