S. No.,Category,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Economic Offences,Criminal Breach of Trust,23669,704,24373,18864,599,19463,1959,26,1985,6350,137,6487,184,1,185
2,Economic Offences,Cheating,109878,4567,114445,88865,3451,92316,7979,150,8129,26439,976,27415,1062,42,1104
3,Economic Offences,Forgery,13807,634,14441,11075,409,11484,1043,40,1083,2373,65,2438,28,1,29
4,Economic Offences,Counterfeiting,1689,45,1734,1589,38,1627,289,4,293,578,4,582,25,0,25
Total Economic Offences,Total Economic Offences,Total Economic Offences,149043,5950,154993,120393,4497,124890,11270,220,11490,35740,1182,36922,1299,44,1343
