S. No. ,Category,State/UT ,Persons Arrested during the Year ,Persons Chargesheeted ,Persons Convicted ,Persons Acquitted/ Discharged 
1,State,Andhra Pradesh,168,181,41,29
2,State,Arunachal Pradesh,27,12,0,0
3,State,Assam,25,2,4,0
4,State,Bihar,143,127,27,10
5,State,Chhattisgarh,27,49,33,56
6,State,Goa,6,1,1,0
7,State,Gujarat,378,173,44,136
8,State,Haryana,165,273,103,249
9,State,Himachal Pradesh,93,63,10,45
10,State,Jammu & Kashmir,49,49,18,47
11,State,Jharkhand,139,125,0,27
12,State,Karnataka,73,274,128,219
13,State,Kerala,68,83,36,14
14,State,Madhya Pradesh,415,415,137,36
15,State,Maharashtra,1320,1378,106,478
16,State,Manipur,0,0,0,0
17,State,Meghalaya,0,0,0,0
18,State,Mizoram,49,13,0,3
19,State,Nagaland,7,28,0,0
20,State,Odisha,1090,562,98,158
21,State,Punjab,273,112,34,67
22,State,Rajasthan,523,465,94,138
23,State,Sikkim,43,1,5,0
24,State,Tamil Nadu,178,135,104,152
25,State,Telangana,101,122,26,19
26,State,Tripura,3,1,0,0
27,State,Uttar Pradesh,30,30,5,34
28,State,Uttarakhand,37,32,2,2
29,State,West Bengal,17,3,0,1
Total (States),State,Total (States),5447,4709,1056,1920
30,UT,A & N Islands,0,5,0,5
31,UT,Chandigarh,9,21,7,13
32,UT,D&N Haveli,0,0,0,0
33,UT,Daman & Diu,0,2,0,0
34,UT,Delhi UT,9,23,2,7
35,UT,Lakshadweep,0,0,0,0
36,UT,Puducherry,8,4,6,2
Total (UTs),UT,Total (UTs),26,55,15,27
Total (All India),Total (All India),Total (All India),5473,4764,1071,1947
