S. No.,Category,State/UT,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Total of Overall Age-Group - Total
1,State,Andhra Pradesh,13,1,14,15127,258,15385,18434,377,18811,7459,111,7570,685,16,701,41718,763,42481
2,State,Arunachal Pradesh,2,0,2,125,17,142,81,6,87,16,2,18,0,0,0,224,25,249
3,State,Assam,34,0,34,2521,12,2533,3082,31,3113,615,4,619,0,1,1,6252,48,6300
4,State,Bihar,183,0,183,15759,507,16266,13206,492,13698,5367,312,5679,45,12,57,34560,1323,35883
5,State,Chhattisgarh,131,1,132,21520,261,21781,20432,443,20875,8519,178,8697,1200,22,1222,51802,905,52707
6,State,Goa,0,0,0,501,4,505,469,2,471,216,2,218,39,0,39,1225,8,1233
7,State,Gujarat,128,3,131,82076,21766,103842,112878,45328,158206,48683,27628,76311,2933,1996,4929,246698,96721,343419
8,State,Haryana,139,1,140,16702,187,16889,15909,275,16184,5174,50,5224,410,4,414,38334,517,38851
9,State,Himachal Pradesh,12,0,12,1305,49,1354,2283,105,2388,1054,59,1113,166,16,182,4820,229,5049
10,State,Jammu & Kashmir,10,0,10,927,14,941,1721,38,1759,258,9,267,5,0,5,2921,61,2982
11,State,Jharkhand,18,0,18,2226,67,2293,4633,146,4779,1407,80,1487,40,19,59,8324,312,8636
12,State,Karnataka,24,2,26,26748,411,27159,31568,1145,32713,11214,647,11861,1329,140,1469,70883,2345,73228
13,State,Kerala,93,0,93,178114,153,178267,190364,259,190623,88287,88,88375,14081,17,14098,470939,517,471456
14,State,Madhya Pradesh,161,0,161,59636,814,60450,57746,1360,59106,21035,700,21735,2965,52,3017,141543,2926,144469
15,State,Maharashtra,303,9,312,82849,2510,85359,79426,4105,83531,32330,1924,34254,4434,322,4756,199342,8870,208212
16,State,Manipur,4,0,4,361,9,370,373,35,408,114,12,126,15,7,22,867,63,930
17,State,Meghalaya,13,1,14,101,3,104,66,3,69,29,0,29,7,0,7,216,7,223
18,State,Mizoram,4,0,4,163,33,196,162,28,190,23,6,29,5,0,5,357,67,424
19,State,Nagaland,2,0,2,288,17,305,283,16,299,38,5,43,6,1,7,617,39,656
20,State,Odisha,20,0,20,13229,288,13517,11739,334,12073,4129,168,4297,321,4,325,29438,794,30232
21,State,Punjab,16,0,16,8596,244,8840,8850,529,9379,3114,224,3338,102,13,115,20678,1010,21688
22,State,Rajasthan,110,2,112,38102,329,38431,37302,390,37692,14588,66,14654,990,4,994,91092,791,91883
23,State,Sikkim,2,0,2,144,4,148,103,3,106,11,0,11,2,0,2,262,7,269
24,State,Tamil Nadu,608,7,615,119475,4519,123994,122899,7670,130569,58671,4060,62731,6136,893,7029,307789,17149,324938
25,State,Telangana,8,1,9,4851,137,4988,7261,356,7617,2702,112,2814,393,24,417,15215,630,15845
26,State,Tripura,5,2,7,105,17,122,75,13,88,30,6,36,2,0,2,217,38,255
27,State,Uttar Pradesh,98,0,98,188162,1269,189431,148432,1397,149829,73967,559,74526,3800,23,3823,414459,3248,417707
28,State,Uttarakhand,1,0,1,1601,46,1647,2743,139,2882,1191,24,1215,103,0,103,5639,209,5848
29,State,West Bengal,105,3,108,11642,570,12212,12480,547,13027,5076,122,5198,195,4,199,29498,1246,30744
Total (States),State,Total (States),2247,33,2280,892956,34515,927471,905000,65572,970572,395317,37158,432475,40409,3590,43999,2235929,140868,2376797
30,UT,A & N Islands,0,0,0,410,59,469,813,110,923,506,79,585,60,24,84,1789,272,2061
31,UT,Chandigarh,0,0,0,731,27,758,472,22,494,198,12,210,67,3,70,1468,64,1532
32,UT,D&N Haveli,1,0,1,7,0,7,6,0,6,7,0,7,0,0,0,21,0,21
33,UT,Daman & Diu,0,0,0,21,3,24,24,1,25,10,0,10,0,0,0,55,4,59
34,UT,Delhi,59,0,59,5265,93,5358,3982,241,4223,1385,65,1450,45,3,48,10736,402,11138
35,UT,Lakshadweep,0,0,0,14,0,14,21,0,21,16,0,16,0,0,0,51,0,51
36,UT,Puducherry,5,0,5,361,2,363,362,5,367,214,7,221,22,0,22,964,14,978
Total (UTs),UT,Total (UTs),65,0,65,6809,184,6993,5680,379,6059,2336,163,2499,194,30,224,15084,756,15840
Total (All India),Total (All India),Total (All India),2312,33,2345,899765,34699,934464,910680,65951,976631,397653,37321,434974,40603,3620,44223,2251013,141624,2392637
