S. No. (Col.1),City (Col.2),Illegal Gain (Col.3),Revenge (Col.4),Insult to Modesty of Women (Col.5),Sexual Exploitation (Col.6),Extortion/ Black-mailing (Col.7),Prank / Satisfaction of Gaining Control (Col.8),Causing Disrepute (Col.9),Inciting Hate Crimes Against Community (Col.10),Developing own Business/ Interest (Col.11),Political Motives (Col.12),Disrupt Public Services (Col.13),Piracy (Col.14),Steal Information for Espionage (Col.15),Sale/ Purchase of Illegal Drugs/ Other Items (Col.16),"Serious Psychiatric Illness viz. Perversion, etc. (Col.17)",Others (Col.18),Total (Col.19) = (Col.1 to Col. 19)
1,"Ahmedabad 
(Gujarat)",48,0,0,8,2,1,8,0,4,0,0,0,0,0,0,6,77
2,"Bengaluru 
(Karnataka)",584,37,24,31,37,2,6,0,9,5,1,2,11,1,0,12,762
3,"Chennai 
(Tamil Nadu)",10,1,1,2,0,0,4,1,3,1,0,0,0,0,0,3,26
4,"Coimbatore 
(Tamil Nadu)",8,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18
5,Delhi,34,9,15,2,0,2,1,0,0,0,0,0,0,0,0,27,90
6,"Ghaziabad 
(Uttar Pradesh)",19,13,0,12,5,5,6,0,2,0,0,0,0,0,0,0,62
7,"Hyderabad 
(Telangana)",74,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
8,"Indore 
(Madhya Pradesh)",13,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,21
9,"Jaipur 
(Rajasthan)",100,45,0,1,22,0,4,0,0,0,0,0,0,0,0,360,532
10,"Kanpur 
(Uttar Pradesh)",78,0,0,20,19,0,0,19,0,0,0,0,0,0,0,0,136
11,"Kochi 
(Kerala)",20,3,1,1,0,0,7,0,0,0,0,0,0,0,1,0,33
12,"Kolkata 
(West Bengal)",34,35,29,14,30,0,0,0,0,0,0,0,0,0,0,26,168
13,"Kozhikode 
(Kerala)",13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16
14,"Lucknow 
(Uttar Pradesh)",270,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,361
15,"Mumbai 
(Maharashtra)",649,5,207,39,12,0,0,1,1,0,0,0,0,0,0,66,980
16,"Nagpur 
(Maharashtra)",23,2,4,8,0,0,1,0,0,0,0,0,0,0,0,59,97
17,"Patna 
(Bihar)",107,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
18,"Pune 
(Maharashtra)",113,24,9,19,9,1,12,1,0,0,7,2,5,2,0,65,269
19,"Surat 
(Gujarat)",63,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,66
Total Cities,Total Cities,2260,454,294,160,136,102,53,29,20,6,8,4,16,3,1,626,4172
