Category (Col.1),Crime Head (Col.2),Cases Pending Trial from the Previous Year (Col.3),Cases Sent for Trial during the Year (Col.4),Total Cases for Trial during the Year (Col.5) = (Col. 3+4),Number of Cases Withdrawn by the Govt. (Col.6),Number of Cases Disposed by Plea Bargaining (Col.7),Cases Compounded (Col.8),Cases in which Trials were Completed (Col.9) = (Col. 10+11),Cases Convicted (Col.10),Cases Acquitted or Discharged (Col.11),Cases Disposed off by Courts (Col.12) = (Col.6+ Col.7 + Col.8+ Col.9),Cases Pending Trial at the End of the Year (Col.13) = (Col.5 - Col.12),Conviction Rate (Col.14) = (Col.10/ Col.9) * 100,Pendency Percentage (Col.15) = (Col.13/ Col.5) * 100
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,2831,665,3496,0,0,0,371,178,193,371,3125,48,89.4
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,837,563,1400,0,0,0,175,42,133,175,1225,24,87.5
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,6924,1020,7944,0,0,41,608,220,388,649,7295,36.2,91.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,6920,1015,7935,0,0,41,608,220,388,649,7286,36.2,91.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,4,5,9,0,0,0,0,0,0,0,9,NA,100
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,3996,2598,6594,0,0,41,998,240,758,1039,5555,24,84.2
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,1603,1220,2823,0,0,14,331,129,202,345,2478,39,87.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,178,209,387,0,0,0,31,4,27,31,356,12.9,92
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,31,17,48,0,0,0,4,0,4,4,44,0,91.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,135,116,251,0,0,0,21,4,17,21,230,19,91.6
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,2049,1036,3085,0,0,27,611,103,508,638,2447,16.9,79.3
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,102,32,134,0,0,2,14,2,12,16,118,14.3,88.1
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,1865,541,2406,0,0,5,242,95,147,247,2159,39.3,89.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,404,90,494,0,0,2,68,23,45,70,424,33.8,85.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,19,8,27,0,0,0,0,0,0,0,27,NA,100
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,3,5,8,0,0,0,1,1,0,1,7,100,87.5
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,1119,354,1473,0,0,2,145,64,81,147,1326,44.1,90
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,320,84,404,0,0,1,28,7,21,29,375,25,92.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,6193,2066,8259,0,0,4,1064,309,755,1068,7191,29,87.1
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,117,85,202,0,0,0,22,5,17,22,180,22.7,89.1
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.9. Riots,2274,1416,3690,0,0,3,334,38,296,337,3353,11.4,90.9
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.10. Robbery,266,41,307,0,0,0,14,3,11,14,293,21.4,95.4
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.11. Dacoity,161,24,185,0,0,0,8,0,8,8,177,0,95.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.12. Arson,745,136,881,0,0,0,56,14,42,56,825,25,93.6
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.13. Other IPC Crimes *,46288,17315,63603,10,61,319,6600,1947,4653,6990,56613,29.5,89
2. SC / ST (Prevention of Atrocities) Act,2. SC / ST (Prevention of Atrocities) Act,40789,4497,45286,0,0,47,4048,659,3389,4095,41191,16.3,91
Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),113388,30999,144387,10,61,462,14554,3752,10802,15087,129300,25.8,89.6
"3. Protection of Civil Rights Act, 1955","3. Protection of Civil Rights Act, 1955",549,43,592,0,0,0,61,1,60,61,531,1.6,89.7
Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),113937,31042,144979,10,61,462,14615,3753,10862,15148,129831,25.7,89.6
