Category (Col.1),Crime Head (Col.2),Cases pending investigation from previous year (Col.3),Cases reported during the year (Col.4),Cases for Investigation (Col.5),Cases Chargesheeted (Col.6),Cases Not Chargesheeted but final report Submitted (Col.7),Total Cases disposed off by police (Col.8),Cases pending investigation at the end of the year (Col.9),Cases Conviction Rate (Col.6/ Col.8) *100 (Col.10)
A) Crime Against Tourist Foreigners - IPC - Cases,A.1. Murder,9,6,15,0,0,0,15,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.2. Culpable Homicide not Amounting to Murder,1,1,2,0,0,0,2,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.3. Attempt to Commit Murder,3,0,3,0,1,1,2,0
A) Crime Against Tourist Foreigners - IPC - Cases,A.4. Attempt to Commit Culpable Homicide,1,1,2,0,0,0,2,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.5. Grievous Hurt,0,3,3,0,0,0,3,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.6. Assault on Women with Intent to Outrage her Modesty,45,19,64,3,2,5,59,60
A) Crime Against Tourist Foreigners - IPC - Cases,A.7. Kidnapping & Abduction,0,1,1,0,1,1,0,0
A) Crime Against Tourist Foreigners - IPC - Cases,A.8. Human Trafficking,0,0,0,0,0,0,0,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.9. Rape,14,12,26,0,3,3,23,0
A) Crime Against Tourist Foreigners - IPC - Cases,A.10. Theft,62,11,73,0,6,6,67,0
A) Crime Against Tourist Foreigners - IPC - Cases,A.11. Extortion,0,0,0,0,0,0,0,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.12. Robbery,21,4,25,1,0,1,24,100
A) Crime Against Tourist Foreigners - IPC - Cases,A.13. Dacoity,1,1,2,0,0,0,2,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.14. Cheating,5,1,6,0,0,0,6,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.15. Forgery,7,1,8,0,1,1,7,0
A) Crime Against Tourist Foreigners - IPC - Cases,A.16. Insult to the Modesty of Women,1,2,3,0,0,0,3,NA
A) Crime Against Tourist Foreigners - IPC - Cases,A.17. Other IPC *,31,45,76,7,3,10,66,70
A) Crime Against Tourist Foreigners - SLL - Cases,"A.18. Immoral Traffic (Prevention) Act, 1956",1,2,3,0,0,0,3,NA
A) Crime Against Tourist Foreigners - SLL - Cases,A.19. Other SLL,22,6,28,0,0,0,28,NA
Total (A),Total (A),224,116,340,11,17,28,312,39.3
B) Crime Against Other Foreigners - IPC - Cases,A.1. Murder,2,4,6,0,0,0,6,NA
B) Crime Against Other Foreigners - IPC - Cases,A.2. Culpable Homicide not Amounting to Murder,1,0,1,0,0,0,1,NA
B) Crime Against Other Foreigners - IPC - Cases,A.3. Attempt to Commit Murder,3,0,3,0,0,0,3,NA
B) Crime Against Other Foreigners - IPC - Cases,A.4. Attempt to Commit Culpable Homicide,0,0,0,0,0,0,0,NA
B) Crime Against Other Foreigners - IPC - Cases,A.5. Grievous Hurt,1,0,1,0,0,0,1,NA
B) Crime Against Other Foreigners - IPC - Cases,A.6. Assault on Women with Intent to Outrage her Modesty,4,7,11,0,0,0,11,NA
B) Crime Against Other Foreigners - IPC - Cases,A.7. Kidnapping & Abduction,1,0,1,0,0,0,1,NA
B) Crime Against Other Foreigners - IPC - Cases,A.8. Human Trafficking,1,1,2,0,0,0,2,NA
B) Crime Against Other Foreigners - IPC - Cases,A.9. Rape,5,5,10,0,0,0,10,NA
B) Crime Against Other Foreigners - IPC - Cases,A.10. Theft,4,1,5,1,0,1,4,100
B) Crime Against Other Foreigners - IPC - Cases,A.11. Extortion,0,1,1,0,0,0,1,NA
B) Crime Against Other Foreigners - IPC - Cases,A.12. Robbery,2,0,2,0,0,0,2,NA
B) Crime Against Other Foreigners - IPC - Cases,A.13. Dacoity,0,0,0,0,0,0,0,NA
B) Crime Against Other Foreigners - IPC - Cases,A.14. Cheating,2,2,4,0,0,0,4,NA
B) Crime Against Other Foreigners - IPC - Cases,A.15. Forgery,4,0,4,0,0,0,4,NA
B) Crime Against Other Foreigners - IPC - Cases,A.16. Insult to the Modesty of Women,3,1,4,0,0,0,4,NA
B) Crime Against Other Foreigners - IPC - Cases,A.17. Other IPC *,22,15,37,8,1,9,28,88.9
B) Crime Against Other Foreigners - SLL - Cases,"A.18. Immoral Traffic (Prevention) Act, 1956",2,1,3,0,0,0,3,NA
B) Crime Against Other Foreigners - SLL - Cases,A.19. Other SLL,9,9,18,0,4,4,14,0
Total (B),Total (B),66,47,113,9,5,14,99,64.3
C) Total Crime Against Foreigners (A+B),C) Total Crime Against Foreigners (A+B),290,163,453,20,22,42,411,47.6
