S. No.,Category,State/UT,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,Above 18 Years - Male,Above 18 Years - Female,Above 18 Years - Total,Total - Male,Total - Female,Total - Total
1,State,Andhra Pradesh,0,44,44,0,839,839,0,883,883
2,State,Arunachal Pradesh,0,0,0,0,1,1,0,1,1
3,State,Assam,9,28,37,20,35,55,29,63,92
4,State,Bihar,183,13,196,8,32,40,191,45,236
5,State,Chhattisgarh,60,76,136,75,54,129,135,130,265
6,State,Goa,0,2,2,0,84,84,0,86,86
7,State,Gujarat,132,303,435,31,111,142,163,414,577
8,State,Haryana,5,8,13,23,72,95,28,80,108
9,State,Himachal Pradesh,2,2,4,0,152,152,2,154,156
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,4,27,31,5,9,14,9,36,45
12,State,Karnataka,113,219,332,113,567,680,226,786,1012
13,State,Kerala,147,192,339,96,179,275,243,371,614
14,State,Madhya Pradesh,975,1678,2653,620,1544,2164,1595,3222,4817
15,State,Maharashtra,78,94,172,0,969,969,78,1063,1141
16,State,Manipur,2,7,9,3,9,12,5,16,21
17,State,Meghalaya,0,1,1,0,7,7,0,8,8
18,State,Mizoram,0,2,2,0,0,0,0,2,2
19,State,Nagaland,0,0,0,0,0,0,0,0,0
20,State,Odisha,96,96,192,169,135,304,265,231,496
21,State,Punjab,33,1,34,0,0,0,33,1,34
22,State,Rajasthan,5281,345,5626,8,133,141,5289,478,5767
23,State,Sikkim,0,1,1,0,0,0,0,1,1
24,State,Tamil Nadu,215,433,648,375,1348,1723,590,1781,2371
25,State,Telangana,0,7,7,0,348,348,0,355,355
26,State,Tripura,2,4,6,3,1,4,5,5,10
27,State,Uttar Pradesh,772,80,852,46,26,72,818,106,924
28,State,Uttarakhand,1,2,3,1,18,19,2,20,22
29,State,West Bengal,397,1819,2216,73,504,577,470,2323,2793
Total (States),State,Total (States),8507,5484,13991,1669,7177,8846,10176,12661,22837
30,UT,A & N Islands,0,0,0,0,5,5,0,5,5
31,UT,Chandigarh,0,1,1,0,0,0,0,1,1
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,1,1,0,9,9,0,10,10
34,UT,Delhi,144,46,190,27,47,74,171,93,264
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),144,48,192,27,61,88,171,109,280
Total (All India),Total (All India),Total (All India),8651,5532,14183,1696,7238,8934,10347,12770,23117
