S. No.,Incidence of,Number of Cases Registered,Number of Cases Found to be False,Number of Police Personnel Chargesheeted,Number of Police Personnel Convicted
1,Fake Encounter Killings,13,6,4,0
2,Illegal Detentions or Arrests,16,2,1,0
3,Torture,1,0,0,0
4,Hurt/Injury,52,22,22,0
5,Extortion,50,18,7,0
6,Failure in Taking Action,2,0,0,0
7,Others Human Rights Violations,75,25,16,0
Total Human Rights Violation by Police,Total Human Rights Violation by Police,209,73,50,0
