S. No.,Category,State/UT,Year - 2014,Year - 2015,Year - 2016,Percentage State Share To All–India Total (2016),Rank Based on Incidence/ Percentage share (2016),Population of SCs #+ (in Lakhs)+,Rate of Total Cognizable Crimes,Rank Based on Crime Rate (2016)
1,State,Andhra Pradesh,2113,2263,2335,5.7,5,84.5,27.6,7
2,State,Arunachal Pradesh,0,0,0,0,NA,0,NA,NA
3,State,Assam,2,5,4,0,22,22.3,0.2,26
4,State,Bihar,7886,6367,5701,14,2,165.7,34.4,4
5,State,Chhattisgarh,359,216,243,0.6,15,32.7,7.4,16
6,State,Goa,13,13,11,0,21,0.3,36.7,3
7,State,Gujarat,1094,1010,1322,3.2,10,40.7,32.5,5
8,State,Haryana,475,510,639,1.6,13,51.1,12.5,14
9,State,Himachal Pradesh,119,94,116,0.3,18,17.3,6.7,17
10,State,Jammu & Kashmir,0,0,1,0,25,9.2,0.1,27
11,State,Jharkhand,903,736,525,1.3,14,39.9,13.2,13
12,State,Karnataka,1865,1852,1869,4.6,6,104.7,17.9,11
13,State,Kerala,712,696,810,2,12,30.4,26.6,8
14,State,Madhya Pradesh,3294,3546,4922,12.1,4,113.4,43.4,1
15,State,Maharashtra,1768,1804,1750,4.3,8,132.8,13.2,12
16,State,Manipur,1,0,2,0,24,1,2,20
17,State,Meghalaya,0,0,0,0,NA,0.2,0,NA
18,State,Mizoram,0,0,0,0,NA,0,NA,NA
19,State,Nagaland,0,0,0,0,NA,0,NA,NA
20,State,Odisha,1657,1823,1796,4.4,7,71.9,25,10
21,State,Punjab,123,147,132,0.3,16,88.6,1.5,23
22,State,Rajasthan,6735,5911,5134,12.6,3,122.2,42,2
23,State,Sikkim,3,3,1,0,26,0.3,3.3,19
24,State,Tamil Nadu,1494,1736,1291,3.2,11,144.4,8.9,15
25,State,Telangana,1427,1293,1529,3.7,9,54.3,28.2,6
26,State,Tripura,1,1,0,0,NA,6.5,0,NA
27,State,Uttar Pradesh,8066,8357,10426,25.6,1,413.6,25.2,9
28,State,Uttarakhand,60,80,65,0.2,19,18.9,3.4,18
29,State,West Bengal,130,150,119,0.3,17,214.6,0.6,24
Total (States),State,Total (States),40300,38613,40743,99.9,NA,1981.6,20.6,NA
30,UT,A & N Islands,0,0,0,0,NA,0,NA,NA
31,UT,Chandigarh,1,1,1,0,27,2,0.5,25
32,UT,D&N Haveli,0,0,0,0,NA,0.1,0,NA
33,UT,Daman & Diu,0,2,0,0,NA,0.1,0,NA
34,UT,Delhi,86,51,54,0.1,20,28.1,1.9,21
35,UT,Lakshadweep,0,0,0,0,NA,0,NA,NA
36,UT,Puducherry,14,3,3,0,23,2,1.5,22
Total (UTs),UT,Total (UTs),101,57,58,0.1,NA,32.2,1.8,NA
Total (All-India),Total (All-India),Total (All-India),40401,38670,40801,NA,NA,2013.8,20.3,NA
