S. No. (Col.1),City (Col.2),Tampering Computer Source Documents (Section 65) (Col.3),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Computer Related Offences (Section 66 and Section 66 B to E) (Total) (Col.4),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Under Section 66 (Col.4A),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Under Section 66B (Col.4B),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Under Section 66C (Col.4C),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Under Section 66D (Col.4D),IT Act - Computer Related Offences (Section 66 and Section 66 B to E) - Under Section 66E (Col.4E),Cyber Terrorism (Section 66F) (Col.5),"IT Act - Publication/Transmission of Obscene / Sexually Explicit Act, etc in Electronic Form - Publication/ transmission of obscene / sexually explicit act, etc in electronic form (Total) (Col.6)","IT Act - Publication/Transmission of Obscene / Sexually Explicit Act, etc in Electronic Form - Under Section 67A (Col.6A)","IT Act - Publication/Transmission of Obscene / Sexually Explicit Act, etc in Electronic Form - Under Section 67B (Col.6B)","IT Act - Publication/Transmission of Obscene / Sexually Explicit Act, etc in Electronic Form - Under Section 67C (Col.6C)",Breach of Confidentiality/ Privacy (Section 72) & Disclosure of Information in Breach of Lawful Contract (Section 72A) (Col.7),Others (IT Act) (Col.8),Total Cyber Crime under IT Act (Col.9),Data Theft (Section 379 to 381) (Col.10),"Criminal Breach of Trust/Fraud (Section 406, 408, 409) - Criminal Breach of Trust/Fraud (Section 406, 408, 409) (Total) (Col.11)","Criminal Breach of Trust/Fraud (Section 406, 408, 409) - Debit Card/ Credit Card Fraud (Col.11A)","Criminal Breach of Trust/Fraud (Section 406, 408, 409) - Other Fraud (Col.11B)",Cheating (Section 420 IPC) (Col.12),"Forgery (Section 465-468,471& 477A) (Col.13)",Other IPC Crimes (Col.14),Total Cyber Crimes under IPC (Col.15),SLL Offences (Involving Computer as Medium/Target) - Copy Right Act (Col.16),"SLL Offences (Involving Computer as Medium/Target) - Trade Marks Act, 1999 (Col.17)",SLL Offences (Involving Computer as Medium/Target) - Other SLL Offences (Col.18),SLL Offences (Involving Computer as Medium/Target) - Total Cyber Crimes under SLL (Col.19),Total Offences Under Cyber Crimes - IT Act (Col.20),Total Offences Under Cyber Crimes - IPC (Col.21),Total Offences Under Cyber Crimes - SLL (Col.22),Total Offences Under Cyber Crimes - Total Cyber Crimes (Col.23)
1,Ahmedabad (Gujarat),4,14,8,1,4,0,1,0,3,3,0,0,1,0,22,2,5,1,4,32,1,14,54,0,0,1,1,22,54,1,77
2,Bengaluru (Karnataka),2,718,148,19,250,278,23,0,39,37,2,0,2,1,762,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,762
3,Chennai (Tamil Nadu),0,23,8,0,7,7,1,0,3,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26
4,Coimbatore (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,18,0,0,0,0,0,18,0,18
5,Delhi,1,48,22,0,16,8,2,0,15,14,1,0,0,2,66,0,0,0,0,10,2,12,24,0,0,0,0,66,24,0,90
6,Ghaziabad (Uttar Pradesh),0,59,59,0,0,0,0,0,3,3,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,62
7,Hyderabad (Telangana),1,284,82,0,0,202,0,0,4,4,0,0,0,2,291,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,291
8,Indore (Madhya Pradesh),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,5,20,0,0,0,0,1,20,0,21
9,Jaipur (Rajasthan),0,95,31,4,53,7,0,0,18,18,0,0,0,306,419,1,0,0,0,110,0,1,112,1,0,0,1,419,112,1,532
10,Kanpur (Uttar Pradesh),0,94,67,0,27,0,0,0,20,20,0,0,0,0,114,0,0,0,0,22,0,0,22,0,0,0,0,114,22,0,136
11,Kochi (Kerala),1,10,1,0,5,2,2,0,3,3,0,0,1,0,15,0,0,0,0,16,0,2,18,0,0,0,0,15,18,0,33
12,Kolkata (West Bengal),3,59,3,0,35,21,0,0,29,29,0,0,0,77,168,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,168
13,Kozhikode (Kerala),0,3,1,0,1,1,0,0,1,1,0,0,0,1,5,1,0,0,0,2,1,7,11,0,0,0,0,5,11,0,16
14,Lucknow (Uttar Pradesh),15,346,188,0,151,7,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,361
15,Mumbai (Maharashtra),0,24,13,0,3,8,0,0,0,0,0,0,0,0,24,6,15,7,8,711,22,196,950,5,1,0,6,24,950,6,980
16,Nagpur (Maharashtra),0,15,1,0,9,5,0,0,3,3,0,0,0,0,18,2,0,0,0,48,0,29,79,0,0,0,0,18,79,0,97
17,Patna (Bihar),0,167,167,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,167
18,Pune (Maharashtra),2,57,18,1,17,21,0,1,19,18,0,1,0,9,88,1,1,0,1,152,0,26,180,0,0,1,1,88,180,1,269
19,Surat (Gujarat),0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,17,0,0,0,28,6,14,65,0,0,0,0,1,65,0,66
Total Cities,Total Cities,29,2018,818,25,579,567,29,1,160,156,3,1,4,398,2610,30,21,8,13,1147,39,316,1553,6,1,2,9,2610,1553,9,4172
