S. No.,City,Year - 2014,Year - 2015,Year - 2016,Percentage City Share To Total (2016),Rank Based on Incidence/ % share (2016)
1,Ahmedabad (Gujarat),437,609,481,2.5,9
2,Bengaluru (Karnataka),1063,1086,1333,7,3
3,Chennai (Tamil Nadu),205,194,230,1.2,14
4,Coimbatore (Tamil Nadu),22,38,69,0.4,19
5,Delhi,8139,8035,7392,38.7,1
6,Ghaziabad (Uttar Pradesh),191,180,130,0.7,16
7,Hyderabad (Telangana),463,486,410,2.1,11
8,Indore (Madhya Pradesh),730,478,631,3.3,8
9,Jaipur (Rajasthan),646,747,699,3.7,6
10,Kanpur (Uttar Pradesh),147,150,189,1,15
11,Kochi (Kerala),75,76,86,0.5,18
12,Kolkata (West Bengal),352,381,317,1.7,13
13,Kozhikode (Kerala),68,88,92,0.5,17
14,Lucknow # (Uttar Pradesh),146,140,956,5,5
15,Mumbai * (Maharashtra),1456,3187,3400,17.8,2
16,Nagpur (Maharashtra),411,693,693,3.6,7
17,Patna # (Bihar),155,191,378,2,12
18,Pune * (Maharashtra),437,1095,1180,6.2,4
19,Surat (Gujarat),398,393,415,2.2,10
Total Cities,Total Cities,15541,18247,19081,100,NA
