S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Trial from the Previous Year (Col.4),Cases Sent for Trial during the Year (Col.5),Total Cases for Trial during the Year (Col.6) = (Col.4+5),Number of Cases Withdrawn by the Govt. (Col.7),Number of Cases Disposed by Plea Bargaining (Col.8),Cases Compounded (Col.9),Cases in which Trials were Completed (Col.10) = (Col. 11+12),Cases Convicted (Col.11),Cases Acquitted or Discharged (Col.12),Cases Disposed off by Courts (Col.13) = (Col.7+Col.8 +Col.9+Col.10),Cases Pending Trial at the End of the Year (Col.14) = (Col.6 - Col.13),Conviction Rate (Col.15) = (Col.11/ Col.10) * 100,Pendency Percentage (Col.16) = (Col.14/ Col.6) * 100
1,A. Women - Related Acts,"Dowry Prohibition Act, 1961",2976,677,3653,0,0,7,435,7,428,442,3211,1.6,87.9
2,A. Women - Related Acts,"Immoral Traffic (Prevention) Act, 1956",5804,656,6460,0,0,2,351,197,154,353,6107,56.1,94.5
3,A. Women - Related Acts,"Protection of Women from Domestic Violence Act, 2005",12,4,16,0,0,0,3,1,2,3,13,33.3,81.3
4,A. Women - Related Acts,"Indecent Representation of Women (Prohibition) Act, 1986",220,9,229,0,0,0,5,4,1,5,224,80,97.8
5,A. Women - Related Acts,"Commission of Sati Prevention Act, 1987",0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (A),Total (A),Total (A),9012,1346,10358,0,0,9,794,209,585,803,9555,26.3,92.2
6,B. Children - Related Act,"Juvenile Justice (Care and Protection of Children) Act, 2000",714,479,1193,1,0,0,81,44,37,82,1111,54.3,93.1
7,B. Children - Related Act,"Prohibition of Child Marriage Act, 2006",34,7,41,0,0,0,4,0,4,4,37,0,90.2
8,B. Children - Related Act,"Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2,0,2,0,0,0,0,0,0,0,2,NA,100
Total (B),Total (B),Total (B),750,486,1236,1,0,0,85,44,41,86,1150,51.8,93
9,C. Scheduled Castes and Scheduled Tribes - Related Acts,"SC/ST (Prevention of Atrocities) Act, 1989)",1510,360,1870,0,0,1,82,2,80,83,1787,2.4,95.6
