Category,Particulars,Number of Incidents,Seizure/ Recovered (Quantity in Kg./Litre/ Number),Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Cases Registered in Local Police Station/NCB/Other Agencies
1. Seizures of Fire Arms,AK Series Rifle,360,81,337,2,339,NA
1. Seizures of Fire Arms,7.62 MM Bolt Action Rifle/Pistol,NA,2,NA,NA,NA,NA
1. Seizures of Fire Arms,9 MM Pistol (Russia Made),NA,238,NA,NA,NA,NA
1. Seizures of Fire Arms,UBGL2,NA,9,NA,NA,NA,NA
1. Seizures of Fire Arms,22 Pistol,NA,5,NA,NA,NA,NA
1. Seizures of Fire Arms,.303 Bolt Action,NA,288,NA,NA,NA,NA
1. Seizures of Fire Arms,USA Carbine/Pistol/Revolver,NA,12,NA,NA,NA,NA
1. Seizures of Fire Arms,SLR Rifle,NA,11,NA,NA,NA,NA
1. Seizures of Fire Arms,"HK 33, 5.56 MM Rifle",NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,5.56 INSAS,NA,10,NA,NA,NA,NA
1. Seizures of Fire Arms,9 MM Pistol,NA,22,NA,NA,NA,NA
1. Seizures of Fire Arms,Carbine/Sten Gun,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,Revolver,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,Sniper Rifle,NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,12 Bore Gun,NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,7.65 MM Pistol,NA,6,NA,NA,NA,NA
1. Seizures of Fire Arms,Chinese Pistol/Revolver,NA,10,NA,NA,NA,NA
1. Seizures of Fire Arms,.303 Rifle,NA,13,NA,NA,NA,NA
1. Seizures of Fire Arms,.315 Rifle,NA,16,NA,NA,NA,NA
1. Seizures of Fire Arms,ITALY Made Pistol,NA,7,NA,NA,NA,NA
1. Seizures of Fire Arms,Semi Auto Rifle/Pika Gun,NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,PAK Made Pistol,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,.32 MM Pistol,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,AK 47 C/M,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,12 Bore C/Made Rifle/Gun,NA,29,NA,NA,NA,NA
1. Seizures of Fire Arms,DBBL/SBML,NA,28,NA,NA,NA,NA
1. Seizures of Fire Arms,Bharmar Gun,NA,126,NA,NA,NA,NA
1. Seizures of Fire Arms,Muzzle Loaded Gun,NA,2,NA,NA,NA,NA
1. Seizures of Fire Arms,9 MM C/Made Pistol,NA,15,NA,NA,NA,NA
1. Seizures of Fire Arms,9 MM C/Made Carbine,NA,11,NA,NA,NA,NA
1. Seizures of Fire Arms,.315 C/Made Rifle,NA,49,NA,NA,NA,NA
1. Seizures of Fire Arms,22 Bolt Action C/Made Pistol,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,22 Bolt Action C/Made Rifle,NA,1,NA,NA,NA,NA
1. Seizures of Fire Arms,.303 C/Made Pistol,NA,6,NA,NA,NA,NA
1. Seizures of Fire Arms,.303 C/Made Rifle,NA,15,NA,NA,NA,NA
1. Seizures of Fire Arms,7.65 MM Pistol C/M,NA,6,NA,NA,NA,NA
1. Seizures of Fire Arms,.315 C/Made Pistol/Revolver,NA,19,NA,NA,NA,NA
1. Seizures of Fire Arms,7.65 MM C/Made Rifle,NA,2,NA,NA,NA,NA
1. Seizures of Fire Arms,7.62 MM C/Made Pistol,NA,7,NA,NA,NA,NA
1. Seizures of Fire Arms,7.62 MM C/Made Rifle,NA,4,NA,NA,NA,NA
1. Seizures of Fire Arms,5.56 C/M Rifle,NA,3,NA,NA,NA,NA
1. Seizures of Fire Arms,8 MM C/Made Rifle/Pistol/Gun,NA,9,NA,NA,NA,NA
1. Seizures of Fire Arms,C/Made Gun/Pistol/Rifle/Revolver/Carbine/Thurnate,NA,175,NA,NA,NA,NA
1. Seizures of Fire Arms,Total,360,736,337,2,339,NA
2. Seizure of Ammunition,8 MM Amns.,14,141,266,0,266,NA
2. Seizure of Ammunition,7.62 MM,52,3493,NA,NA,NA,NA
2. Seizure of Ammunition,AK 47 MM,37,4257,NA,NA,NA,NA
2. Seizure of Ammunition,0.315 MM,18,419,NA,NA,NA,NA
2. Seizure of Ammunition,9 MM,39,926,NA,NA,NA,NA
2. Seizure of Ammunition,.22 MM,12,1227,NA,NA,NA,NA
2. Seizure of Ammunition,5.56 MM2,14,1566,NA,NA,NA,NA
2. Seizure of Ammunition,.303 MM,20,851,NA,NA,NA,NA
2. Seizure of Ammunition,12 Bore,14,152,NA,NA,NA,NA
2. Seizure of Ammunition,0.32 MM,3,22,NA,NA,NA,NA
2. Seizure of Ammunition,0.31 MM,1,3,NA,NA,NA,NA
2. Seizure of Ammunition,0.306 MM,1,2,NA,NA,NA,NA
2. Seizure of Ammunition,.325 MM,1,6,NA,NA,NA,NA
2. Seizure of Ammunition,.38 MM,2,7,NA,NA,NA,NA
2. Seizure of Ammunition,0.3152 MM,15,1685,NA,NA,NA,NA
