S. No. (Col.1),Category (Col.2),State/UT (Col.3),IPC + SLL Cognizable Crimes - 2014 (Col.4),IPC + SLL Cognizable Crimes - 2015 (Col.5),IPC + SLL Cognizable Crimes - 2016 (Col.6),Percentage Share of State (2016) (Col.7),Mid-Year Projected Population (In Lakhs) (2016)+ (Col.8),Rate of Cognizable Crimes (IPC+SLL) (2016)++ (Col.9)
1,State,Andhra Pradesh,139882,126448,129389,2.7,517.4,250.1
2,State,Arunachal Pradesh,3038,3149,2700,0.1,13.2,204.5
3,State,Assam,97401,107465,107014,2.2,325.8,328.5
4,State,Bihar,195040,195412,189696,3.9,1043,181.9
5,State,Chhattisgarh,84474,87255,84192,1.7,259.9,323.9
6,State,Goa,7472,4556,3706,0.1,19.9,186.2
7,State,Gujarat,422299,434043,435422,9,630.8,690.3
8,State,Haryana,115469,131989,143111,3,276.1,518.3
9,State,Himachal Pradesh,17122,17221,17249,0.4,71.2,242.3
10,State,Jammu & Kashmir,25453,25310,26624,0.6,124.6,213.7
11,State,Jharkhand,51656,52911,47817,1,338,141.5
12,State,Karnataka,163003,170866,179479,3.7,625.7,286.8
13,State,Kerala,610365,653408,707870,14.7,357.5,1980.1
14,State,Madhya Pradesh,374059,358505,365154,7.6,782.6,466.6
15,State,Maharashtra,384815,423179,430866,8.9,1205.5,357.4
16,State,Manipur,4509,4851,4098,0.1,26,157.6
17,State,Meghalaya,3983,4406,3582,0.1,27.8,128.8
18,State,Mizoram,2575,2575,2800,0.1,10.7,261.7
19,State,Nagaland,1669,1928,1908,0,23.9,79.8
20,State,Odisha,93654,103208,103565,2.1,425.9,243.2
21,State,Punjab,64974,60236,57739,1.2,292,197.7
22,State,Rajasthan,268558,262176,251147,5.2,732.8,342.7
23,State,Sikkim,1265,950,1020,0,6.5,156.9
24,State,Tamil Nadu,505079,442162,467369,9.7,695.2,672.3
25,State,Telangana,127706,122778,120273,2.5,368.5,326.4
26,State,Tripura,5759,4864,4081,0.1,38.4,106.3
27,State,Uttar Pradesh,402601,474559,494025,10.2,2192.4,225.3
28,State,Uttarakhand,13049,15044,16074,0.3,106.8,150.5
29,State,West Bengal,206380,206278,204400,4.2,938.3,217.8
Total (States),State,Total (States),4393309,4497732,4602370,95.3,12476.2,368.9
30,UT,A & N Islands,2868,3059,2491,0.1,5.5,452.9
31,UT,Chandigarh,4678,5113,4256,0.1,18,236.4
32,UT,D&N Haveli,297,303,256,0,4.3,59.5
33,UT,Daman & Diu,252,319,287,0,3.3,87
34,UT,Delhi,165562,199976,216920,4.5,214.9,1009.4
35,UT,Lakshadweep,115,65,50,0,0.8,62.5
36,UT,Puducherry,4582,4109,4885,0.1,16.8,290.8
Total (UTs),UT,Total (UTs),178354,212944,229145,4.7,263.7,869
Total (All-India),Total (All-India),Total (All-India),4571663,4710676,4831515,100,12739.9,379.3
