S. No.,City,Below 18 Years - Male,Below 18 Years - Female,Below 18 Years - Total,18 Years & Above – Below 30 Years - Male,18 Years & Above – Below 30 Years - Female,18 Years & Above – Below 30 Years - Total,30 Years & Above – Below 45 Years - Male,30 Years & Above – Below 45 Years - Female,30 Years & Above – Below 45 Years - Total,45 Years & Above – Below 60 Years - Male,45 Years & Above – Below 60 Years - Female,45 Years & Above – Below 60 Years - Total,60 Years & Above - Male,60 Years & Above - Female,60 Years & Above - Total,Total of Overall Age-Group - Male,Total of Overall Age-Group - Female,Total of Overall Age-Group - Total
1,Ahmedabad (Gujarat),7,0,7,7023,832,7855,7575,1539,9114,2837,931,3768,257,183,440,17699,3485,21184
2,Bengaluru (Karnataka),5,0,5,2138,106,2244,2146,290,2436,605,262,867,146,90,236,5040,748,5788
3,Chennai (Tamil Nadu),45,0,45,47308,1590,48898,33366,2072,35438,9635,583,10218,42,2,44,90396,4247,94643
4,Coimbatore (Tamil Nadu),2,0,2,4566,29,4595,3076,51,3127,799,13,812,8,0,8,8451,93,8544
5,Delhi,55,0,55,4886,54,4940,3819,227,4046,1328,64,1392,43,2,45,10131,347,10478
6,Ghaziabad (Uttar Pradesh),1,0,1,1525,0,1525,2782,22,2804,872,6,878,2,0,2,5182,28,5210
7,Hyderabad (Telangana),1,0,1,692,21,713,1244,46,1290,268,5,273,10,0,10,2215,72,2287
8,Indore (Madhya Pradesh),29,0,29,2455,86,2541,1413,57,1470,321,13,334,18,0,18,4236,156,4392
9,Jaipur (Rajasthan),4,2,6,4633,192,4825,3437,138,3575,1290,9,1299,46,1,47,9410,342,9752
10,Kanpur (Uttar Pradesh),0,0,0,2018,1,2019,1674,1,1675,795,0,795,0,0,0,4487,2,4489
11,Kochi (Kerala),34,0,34,15482,4,15486,15904,12,15916,6789,3,6792,593,0,593,38802,19,38821
12,Kolkata (West Bengal),0,0,0,764,6,770,828,25,853,835,23,858,5,0,5,2432,54,2486
13,Kozhikode (Kerala),10,0,10,3582,8,3590,4352,13,4365,1965,1,1966,111,0,111,10020,22,10042
14,Lucknow (Uttar Pradesh),0,0,0,1464,0,1464,899,0,899,801,0,801,0,0,0,3164,0,3164
15,Mumbai (Maharashtra),50,0,50,12461,348,12809,7654,459,8113,2518,117,2635,373,36,409,23056,960,24016
16,Nagpur (Maharashtra),54,1,55,13164,108,13272,13006,181,13187,4787,89,4876,328,8,336,31339,387,31726
17,Patna (Bihar),42,0,42,858,11,869,1292,32,1324,548,6,554,0,0,0,2740,49,2789
18,Pune (Maharashtra),23,0,23,2087,74,2161,1461,172,1633,515,107,622,73,23,96,4159,376,4535
19,Surat (Gujarat),5,0,5,6295,2179,8474,11395,7227,18622,7796,5311,13107,551,661,1212,26042,15378,41420
Total Cities,Total Cities,367,3,370,133401,5649,139050,117323,12564,129887,45304,7543,52847,2606,1006,3612,299001,26765,325766
