S. No.,City,Persons Arrested - IPC,Persons Arrested - SLL,Persons Arrested - Total (IPC+SLL),Persons Chargesheeted - IPC,Persons Chargesheeted - SLL,Persons Chargesheeted - Total (IPC+SLL),Persons Convicted - IPC,Persons Convicted - SLL,Persons Convicted - Total (IPC+SLL),Persons Acquitted - IPC,Persons Acquitted - SLL,Persons Acquitted - Total (IPC+SLL),Persons Discharged - IPC,Persons Discharged - SLL,Persons Discharged - Total (IPC+SLL)
1,Ahmedabad (Gujarat),21416,21184,42600,21900,21651,43551,1378,5477,6855,6815,4366,11181,38,220,258
2,Bengaluru (Karnataka),44522,5788,50310,40401,5278,45679,16750,1471,18221,12160,2045,14205,116,38,154
3,Chennai (Tamil Nadu),56821,94643,151464,14142,93391,107533,7459,87552,95011,2991,4546,7537,8,2,10
4,Coimbatore (Tamil Nadu),4656,8544,13200,4564,8574,13138,2143,8037,10180,2984,272,3256,122,1,123
5,Delhi,86241,10478,96719,49959,8665,58624,12423,2958,15381,11434,1853,13287,2373,134,2507
6,Ghaziabad (Uttar Pradesh),8544,5210,13754,5187,3512,8699,1288,2227,3515,1286,112,1398,0,0,0
7,Hyderabad (Telangana),14344,2287,16631,15220,1744,16964,2446,1167,3613,4206,645,4851,46,0,46
8,Indore (Madhya Pradesh),14003,4392,18395,14068,4421,18489,7752,5072,12824,6439,288,6727,11,0,11
9,Jaipur (Rajasthan),14278,9752,24030,14150,9647,23797,2821,3496,6317,2870,88,2958,41,2,43
10,Kanpur (Uttar Pradesh),10757,4489,15246,7565,4647,12212,2898,15948,18846,2120,453,2573,0,0,0
11,Kochi (Kerala),17769,38821,56590,18247,38845,57092,9239,21499,30738,1682,411,2093,19,0,19
12,Kolkata (West Bengal),22052,2486,24538,13312,1748,15060,1509,197,1706,994,110,1104,0,0,0
13,Kozhikode (Kerala),8753,10042,18795,8781,9907,18688,6042,9645,15687,1686,121,1807,1,1,2
14,Lucknow (Uttar Pradesh),13292,3164,16456,6264,1975,8239,1169,1078,2247,1050,87,1137,0,0,0
15,Mumbai (Maharashtra),39517,24016,63533,42092,24205,66297,7497,10187,17684,8984,3082,12066,870,1480,2350
16,Nagpur (Maharashtra),12201,31726,43927,10787,31633,42420,1130,13978,15108,4208,3001,7209,0,0,0
17,Patna (Bihar),10077,2789,12866,7214,2289,9503,355,109,464,4777,598,5375,0,0,0
18,Pune (Maharashtra),16757,4535,21292,16044,4928,20972,1446,306,1752,4362,647,5009,208,618,826
19,Surat (Gujarat),22199,41420,63619,22396,41420,63816,1879,7188,9067,1312,1380,2692,0,0,0
Total Cities,Total Cities,438199,325766,763965,332293,318480,650773,87624,197592,285216,82360,24105,106465,3853,2496,6349
