Category,Particulars,Statistics
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Heroin  - Facilities detected ,1
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Heroin  - Morphine (Kg),2
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Heroin  - Opium (Kg.),3
1. Facilities detected / Quantity of finished drugs seized (in Kgs),ATS  - Facilities detected,3
1. Facilities detected / Quantity of finished drugs seized (in Kgs),ATS  - Amphetamine (Kg) ,240.19
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Ephedrine - Facilities detected ,1
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Ephedrine - Ephedrine (Kg) ,45.17
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Multi Drug Facilities - Facilities detected,3
1. Facilities detected / Quantity of finished drugs seized (in Kgs),Multi Drug Facilities -   Others (Kg),560
2. Persons arrested,Number of persons arrested,14
