S. No. (Col.1),City (Col.2),Offences against Body - Murder (Section 302 IPC) (Col.3),Offences against Body - Culpable Homicide not Amounting to Murder (Section 304 IPC) (Col.4),Offences against Body - Causing Death by Negligence (Section 304A IPC) (Col.5),Offences against Body - Attempt to Commit Murder (Section 307 IPC) (Col.6),Offences against Body - Attempt to Commit Culpable Homicide (Section 308 IPC) (Col.7),"Offences against Body - Grievous Hurt (325,326,326A & 326 B IPC) (Col.8)",Offences against Body - Causing Simple & Grevious Injuries under Rash Driving (Section 337 or 338 IPC) (Col.9),"Unlawful Assembly (Section 143,144 & 145 IPC) (Col.10)",Rioting (Sec.147-151 & 153A IPC) (Col.11),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Assault on Women with Intent to Outrage her Modesty (Total) (Col.12),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Assault on Women (Sec 354 IPC) (Col.12A),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Sexual Harassment (Section 354A IPC) (Col.12B),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Assault on Women with Intent to Disrobe (Section 354B IPC) (Col.12C),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Voyeurism (Section 354C IPC) (Col.12D),Assault on Women with Intent to Outrage her Modesty (Section 354 IPC) - Stalking (Section 354D IPC) (Col.12E),Insult to Modesty of Women (Section 509 IPC) (Col.13),Kidnapping & Abduction - Kidnapping & Abduction (Total) (Col.14),Kidnapping & Abduction - Kidnapping & Abduction (Section 363 IPC) (Col.14A),Kidnapping & Abduction - Kidnapping & Abduction for Ransom (Section 364A IPC) (Col.14B),Kidnapping & Abduction - Kidnapping & Abduction of Women to Compel her for Marriage (Section 366 IPC) (Col.14C),"Kidnapping & Abduction - Others (Sec 363A,365,367,368 & 369) (Col.14D)",Rape (Section 376 IPC) - Rape (Total) (Col.15),Rape (Section 376 IPC) - Rape (Section 376 IPC) (Col.15A),Rape (Section 376 IPC) - Gang Rape (Section 376D IPC) (Col.15B),Attempt to Commit Rape (Section 376/511 IPC) (Col.16),Unnatural Offences (Section 377 IPC) (Col.17),Theft (Section 379 To 382 IPC) (Col.18),Criminal Trespass & Burglary (Section 453 to 457 r/w 380 IPC) (Col.19),Robbery (Section 392 To 394 IPC) (Col.20),Dacoity (Section 395 to 398 IPC) (Col.21),Extortion (Section 384 IPC) (Col.22),Cheating (Section 419 to 420 IPC) (Col.23),Arson (Section 436 IPC) (Col.24),Forgery (Section 468 & 471 IPC) (Col.25),Other IPC Crimes* (Col.26),Total Cognizable IPC Crimes (Col.27)
1,Ahmedabad (Gujarat),7,0,6,5,0,8,15,0,8,6,2,3,0,0,1,0,11,0,0,8,3,4,4,0,0,3,89,22,6,1,0,0,0,0,60,251
2,Bengaluru (Karnataka),18,0,4,23,0,1,19,0,5,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,46,14,21,9,2,0,4,0,27,201
3,Chennai (Tamil Nadu),1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,14,6,1,0,0,0,0,20,351
4,Coimbatore (Tamil Nadu),1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,2,17
5,Delhi,51,1,9,81,32,23,58,0,7,138,37,66,19,1,15,19,46,38,1,0,7,143,141,2,1,35,766,149,370,7,6,8,1,0,373,2324
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,6
7,Hyderabad (Telangana),4,1,1,3,0,1,5,0,0,2,0,1,1,0,0,0,1,1,0,0,0,5,5,0,0,0,69,17,1,3,0,1,0,0,6,120
8,Indore (Madhya Pradesh),4,0,0,12,0,8,22,0,1,13,8,2,1,0,2,1,6,5,0,1,0,8,8,0,0,1,53,17,7,2,0,0,0,0,220,375
9,Jaipur (Rajasthan),2,0,0,6,0,1,4,5,0,8,5,0,1,0,2,0,7,3,0,1,3,11,9,2,0,0,111,42,12,0,0,2,0,0,38,249
10,Kanpur (Uttar Pradesh),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,14
11,Kochi (Kerala),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,17,5,1,1,0,0,0,0,1,29
12,Kolkata (West Bengal),2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,5,19
13,Kozhikode (Kerala),0,0,3,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,15,5,5,0,0,0,0,0,9,58
14,Lucknow (Uttar Pradesh),0,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,24,6,2,0,0,0,0,0,0,41
15,Mumbai (Maharashtra),8,0,8,15,0,87,49,0,21,52,24,11,1,1,15,6,18,17,0,0,1,47,44,3,1,16,251,75,40,6,0,4,1,1,195,901
16,Nagpur (Maharashtra),11,1,3,12,0,19,10,2,10,12,8,4,0,0,0,1,8,4,0,4,0,12,11,1,0,3,149,36,28,0,1,1,0,0,45,364
17,Patna (Bihar),2,0,0,0,0,12,0,0,3,5,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,18,5,3,0,0,0,0,0,17,71
18,Pune (Maharashtra),14,1,8,48,0,66,17,4,46,38,10,14,4,0,10,2,7,4,0,2,1,30,29,1,0,3,255,50,50,14,3,0,7,0,64,727
19,Surat (Gujarat),10,0,5,7,0,12,11,0,2,1,0,1,0,0,0,0,6,1,1,4,0,4,4,0,0,2,89,25,4,2,0,0,0,0,33,213
Total Cities,Total Cities,136,7,47,213,32,244,228,12,103,282,101,105,27,2,47,29,119,74,2,22,21,281,271,10,2,64,2277,483,568,46,12,16,13,2,1115,6331
