S. No.,Category,State/UT,Criminal Breach of Trust - (Sec 406 to 409 IPC),Cheating - (Sec 420 IPC),"Forgery - (Sec 465,468 & 471 IPC)","Counterfeiting - (231-243, 255 and 489A to 489E IPC)",Total Economic Crimes
1,State,Andhra Pradesh,764,4877,228,62,5931
2,State,Arunachal Pradesh,33,107,24,3,167
3,State,Assam,1767,4171,515,66,6519
4,State,Bihar,1361,5889,1358,20,8628
5,State,Chhattisgarh,139,1068,40,35,1282
6,State,Goa,39,141,15,4,199
7,State,Gujarat,1330,1693,364,76,3463
8,State,Haryana,1184,3155,760,24,5123
9,State,Himachal Pradesh,119,346,38,4,507
10,State,Jammu & Kashmir,78,538,19,7,642
11,State,Jharkhand,292,2254,565,8,3119
12,State,Karnataka,395,7117,372,96,7980
13,State,Kerala,274,4623,277,43,5217
14,State,Madhya Pradesh,498,1957,344,26,2825
15,State,Maharashtra,2036,9792,1056,124,13008
16,State,Manipur,18,88,24,7,137
17,State,Meghalaya,63,197,55,9,324
18,State,Mizoram,31,71,11,6,119
19,State,Nagaland,22,57,59,2,140
20,State,Odisha,449,3197,88,22,3756
21,State,Punjab,285,3947,17,22,4271
22,State,Rajasthan,406,18602,4550,31,23589
23,State,Sikkim,6,52,3,0,61
24,State,Tamil Nadu,122,3093,185,99,3499
25,State,Telangana,639,8394,193,60,9286
26,State,Tripura,30,79,33,4,146
27,State,Uttar Pradesh,3912,10553,1141,159,15765
28,State,Uttarakhand,161,888,195,45,1289
29,State,West Bengal,1646,6893,797,327,9663
Total (States),State,Total (States),18099,103839,13326,1391,136655
30,UT,A & N Islands,5,76,1,0,82
31,UT,Chandigarh,22,188,0,0,210
32,UT,D&N Haveli,6,13,0,0,19
33,UT,Daman & Diu,3,21,2,0,26
34,UT,Delhi UT,559,5396,392,80,6427
35,UT,Lakshadweep,0,1,0,0,1
36,UT,Puducherry,14,77,8,5,104
Total (UTs),UT,Total (UTs),609,5772,403,85,6869
Total (All India),Total (All India),Total (All India),18708,109611,13729,1476,143524
