S. No.,State/UT,Railway Police (UP) Act - Cases Registered,Railway Police (UP) Act - Persons Arrested,Railway Police (UP) Act - Cases Charge-sheeted,Railway Police (UP) Act - Persons Charge-sheeted,Railway Police (UP) Act - Cases Convicted,Railway Police (UP) Act - Persons Convicted,The Railways Act - Cases Registered,The ` Railways Act - Persons Arrested,The Railways Act - Cases Charge-sheeted,The Railways Act - Persons Charge-sheeted,The Railways Act - Cases Convicted,The Railways Act - Persons Convicted,Total (Railway Police (UP) Act +The Railways Act) - Cases Registered,Total (Railway Police (UP) Act + The Railways Act) - Persons Arrested,Total (Railway Police (UP) Act + The Railways Act) - Cases Charge-sheeted,Total (Railway Police (UP) Act + The Railways Act) - Persons Charge-sheeted,Total (Railway Police (UP) Act + The Railways Act) - Cases Convicted,Total (Railway Police (UP) Act + The Railways Act) - Persons Convicted
1,Andhra Pradesh,69310,69309,69293,69308,69258,69282,379,497,376,481,339,420,69689,69806,69669,69789,69597,69702
2,Arunachal Pradesh,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
3,Assam,6157,6374,4570,4681,4020,4221,84,149,36,57,28,39,6241,6523,4606,4738,4048,4260
4,Bihar,43558,50148,35333,38060,41472,47223,214,315,189,350,79,135,43772,50463,35522,38410,41551,47358
5,Chhattisgarh,23369,22412,21142,21145,20678,19919,207,248,186,417,79,88,23576,22660,21328,21562,20757,20007
6,Goa,248,248,239,239,239,239,1,1,0,0,0,0,249,249,239,239,239,239
7,Gujarat,77120,77047,74694,74729,73934,73724,110,167,74,125,20,32,77230,77214,74768,74854,73954,73756
8,Haryana,14564,15699,14251,15374,13411,14653,122,154,106,152,107,129,14686,15853,14357,15526,13518,14782
9,Himachal Pradesh,234,234,234,234,222,222,2,1,1,1,0,0,236,235,235,235,222,222
10,Jammu & Kashmir,999,6456,999,6456,999,6456,24,24,23,24,23,24,1023,6480,1022,6480,1022,6480
11,Jharkhand,18123,28076,14675,22298,17902,27824,288,373,212,276,66,89,18411,28449,14887,22574,17968,27913
12,Karnataka,37769,38135,37688,38126,37623,37959,70,127,71,87,38,46,37839,38262,37759,38213,37661,38005
13,Kerala,29140,29171,29140,29171,27096,27122,55,57,54,52,44,56,29195,29228,29194,29223,27140,27178
14,Madhya Pradesh,98506,98594,95906,97177,94872,96109,458,702,446,651,193,277,98964,99296,96352,97828,95065,96386
15,Maharashtra,223014,222842,219709,220064,216794,216881,346,581,325,534,120,156,223360,223423,220034,220598,216914,217037
16,Nagaland,35,35,32,35,32,35,0,0,0,0,0,0,35,35,32,35,32,35
17,Odisha,32238,32537,32119,32058,31666,31812,235,315,217,118,31,32,32473,32852,32336,32176,31697,31844
18,Punjab,22367,24997,21648,24091,21337,23992,294,297,275,324,168,196,22661,25294,21923,24415,21505,24188
19,Rajasthan,59508,59316,59290,56876,56586,56599,213,319,193,310,71,98,59721,59635,59483,57186,56657,56697
20,Tamil Nadu,81310,81408,81283,81408,81187,81321,329,394,319,391,331,417,81639,81802,81602,81799,81518,81738
21,Telangana,15210,28465,15203,28465,15159,26968,306,397,303,390,194,239,15516,28862,15506,28855,15353,27207
22,Tripura,10,10,9,10,9,10,2,2,1,1,1,1,12,12,10,11,10,11
23,Uttar Pradesh,123969,122090,121884,121961,120423,119848,751,995,644,988,379,573,124720,123085,122528,122949,120802,120421
24,Uttarakhand,5115,5078,5069,5069,4990,3495,27,36,27,38,21,35,5142,5114,5096,5107,5011,3530
25,West Bengal,56058,116287,33951,34371,45482,113462,389,522,328,490,33,41,56447,116809,34279,34861,45515,113503
26,Chandigarh,1397,1398,1397,1398,1139,1140,27,31,27,31,27,31,1424,1429,1424,1429,1166,1171
27,Delhi UT,24121,25282,24066,25281,24009,25177,172,184,129,194,97,140,24293,25466,24195,25475,24106,25317
28,Puducherry,303,299,303,299,299,299,1,1,1,1,2,2,304,300,304,300,301,301
Total All India,Total All India,1063752,1161947,1014127,1048384,1020838,1125992,5107,6890,4563,6483,2491,3296,1068859,1168837,1018690,1054867,1023329,1129288
