Category (Col.1),Crime Head (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported During the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in Which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
Environment Related Offences,"Forest Act, 1927",1227,3715,4942,0,39,0,480,25,154,3,662,3407,4108,834,82.9,16.9
Environment Related Offences,"Wildlife Protection Act, 1972",306,859,1165,0,15,0,115,11,12,2,140,605,760,405,79.6,34.8
Environment Related Offences,"Environmental (Protection) Act, 1986",78,122,200,0,0,0,9,0,7,0,16,67,83,117,80.7,58.5
Environment Related Offences,"Air (Prevention & Control of Pollution) Act, 1981",45,25,70,0,0,0,0,0,0,0,0,26,26,44,100,62.9
Environment Related Offences,"Water (Prevention & Control of Pollution) Act, 1974",11,11,22,0,0,0,0,0,0,0,0,9,9,13,100,59.1
Environment Related Offences,Total Environment Related Offences,1667,4732,6399,0,54,0,604,36,173,5,818,4114,4986,1413,82.5,22.1
