S. No.,Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,State,Andhra Pradesh,127,0,127,79,0,79,1,0,1,19,0,19,7,0,7
2,State,Arunachal Pradesh,9,2,11,4,1,5,0,0,0,0,0,0,0,0,0
3,State,Assam,408,0,408,71,0,71,3,0,3,9,0,9,0,0,0
4,State,Bihar,340,2,342,177,2,179,1,0,1,13,0,13,0,0,0
5,State,Chhattisgarh,10,0,10,13,0,13,9,0,9,2,0,2,4,0,4
6,State,Goa,3,0,3,3,0,3,0,0,0,4,0,4,0,0,0
7,State,Gujarat,47,5,52,50,5,55,0,0,0,4,0,4,0,0,0
8,State,Haryana,1740,16,1756,1638,14,1652,79,0,79,755,1,756,0,0,0
9,State,Himachal Pradesh,63,1,64,52,1,53,1,0,1,32,0,32,0,0,0
10,State,Jammu & Kashmir,72,0,72,49,0,49,3,0,3,3,0,3,0,0,0
11,State,Jharkhand,148,0,148,105,0,105,10,0,10,18,0,18,0,0,0
12,State,Karnataka,325,0,325,273,0,273,1,0,1,9,0,9,0,0,0
13,State,Kerala,388,7,395,357,4,361,17,0,17,104,0,104,0,0,0
14,State,Madhya Pradesh,32,0,32,25,0,25,3,0,3,2,0,2,0,0,0
15,State,Maharashtra,292,9,301,242,9,251,31,0,31,42,0,42,4,0,4
16,State,Manipur,383,19,402,8,3,11,1,0,1,0,0,0,6,1,7
17,State,Meghalaya,63,0,63,11,0,11,0,0,0,0,0,0,5,0,5
18,State,Mizoram,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0
19,State,Nagaland,20,0,20,15,0,15,4,0,4,0,0,0,0,0,0
20,State,Odisha,6,0,6,2,0,2,0,0,0,6,0,6,0,0,0
21,State,Punjab,57,2,59,38,1,39,7,0,7,9,0,9,0,0,0
22,State,Rajasthan,71,0,71,71,0,71,12,0,12,49,0,49,0,0,0
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,3555,93,3648,2549,86,2635,137,2,139,660,18,678,0,0,0
25,State,Telangana,143,0,143,129,0,129,6,0,6,11,0,11,0,0,0
26,State,Tripura,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
27,State,Uttar Pradesh,5629,2,5631,3541,2,3543,426,0,426,64,0,64,0,0,0
28,State,Uttarakhand,10,0,10,2,0,2,0,0,0,6,0,6,0,0,0
29,State,West Bengal,172,9,181,131,4,135,0,0,0,16,0,16,0,0,0
Total (States),State,Total (States),14120,167,14287,9641,132,9773,752,2,754,1837,19,1856,26,1,27
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
31,UT,Chandigarh,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi,64,0,64,54,0,54,15,0,15,2,0,2,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,7,1,8,11,1,12,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),72,1,73,66,1,67,15,0,15,3,0,3,1,0,1
Total (All India),Total (All India),Total (All India),14192,168,14360,9707,133,9840,767,2,769,1840,19,1859,27,1,28
