S. No.,Category,State/UT,SLL Cognizable Crimes - 2014,SLL Cognizable Crimes - 2015,SLL Cognizable Crimes - 2016,Percentage Share of State,Mid-Year Projected Population (In Lakhs)+,Rate of Cognizable Crimes (SLL)
1,State,Andhra Pradesh,25278,15755,22615,1.2,517.4,43.7
2,State,Arunachal Pradesh,195,181,166,0,13.2,12.6
3,State,Assam,3064,3849,4764,0.3,325.8,14.6
4,State,Bihar,17445,18439,25533,1.4,1043,24.5
5,State,Chhattisgarh *,26274,30563,29163,1.6,259.9,112.2
6,State,Goa,3006,1482,1014,0.1,19.9,51.1
7,State,Gujarat,290914,307108,288300,15.5,630.8,457.1
8,State,Haryana,35522,47523,54584,2.9,276.1,197.7
9,State,Himachal Pradesh,2962,3214,3863,0.2,71.2,54.3
10,State,Jammu & Kashmir,1605,1727,2123,0.1,124.6,17
11,State,Jharkhand,6321,7861,7107,0.4,338,21
12,State,Karnataka,25665,32019,31077,1.7,625.7,49.7
13,State,Kerala,403576,396334,447773,24.1,357.5,1252.7
14,State,Madhya Pradesh #,101636,89891,100736,5.4,782.6,128.7
15,State,Maharashtra,134981,147765,169152,9.1,1205.5,140.3
16,State,Manipur,868,1004,928,0.1,26,35.7
17,State,Meghalaya,304,327,216,0,27.8,7.8
18,State,Mizoram,435,347,375,0,10.7,35.1
19,State,Nagaland,512,626,532,0,23.9,22.3
20,State,Odisha,19085,19848,22105,1.2,425.9,51.9
21,State,Punjab,27812,22253,17732,1,292,60.7
22,State,Rajasthan,58140,64096,70749,3.8,732.8,96.6
23,State,Sikkim,200,184,211,0,6.5,32.5
24,State,Tamil Nadu $,311879,254604,287473,15.5,695.2,413.5
25,State,Telangana,20876,16496,11282,0.6,368.5,30.6
26,State,Tripura,260,172,148,0,38.4,3.9
27,State,Uttar Pradesh*,162126,232639,211854,11.4,2192.4,96.6
28,State,Uttarakhand *,3893,4796,5207,0.3,106.8,48.8
29,State,West Bengal,20708,26777,27831,1.5,938.3,29.7
Total (States),State,Total (States),1705542,1747880,1844613,99.4,12476.2,147.9
30,UT,A & N Islands,2122,2197,1689,0.1,5.5,304.9
31,UT,Chandigarh,1457,1865,1260,0.1,18,70
32,UT,D&N Haveli,20,34,12,0,4.3,2.8
33,UT,Daman & Diu,19,17,16,0,3.3,4.8
34,UT,Delhi UT,9908,8599,7401,0.4,214.9,34.4
35,UT,Lakshadweep,34,15,14,0,0.8,17.1
36,UT,Puducherry,998,669,799,0,16.8,47.5
Total (UTs),UT,Total (UTs),14558,13396,11191,0.6,263.7,42.4
Total (All-India),Total (All-India),Total (All-India),1720100,1761276,1855804,100,12739.9,145.7
