S. No. (Col.1),City (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt. (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1,Ahmedabad (Gujarat),2,10,12,1,0,0,0,0,0,0,0,7,7,4,100,33.3
2,Bengaluru (Karnataka),8,10,18,0,0,0,0,6,1,0,7,5,12,6,41.7,33.3
3,Chennai (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4,Coimbatore (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,Delhi,0,2,2,0,0,0,0,0,0,0,0,0,0,2,NA,100
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,Hyderabad (Telangana),15,21,36,0,1,0,1,1,3,0,5,4,10,26,40,72.2
8,Indore (Madhya Pradesh),0,6,6,0,0,0,0,0,0,0,0,5,5,1,100,16.7
9,Jaipur (Rajasthan),49,88,137,0,3,0,2,53,17,0,72,30,105,32,28.6,23.4
10,Kanpur (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11,Kochi (Kerala),2,2,4,0,0,0,2,0,0,0,2,0,2,2,0,50
12,Kolkata (West Bengal),5,2,7,0,0,0,4,0,0,0,4,2,6,1,33.3,14.3
13,Kozhikode (Kerala),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
14,Lucknow (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
15,Mumbai (Maharashtra),15,3,18,0,1,0,0,1,0,0,1,1,3,15,33.3,83.3
16,Nagpur (Maharashtra),0,5,5,0,0,0,0,0,0,0,0,4,4,1,100,20
17,Patna (Bihar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Pune (Maharashtra),1,1,2,0,0,0,0,0,0,0,0,1,1,1,100,50
19,Surat (Gujarat),1,9,10,0,0,0,0,0,0,0,0,10,10,0,100,0
Total Cities,Total Cities,98,159,257,1,5,0,9,61,21,0,91,69,165,91,41.8,35.4
