S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported During the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS/ Magistrate (Col.8),Cases Not Investigated U/S 157(1)(b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10 + Col.11+ Col.12+Col.13),Cases in Which Charge-sheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col. 8+9+14+15),Cases Pending Investi- gation at the End of the Year (Col.17) = (Col.6 - Col.7 + Col.16),Charge-Sheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ Col.6) * 100
1,A. Crime against Women - Related Acts,"Dowry Prohibition Act, 1961",522,875,1397,0,30,3,56,30,12,0,98,677,808,589,83.8,42.2
2,A. Crime against Women - Related Acts,"Immoral Traffic (Prevention) Act, 1956",1034,762,1796,0,4,0,4,0,1,0,5,656,665,1131,98.6,63
3,A. Crime against Women - Related Acts,"Protection of Women from Domestic Violence Act, 2005",11,7,18,0,0,0,1,0,0,0,1,4,5,13,80,72.2
4,A. Crime against Women - Related Acts,"Indecent Representation of Women (Prohibition) Act, 1986",10,0,10,0,0,0,0,0,0,0,0,9,9,1,100,10
5,A. Crime against Women - Related Acts,"Commission of Sati Prevention Act, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Total (A),A. Crime against Women - Related Acts,Total (A),1577,1644,3221,0,34,3,61,30,13,0,104,1346,1487,1734,90.5,53.8
6,B. Children - Related Act,"Juvenile Justice (Care and Protection of Children) Act, 2000",396,601,997,1,0,0,16,4,4,0,24,479,503,493,95.2,49.4
7,B. Children - Related Act,"Prohibition of Child Marriage Act, 2006",6,13,19,0,0,0,0,0,0,0,0,7,7,12,100,63.2
8,B. Children - Related Act,"Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,100
Total (B),B. Children - Related Act,Total (B),402,618,1020,1,0,0,16,4,4,0,24,486,510,509,95.3,49.9
9,C. Scheduled Castes and Scheduled Tribes - Related Acts,"SC/ST (Prevention of Atrocities) Act, 1989)",517,436,953,2,11,0,33,90,21,1,145,360,516,435,69.8,45.6
10,C. Scheduled Castes and Scheduled Tribes - Related Acts,"Protection of Civil Rights Act, 1955",20,6,26,0,0,0,0,0,0,0,0,3,3,23,100,88.5
