S. No.,Category,Events,Number of Occasions firing was Resorted to by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Police Firing,Riots,74,62,57,308,0,633
2,Police Firing,Self Defence,17,16,6,18,3,44
3,Police Firing,To Effect Arrest,30,30,16,8,1,22
4,Police Firing,Against Others,63,63,13,17,0,28
Total,Police Firing,Total,184,171,92,351,4,727
1,Police lathi Charge,Riots,1879,1829,19,640,0,3470
2,Police lathi Charge,Self Defence,281,281,6,27,1,401
3,Police lathi Charge,To Effect Arrest,1,1,4,8,0,12
4,Police lathi Charge,Against Others,23,23,6,84,0,830
Total,Police lathi Charge,Total,2184,2134,35,759,1,4713
