S. No. ,City,Year - 2014,Year - 2015,Year - 2016,Percentage City Share To Total (2016),Rank Based on Incidence/ % share (2016)
1,Ahmedabad (Gujarat),68,17,362,10.2,3
2,Bengaluru (Karnataka),89,100,156,4.4,8
3,Chennai (Tamil Nadu),221,203,210,5.9,5
4,Coimbatore (Tamil Nadu),13,52,233,6.5,4
5,Delhi,875,1176,642,18,2
6,Ghaziabad (Uttar Pradesh),7,4,0,0,NA
7,Hyderabad (Telangana),82,48,40,1.1,12
8,Indore (Madhya Pradesh),74,67,58,1.6,11
9,Jaipur (Rajasthan),117,118,108,3,9
10,Kanpur (Uttar Pradesh),0,0,0,0,NA
11,Kochi (Kerala),3,9,13,0.4,15
12,Kolkata (West Bengal),16,23,26,0.7,13
13,Kozhikode (Kerala),20,20,15,0.4,14
14,Lucknow (Uttar Pradesh),5,2,101,2.8,10
15,Mumbai (Maharashtra),944,1121,1218,34.2,1
16,Nagpur (Maharashtra),120,177,191,5.4,6
17,Patna (Bihar),4,0,0,0,NA
18,Pune (Maharashtra),267,160,189,5.3,7
19,Surat (Gujarat),5,0,0,0,NA
Totoal Cities,Totoal Cities,2930,3297,3562,100,NA
