S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage State Share To All–India (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Mid-Year Projected Female Population (in Lakhs) (2016)+ (Col.9),Rate of Total Cognizable Crimes (2016)++ (Col.10),Rank Based on Crime Rate (2016) (Col.11)
1,State,Andhra Pradesh,16526,15967,16362,4.8,8,257.8,63.5,9
2,State,Arunachal Pradesh,351,384,367,0.1,27,6.3,58.7,10
3,State,Assam,19169,23365,20869,6.2,6,158.9,131.3,2
4,State,Bihar,15393,13904,13400,4,12,504.3,26.6,29
5,State,Chhattisgarh,6301,5783,5947,1.8,16,129.5,45.9,18
6,State,Goa,508,392,371,0.1,26,9.2,40.5,20
7,State,Gujarat,10854,7777,8532,2.5,15,297.9,28.7,27
8,State,Haryana,9010,9511,9839,2.9,14,126.5,77.8,6
9,State,Himachal Pradesh,1529,1295,1222,0.4,22,34.7,35.2,24
10,State,Jammu & Kashmir,3327,3366,2850,0.8,20,59.6,47.8,16
11,State,Jharkhand,6086,6568,5453,1.6,17,164.2,33.2,25
12,State,Karnataka,14004,12775,14131,4.2,11,308.6,45.8,19
13,State,Kerala,11451,9767,10034,3,13,182.7,54.9,12
14,State,Madhya Pradesh,28756,24231,26604,7.8,5,373.9,71.1,8
15,State,Maharashtra,26818,31216,31388,9.3,3,574.5,54.6,13
16,State,Manipur,337,266,253,0.1,28,12.9,19.6,32
17,State,Meghalaya,390,337,372,0.1,25,13.8,27,28
18,State,Mizoram,258,158,120,0,30,5.2,23.2,30
19,State,Nagaland,68,91,105,0,32,11.4,9.2,36
20,State,Odisha,14651,17200,17837,5.3,7,211,84.5,3
21,State,Punjab,5481,5340,5105,1.5,18,134.3,38,22
22,State,Rajasthan,31216,28224,27422,8.1,4,350.1,78.3,5
23,State,Sikkim,111,53,153,0,29,3,50.3,15
24,State,Tamil Nadu,6354,5919,4463,1.3,19,346.7,12.9,34
25,State,Telangana,14147,15425,15374,4.5,9,183.6,83.7,4
26,State,Tripura,1618,1267,1013,0.3,23,18.8,53.9,14
27,State,Uttar Pradesh,38918,35908,49262,14.5,1,1037.3,47.5,17
28,State,Uttarakhand,1413,1465,1588,0.5,21,52.2,30.4,26
29,State,West Bengal,38424,33318,32513,9.6,2,456.8,71.2,7
Total (States),State,Total (States),323469,311272,322949,95.3,NA,6025.6,53.6,NA
30,UT,A & N Islands,117,136,108,0,31,2.7,40.1,21
31,UT,Chandigarh,434,468,414,0.1,24,7.3,56.7,11
32,UT,D&N Haveli,21,25,28,0,35,2,14.4,33
33,UT,Daman & Diu,16,29,41,0,34,1.1,37.3,23
34,UT,Delhi,15319,17222,15310,4.5,10,95.5,160.4,1
35,UT,Lakshadweep,4,9,9,0,36,0.4,21.4,31
36,UT,Puducherry,77,82,95,0,33,7.4,12.8,35
Total (UTs),UT,Total (UTs),15988,17971,16005,4.7,NA,116.4,137.6,NA
Total (All India),Total (All India),Total (All India),339457,329243,338954,100,NA,6142,55.2,NA
