S. No. (Col.1),City (Col.2),SC/ST(Prevention of Atrocities) Act r/w IPC - Murder (Section 302 IPC) - I (Col.3),SC/ST(Prevention of Atrocities) Act r/w IPC - Murder (Section 302 IPC) - V (Col.4),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault on ST Women to Outrage Her Modesty (Total) - I (Col.5),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault on ST Women to Outrage Her Modesty (Total) - V (Col.6),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault on Women (Section 354) - I (Col.5A),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault on Women (Section 354) - V (Col.6A),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Sexual Harassment (Section 354A IPC) - I (Col.5B),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Sexual Harassment (Section 354A IPC) - V (Col.6B),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Section 354B IPC) - I (Col.5C),SC/ST(Prevention of Atrocities) Act r/w IPC - Assault on ST Women to Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Section 354B IPC) - V (Col.6C),SC/ST(Prevention of Atrocities) Act r/w IPC - Insult to Modesty of ST Women (Sec 509 IPC) - I (Col.7),SC/ST(Prevention of Atrocities) Act r/w IPC - Insult to Modesty of ST Women (Sec 509 IPC) - V (Col.8),"SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction 
(Total) - I (Col.9)","SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction 
(Total) - V (Col.10)",SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction of ST Women to Compel Her For Marriage (Sec 366 IPC) - I (Col.9A),SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction of ST Women to Compel Her For Marriage (Sec 366 IPC) - V (Col.10A),"SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction for Other Reasons (Sec 363A, 365, 366A, 366B, 367, 368, 369 IPC) - I (Col.9B)","SC/ST(Prevention of Atrocities) Act r/w IPC - Kidnapping & Abduction - Kidnapping & Abduction for Other Reasons (Sec 363A, 365, 366A, 366B, 367, 368, 369 IPC) - V (Col.10B)",SC/ST(Prevention of Atrocities) Act r/w IPC - Rape (Section 376 IPC) - I (Col.11),SC/ST(Prevention of Atrocities) Act r/w IPC - Rape (Section 376 IPC) - V (Col.12),SC/ST(Prevention of Atrocities) Act r/w IPC - Other IPC Crimes * - I (Col.13),SC/ST(Prevention of Atrocities) Act r/w IPC - Other IPC Crimes * - V (Col.14),SC/ST(Prevention of Atrocities) Act r/w IPC - Total SC/ST (POA) Act r/w IPC - I (Col.15),SC/ST(Prevention of Atrocities) Act r/w IPC - Total SC/ST (POA) Act r/w IPC - V (Col.16),SC/ST (Prevention of Atrocities) Act only (Without IPC) - I (Col.17),SC/ST (Prevention of Atrocities) Act only (Without IPC) - V (Col.18),Total of SC/ST (Prevention of Atrocities) Act (With & Without IPC) - I (Col.19),Total of SC/ST (Prevention of Atrocities) Act (With & Without IPC) - V (Col.20),Protection of Civil Rights Act against SCs - I (Col.21),Protection of Civil Rights Act against SCs - V (Col.22),Total Crime/ Atrocities Against Scheduled Tribes - I (Col.23),Total Crime/ Atrocities Against Scheduled Tribes - V (Col.24)
1,Ahmedabad (Gujarat),2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,3,3,2,2,9,9,1,1,10,10,0,0,10,10
2,Bengaluru (Karnataka),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,9,10,10,0,0,10,10
3,Chennai (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Coimbatore (Tamil Nadu),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Hyderabad (Telangana),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,11,12,10,10,21,22,0,0,21,22
8,Indore (Madhya Pradesh),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,2,4,6,8,0,0,6,8,0,0,6,8
9,Jaipur (Rajasthan),0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5,5,79,81,86,88,2,2,88,90,0,0,88,90
10,Kanpur (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kochi (Kerala),0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,2,0,0,2,2
12,Kolkata (West Bengal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,2,2
13,Kozhikode (Kerala),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lucknow (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mumbai (Maharashtra),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,3,3
16,Nagpur (Maharashtra),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5
17,Patna (Bihar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Pune (Maharashtra),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
19,Surat (Gujarat),4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,8,9,1,1,9,10,0,0,9,10
Total Cities,Total Cities,7,8,3,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,20,20,99,104,132,138,27,27,159,165,0,0,159,165
