S. No.,Commodities,Value (Rs. in Crores)
1,Narcotics,5129.62
2,Machinery & Machinery Parts,525.25
3,Gold,235.2
4,Foreign Currency,38.87
5,Electronic Goods including computers,7.19
6,Vehicles and vessels,2.6
7,Chemicals/Pharmaceuticals Chemicals,0.15
8,Misc./ Others,263.52
9,Total ,6202.4
