S. No,State/UT,Prohibition Act (Centre & States),"Excise Act, 1944","Arms Act, 1959","NDPS Act, 1985","Gambling Act, 1867","Indian Railways Act, 1989","Juvenile Justice (Care and Protection of Children) Act, 2000","Foreigners Act, 1946","Electricity Act, 2003","Wildlife Protection Act, 1972","Prevention of Damage to Public Property Act, 1984","SC/ST (POA) Act, 1989","Explosives & Explosive Substances Act, 1908","Forest Act, 1927","Bonded Labour System (Abolition) Act, 1976","Railway Property (Unlawful Possession) Act, 1966",Other SLL crimes,Total SLL Crimes,Total GRP Crimes (IPC+SLL)
1,Andhra Pradesh,0,0,1,53,0,4,0,0,0,0,0,0,0,0,0,0,18,76,1893
2,Assam,0,0,2,31,0,0,0,1,0,0,0,0,3,0,0,0,5,42,537
3,Bihar,0,1094,32,42,2,7,12,2,0,6,0,0,1,0,11,0,26,1235,3522
4,Chhattisgarh,0,34,9,17,19,1,0,0,0,0,0,0,0,0,0,0,0,80,630
5,Gujarat,3815,0,3,15,89,2,0,0,0,0,0,3,0,0,0,0,1072,4999,6561
6,Haryana,0,170,33,38,12,14,0,1,0,0,0,1,3,0,0,0,1,273,1843
7,Himachal Pradesh,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,12
8,Jammu & Kashmir,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,69
9,Jharkhand,0,2,0,2,0,0,0,1,0,0,0,2,3,0,0,0,1,11,583
10,Karnataka,0,8,0,5,1,5,0,0,0,0,0,0,1,0,0,0,37,57,1479
11,Kerala,87,0,0,35,0,7,2,0,0,0,1,0,0,0,0,0,7239,7371,7678
12,Madhya Pradesh,0,36,66,16,53,0,0,0,0,0,0,0,0,0,0,0,0,171,5253
13,Maharashtra,114,0,6,45,6,18,0,0,0,0,0,0,0,0,0,0,137,326,7684
14,Odisha,0,8,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,17,1144
15,Punjab,0,303,146,188,3,5,0,0,0,0,0,0,1,0,0,0,1,647,1138
16,Rajasthan,0,28,199,76,322,2,0,0,0,1,1,9,1,0,0,0,160,799,2135
17,Tamil Nadu,7,0,0,5,3,6,209,0,0,0,0,0,0,0,0,0,133,363,1218
18,Telangana,0,3,0,20,0,5,82,0,0,0,0,0,0,0,0,0,31,141,1277
19,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9
20,Uttar Pradesh,0,222,1092,779,35,268,7,0,38,13,16,0,2,12,0,2,139,2625,10918
21,West Bengal,0,75,12,33,1,0,0,104,0,4,2,2,2,0,0,0,17,252,2001
22,Delhi UT,0,4,9,2,1,1,0,0,0,0,0,1,0,0,0,0,44,62,4368
Total All India,Total All India,4023,1991,1610,1415,553,346,312,109,38,24,21,18,17,12,11,2,9062,19564,61952
