S. No. (Col.1),City (Col.2),Dowry Deaths (Sec.304B IPC) - I (Col.3),Dowry Deaths (Sec.304B IPC) - V (Col.4),Dowry Deaths (Sec.304B IPC) - R (Col.5),Abetment of Suicide of Women (Sec.306 IPC) - I (Col.6),Abetment of Suicide of Women (Sec.306 IPC) - V (Col.7),Abetment of Suicide of Women (Sec.306 IPC) - R (Col.8),Causing miscarriage without women's consent (Sec.313 IPC) - I (Col.9),Causing miscarriage without women's consent (Sec.313 IPC) - V (Col.10),Causing miscarriage without women's consent (Sec.313 IPC) - R (Col.11),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - I (Col.12),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - V (Col.13),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - R (Col.14),Cruelty by Husband or his relatives (Sec.498A) - I (Col.15),Cruelty by Husband or his relatives (Sec.498A) - V (Col.16),Cruelty by Husband or his relatives (Sec.498A) - R (Col.17),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - I (Col.18),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - V (Col.19),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - R (Col.20),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - I (Col.18A),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - V (Col.19A),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - R (Col.20A),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - I (Col.18B),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - V (Col.19B),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - R (Col.20B),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel women Marriage (Sec. 366 IPC) - I (Col.18C),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel women Marriage (Sec. 366 IPC) - V (Col.19C),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel women Marriage (Sec. 366 IPC) - R (Col.20C),"Kidnapping & Abduction of Women - Kidnapping & Abduction (Female) Others * (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - I (Col.18D)","Kidnapping & Abduction of Women - Kidnapping & Abduction (Female) Others * (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - V (Col.19D)","Kidnapping & Abduction of Women - Kidnapping & Abduction (Female) Others * (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - R (Col.20D)",Human Trafficking (Sec. 370 & 370A IPC) - I (Col.21),Human Trafficking (Sec. 370 & 370A IPC) - V (Col.22),Human Trafficking (Sec. 370 & 370A IPC) - R (Col.23),Rape** - Rape (Total) - I (Col.24),Rape** - Rape (Total) - V (Col.25),Rape** - Rape (Total) - R (Col.26),Rape** - Rape (Sec. 376 IPC) - I (Col.24A),Rape** - Rape (Sec. 376 IPC) - V (Col.25A),Rape** - Rape (Sec. 376 IPC) - R (Col.26A),Rape** - Gang Rape (Sec. 376D IPC) - I (Col.24B),Rape** - Gang Rape (Sec. 376D IPC) - V (Col.25B),Rape** - Gang Rape (Sec. 376D IPC) - R (Col.26B),Rape - Custodial Rape# (Sec. 376C IPC) - I (Col.24C),Rape - Custodial Rape# (Sec. 376C IPC) - V (Col.25C),Rape - Custodial Rape# (Sec. 376C IPC) - R (Col.26C),Attempt to Commit Rape (Sec. 376/511 IPC) - I (Col.27),Attempt to Commit Rape (Sec. 376/511 IPC) - V (Col.28),Attempt to Commit Rape (Sec. 376/511 IPC) - R (Col.29),Unnatural Offences (Sec. 377 IPC) - I (Col.30),Unnatural Offences (Sec. 377 IPC) - V (Col.31),Unnatural Offences (Sec. 377 IPC) - R (Col.32),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - I (Col.33),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - V (Col.34),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - R (Col.35),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - I (Col.33A),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - V (Col.34A),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - R (Col.35A),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - I (Col.33B),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - V (Col.34B),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - R (Col.35B),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec.354B IPC) - I (Col.33C),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec.354B IPC) - V (Col.34C),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec.354B IPC) - R (Col.35C),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - I (Col.33D),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - V (Col.34D),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - R (Col.35D),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - I (Col.33E),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - V (Col.34E),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - R (Col.35E),Insult to Modesty of Women (Total) (Sec. 509 IPC) - I (Col.36),Insult to Modesty of Women (Total) (Sec. 509 IPC) - V (Col.37),Insult to Modesty of Women (Total) (Sec. 509 IPC) - R (Col.38),Total IPC Crimes against Women @@ - I (Col.39),Total IPC Crimes against Women @@ - V (Col.40),Total IPC Crimes against Women @@ - R (Col.41),"Dowry Prohibition Act, 1961 - I (Col.42)","Dowry Prohibition Act, 1961 - V (Col.43)","Dowry Prohibition Act, 1961 - R (Col.44)",Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act 1956 (Women Cases only)-Total - I (Col.45),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act 1956 (Women Cases only)-Total - V (Col.46),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act 1956 (Women Cases only)-Total - R (Col.47),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/ inducing a Person for sake of Prostitution (Sec 5) - I (Col.45A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/ inducing a Person for sake of Prostitution (Sec 5) - V (Col.46A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/ inducing a Person for sake of Prostitution (Sec 5) - R (Col.47A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - I (Col.45B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - V (Col.46B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - R (Col.47B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - I (Col.45C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - V (Col.46C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - R (Col.47C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - I (Col.45D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - V (Col.46D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - R (Col.47D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - I (Col.45E),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - V (Col.46E),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - R (Col.47E),"Protection of Women From Domestic Violence Act, 2005 - I (Col.48)","Protection of Women From Domestic Violence Act, 2005 - V (Col.49)","Protection of Women From Domestic Violence Act, 2005 - R (Col.50)",Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act)** - I (Col.51),Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act)** - V (Col.52),Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act)** - R (Col.53),Total SLL Crimes* against Women - I (Col.54),Total SLL Crimes* against Women - V (Col.55),Total SLL Crimes* against Women - R (Col.56),Total Crime against Women (IPC+SLL) @ - I (Col.57),Total Crime against Women (IPC+SLL) @ - V (Col.58),Total Crime against Women (IPC+SLL) @ - R (Col.59)
1,Ahmedabad (Gujarat),2,2,0.1,21,21,0.7,0,0,0,3,3,0.1,562,562,18.7,271,272,9,63,63,2.1,0,0,0,199,200,6.6,9,9,0.3,0,0,0,112,113,3.7,109,110,3.6,2,2,0.1,1,1,0,0,0,0,2,2,0.1,131,132,4.4,39,39,1.3,58,58,1.9,15,16,0.5,4,4,0.1,15,15,0.5,8,8,0.3,1112,1115,37.1,0,0,0,11,13,0.4,7,7,0.2,0,0,0,1,3,0,3,3,0.1,0,0,0,0,0,0,3,3,0.1,14,16,0.5,1126,1131,37.5
2,Bengaluru (Karnataka),57,57,1.4,76,76,1.9,1,1,0,0,0,0,489,489,12,674,682,16.6,623,631,15.3,4,4,0.1,5,5,0.1,42,42,1,4,9,0.1,321,322,7.9,314,315,7.7,7,7,0.2,0,0,0,3,3,0.1,0,0,0,820,839,20.2,556,565,13.7,151,161,3.7,50,50,1.2,18,18,0.4,45,45,1.1,51,51,1.3,2496,2529,61.5,727,727,17.9,152,238,3.7,128,208,3.2,4,6,0.1,15,18,0.4,5,6,0.1,0,0,0,0,0,0,37,37,0.9,916,1002,22.6,3412,3531,84
3,Chennai (Tamil Nadu),5,5,0.1,37,37,0.9,0,0,0,0,0,0,178,178,4.1,15,16,0.3,12,12,0.3,0,0,0,2,2,0,1,2,0,1,1,0,25,25,0.6,25,25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,63,63,1.5,43,43,1,7,7,0.2,0,0,0,3,3,0.1,10,10,0.2,3,3,0.1,327,328,7.6,9,9,0.2,205,318,4.8,188,293,4.4,0,0,0,17,25,0.4,0,0,0,0,0,0,0,0,0,3,3,0.1,217,330,5,544,658,12.6
4,Coimbatore (Tamil Nadu),1,1,0.1,0,0,0,0,0,0,0,0,0,37,37,3.5,4,4,0.4,0,0,0,0,0,0,2,2,0.2,2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1.8,18,18,1.7,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,61,61,5.7,0,0,0,41,66,3.8,16,25,1.5,7,7,0.7,0,0,0,0,0,0,18,34,1.7,0,0,0,0,0,0,41,66,3.8,102,127,9.5
5,Delhi,144,144,1.9,20,20,0.3,0,0,0,18,21,0.2,3645,3645,48.1,3364,3601,44.4,3088,3290,40.7,2,2,0,3,3,0,271,306,3.6,9,42,0.1,1996,2006,26.3,1916,1921,25.3,79,79,1,1,6,0,29,29,0.4,23,26,0.3,3746,3762,49.4,1740,1748,23,741,742,9.8,555,560,7.3,41,41,0.5,669,671,8.8,783,786,10.3,13777,14082,181.8,7,7,0.1,4,4,0.1,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,14,14,0.2,26,26,0.3,13803,14108,182.1
6,Ghaziabad (Uttar Pradesh),20,20,1.8,0,0,0,0,0,0,1,1,0.1,481,481,43.7,235,235,21.4,0,0,0,0,0,0,235,235,21.4,0,0,0,1,1,0.1,105,105,9.5,99,99,9,6,6,0.5,0,0,0,12,12,1.1,0,0,0,172,172,15.6,0,0,0,139,139,12.6,23,23,2.1,2,2,0.2,8,8,0.7,1,1,0.1,1028,1028,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.3,3,3,0.3,1031,1031,93.7
7,Hyderabad (Telangana),18,18,0.5,30,30,0.8,0,0,0,0,0,0,1311,1315,34.9,227,241,6,200,214,5.3,0,0,0,25,25,0.7,2,2,0.1,1,1,0,170,170,4.5,170,170,4.5,0,0,0,0,0,0,0,0,0,2,2,0.1,387,388,10.3,156,156,4.1,151,152,4,6,6,0.2,0,0,0,74,74,2,205,205,5.5,2351,2370,62.5,0,0,0,63,76,1.7,38,50,1,12,12,0.3,0,0,0,1,1,0,12,13,0.3,1,1,0,4,4,0.1,68,81,1.8,2419,2451,64.3
8,Indore (Madhya Pradesh),19,19,1.8,25,25,2.4,0,0,0,1,1,0.1,275,275,26.4,230,232,22.1,192,194,18.5,0,0,0,26,26,2.5,12,12,1.2,0,0,0,179,181,17.2,175,177,16.8,4,4,0.4,0,0,0,2,2,0.2,1,1,0.1,222,222,21.3,106,106,10.2,68,68,6.5,6,6,0.6,1,1,0.1,41,41,3.9,92,92,8.8,1046,1050,100.6,0,0,0,8,8,0.8,5,5,0.5,2,2,0.2,1,1,0.1,0,0,0,0,0,0,1,1,0.1,0,0,0,9,9,0.9,1055,1059,101.4
9,Jaipur (Rajasthan),31,31,2.1,9,9,0.6,0,0,0,1,1,0.1,1008,1008,69.5,377,378,26,152,152,10.5,0,0,0,31,31,2.1,194,195,13.4,0,0,0,330,330,22.8,317,317,21.9,13,13,0.9,0,0,0,4,4,0.3,0,0,0,301,301,20.8,257,257,17.7,28,28,1.9,6,6,0.4,0,0,0,10,10,0.7,0,0,0,2061,2062,142.1,1,1,0.1,10,14,0.7,4,4,0.3,0,0,0,0,0,0,0,0,0,6,10,0.4,0,0,0,18,18,1.2,29,33,2,2090,2095,144.1
10,Kanpur (Uttar Pradesh),50,50,3.7,12,12,0.9,0,0,0,1,1,0.1,365,365,27.2,312,312,23.3,0,0,0,0,0,0,312,312,23.3,0,0,0,0,0,0,54,54,4,48,48,3.6,6,6,0.4,0,0,0,1,1,0.1,0,0,0,154,154,11.5,0,0,0,91,91,6.8,15,15,1.1,4,4,0.3,44,44,3.3,1,1,0.1,950,950,70.9,79,79,5.9,1,1,0.1,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.5,100,100,7.5,1050,1050,78.4
11,Kochi (Kerala),1,1,0.1,0,0,0,0,0,0,0,0,0,111,111,10.3,8,9,0.7,0,0,0,1,1,0.1,6,7,0.6,1,1,0.1,6,48,0.6,62,62,5.7,58,58,5.4,4,4,0.4,0,0,0,0,0,0,0,0,0,162,162,15,0,0,0,162,162,15,0,0,0,0,0,0,0,0,0,23,23,2.1,373,416,34.5,0,0,0,14,18,1.3,0,0,0,0,0,0,0,0,0,14,18,1.3,0,0,0,2,2,0.2,3,3,0.3,19,23,1.8,392,439,36.3
12,Kolkata (West Bengal),10,10,0.1,21,21,0.3,0,0,0,2,2,0,886,886,13,120,209,1.8,39,104,0.6,2,2,0,10,10,0.1,69,93,1,10,22,0.1,15,15,0.2,14,14,0.2,1,1,0,0,0,0,3,3,0,0,0,0,348,348,5.1,147,147,2.2,68,68,1,26,26,0.4,20,20,0.3,87,87,1.3,243,243,3.6,1658,1759,24.4,0,0,0,5,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1,1,1,0,29,29,0.4,35,35,0.5,1693,1794,24.9
13,Kozhikode (Kerala),2,2,0.2,0,0,0,0,0,0,0,0,0,161,161,15.2,6,6,0.6,5,5,0.5,0,0,0,0,0,0,1,1,0.1,0,0,0,52,52,4.9,51,51,4.8,1,1,0.1,0,0,0,0,0,0,0,0,0,109,109,10.3,46,46,4.3,47,47,4.4,13,13,1.2,2,2,0.2,1,1,0.1,19,19,1.8,349,349,32.9,0,0,0,1,1,0.1,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,1,1,0.1,3,3,0.3,352,352,33.2
14,Lucknow (Uttar Pradesh),42,42,3,0,0,0,85,85,6.2,0,0,0,895,895,64.9,601,601,43.6,246,246,17.8,0,0,0,355,355,25.7,0,0,0,0,0,0,102,102,7.4,102,102,7.4,0,0,0,0,0,0,0,0,0,65,65,4.7,412,412,29.9,0,0,0,319,319,23.1,45,45,3.3,2,2,0.1,46,46,3.3,0,0,0,2202,2202,159.6,0,0,0,3,3,0.2,3,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.2,2205,2205,159.8
15,Mumbai (Maharashtra),12,12,0.1,27,27,0.3,0,0,0,0,0,0,587,587,6.9,1142,1202,13.4,1094,1154,12.8,0,0,0,13,13,0.2,35,35,0.4,0,0,0,712,716,8.4,698,702,8.2,14,14,0.2,0,0,0,1,1,0,11,12,0.1,2183,2199,25.6,1057,1064,12.4,672,675,7.9,67,68,0.8,28,28,0.3,359,364,4.2,425,454,5,5100,5210,59.9,2,2,0,26,49,0.3,4,10,0,0,0,0,14,28,0.2,2,4,0,6,7,0.1,0,0,0,0,0,0,28,51,0.3,5128,5261,60.2
16,Nagpur (Maharashtra),6,6,0.5,32,32,2.6,0,0,0,1,1,0.1,248,248,20.3,368,368,30.2,360,360,29.5,0,0,0,8,8,0.7,0,0,0,3,3,0.2,171,171,14,162,162,13.3,9,9,0.7,0,0,0,0,0,0,2,2,0.2,411,411,33.7,177,177,14.5,168,168,13.8,9,9,0.7,2,2,0.2,55,55,4.5,4,4,0.3,1246,1246,102.1,5,5,0.4,125,221,10.2,0,0,0,0,0,0,4,4,0.3,121,217,9.9,0,0,0,0,0,0,3,3,0.2,133,229,10.9,1379,1475,113
