S. No. (Col.1),City (Col.2),Murder (Section 302 IPC) - I (Col.3),Murder (Section 302 IPC) - V (Col.4),Abetment of suicide of child (Section 305 IPC) - I (Col.5),Abetment of suicide of child (Section 305 IPC) - V (Col.6),Attempt to commit murder (Section 307 IPC) - I (Col.7),Attempt to commit murder (Section 307 IPC) - V (Col.8),Infanticide (Section 315 IPC) - I (Col.9),Infanticide (Section 315 IPC) - V (Col.10),Foeticide (Section 316 IPC) - I (Col.11),Foeticide (Section 316 IPC) - V (Col.12),Exposure and Abandonment (Section 317 IPC) - I (Col.13),Exposure and Abandonment (Section 317 IPC) - V (Col.14),Kidnapping & Abduction of Children - Kidnapping & Abduction -Total - I (Col.15),Kidnapping & Abduction of Children - Kidnapping & Abduction -Total - V (Col.16),Kidnapping & Abduction of Children - Kidnapping & Abduction (Section 363 IPC) - I (Col.15A),Kidnapping & Abduction of Children - Kidnapping & Abduction (Section 363 IPC) - V (Col.16A),Kidnapping & Abduction of Children - Kidnapping & Abduction in order to Murder (Section 364 IPC) - I (Col.15B),Kidnapping & Abduction of Children - Kidnapping & Abduction in order to Murder (Section 364 IPC) - V (Col.16B),"Kidnapping & Abduction of Children - Kidnapping for Ransom, etc (Sec.364A IPC) - I (Col.15C)","Kidnapping & Abduction of Children - Kidnapping for Ransom, etc (Sec.364A IPC) - V (Col.16C)","Kidnapping & Abduction of Children - Kidnapping & Abduction of girls to compel her marriage, etc (Sec. 366 IPC) - I (Col.15D)","Kidnapping & Abduction of Children - Kidnapping & Abduction of girls to compel her marriage, etc (Sec. 366 IPC) - V (Col.16D)",Kidnapping & Abduction of Children - Procuration of minor girls (Sec.366-A IPC) - I (Col.15E),Kidnapping & Abduction of Children - Procuration of minor girls (Sec.366-A IPC) - V (Col.16E),Kidnapping & Abduction of Children - Importation of Girls from Foreign Country (Sec.366-B) - I (Col.15F),Kidnapping & Abduction of Children - Importation of Girls from Foreign Country (Sec.366-B) - V (Col.16F),"Kidnapping & Abduction of Children - Others (Sec.363A, 365, 367, 368 & 369) - I (Col.15G)","Kidnapping & Abduction of Children - Others (Sec.363A, 365, 367, 368 & 369) - V (Col.16G)",Human Trafficking (Sections 370 & 370A IPC) - I (Col.17),Human Trafficking (Sections 370 & 370A IPC) - V (Col.18),Selling of minors for prostitution (Section 372 IPC) - I (Col.19),Selling of minors for prostitution (Section 372 IPC) - V (Col.20),Buying of minors for prostitution (Section 373 IPC) - I (Col.21),Buying of minors for prostitution (Section 373 IPC) - V (Col.22),Un-natural Offences (Sec. 377 IPC) - I (Col.23),Un-natural Offences (Sec. 377 IPC) - V (Col.24),Total IPC Crimes* - I (Col.25),Total IPC Crimes* - V (Col.26),"Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Protection of Children from Sexual Offences Act (Total) - I (Col.27)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Protection of Children from Sexual Offences Act (Total) - V (Col.28)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Child Rape (Sec 4 & 6 of POCSO Act) / Section 376 IPC) - I (Col.27A)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Child Rape (Sec 4 & 6 of POCSO Act) / Section 376 IPC) - V (Col.28A)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Sexual Assault of Children (Sec.8 & 10 of POCSO Act) / Section 354 IPC) - I (Col.27B)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Sexual Assault of Children (Sec.8 & 10 of POCSO Act) / Section 354 IPC) - V (Col.28B)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Sexual Harass-ment (Sec.12 of POCSO Act) / Sec.509 of IPC** - I (Col.27C)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Sexual Harass-ment (Sec.12 of POCSO Act) / Sec.509 of IPC** - V (Col.28C)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Use of Child for Pornography/ Storing Child Pornography Material (Sec.14 & 15 of POCSO Act) - I (Col.27D)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Use of Child for Pornography/ Storing Child Pornography Material (Sec.14 & 15 of POCSO Act) - V (Col.28D)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Under Other Sections of POCSO Act - I (Col.27E)","Protection of Children from Sexual Offences Act ( r/w Section 376, 354, 509 IPC) - Under Other Sections of POCSO Act - V (Col.28E)","Juvenile Justice (Care and Protection of Children) Act, 2000*** - I (Col.29)","Juvenile Justice (Care and Protection of Children) Act, 2000*** - V (Col.30)",Immoral Traffic (Preven-tion) Act 1956 - I (Col.31),Immoral Traffic (Preven-tion) Act 1956 - V (Col.32),"Child Labour (Prohibition & Regulation) Act, 1986-Total - I (Col.33)","Child Labour (Prohibition & Regulation) Act, 1986-Total - V (Col.34)","Prohibition of Child Marriage Act, 2006 - I (Col.35)","Prohibition of Child Marriage Act, 2006 - V (Col.36)",Total SLL Crimes@ - I (Col.37),Total SLL Crimes@ - V (Col.38),Other Crime Against Children in Metropoli-tan Cities (IPC+SLL)@@ - I (Col.39),Other Crime Against Children in Metropoli-tan Cities (IPC+SLL)@@ - V (Col.40),Total Crime against Children (IPC+SLL) - I (Col.41),Total Crime against Children (IPC+SLL) - V (Col.42)
1,Ahmedabad (Gujarat),4,4,1,1,2,2,0,0,0,0,6,6,241,257,128,143,0,0,0,0,113,114,0,0,0,0,0,0,0,0,0,0,0,0,6,7,260,277,196,196,139,139,21,21,0,0,1,1,35,35,4,6,5,5,0,0,1,1,206,208,15,15,481,500
2,Bengaluru (Karnataka),10,11,0,0,2,2,0,0,1,1,27,27,871,888,818,834,0,0,5,5,2,2,0,0,0,0,46,47,1,1,0,0,0,0,1,1,913,931,308,320,233,239,47,50,0,0,1,1,27,30,44,84,0,0,23,46,3,3,378,453,42,80,1333,1464
3,Chennai (Tamil Nadu),2,3,0,0,0,0,0,0,0,0,0,0,16,18,11,12,0,0,2,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,18,21,156,169,93,101,42,46,6,6,0,0,15,16,7,7,0,0,0,0,4,4,167,180,45,45,230,246
4,Coimbatore (Tamil Nadu),2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,5,12,12,9,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,52,52,69,69
5,Delhi,36,37,0,0,11,11,2,2,7,7,24,24,5457,5770,5453,5766,0,0,2,2,1,1,1,1,0,0,0,0,17,79,2,2,1,1,111,112,5668,6045,1374,1392,724,739,610,613,40,40,0,0,0,0,73,195,1,1,8,8,1,1,1457,1597,267,288,7392,7930
6,Ghaziabad (Uttar Pradesh),1,1,0,0,0,0,0,0,0,0,0,0,92,92,17,17,3,3,0,0,72,72,0,0,0,0,0,0,1,1,1,1,0,0,7,7,102,102,28,28,20,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,130,130
7,Hyderabad (Andhra Pradesh),4,7,0,0,0,0,0,0,0,0,0,0,243,255,225,237,0,0,0,0,12,12,0,0,0,0,6,6,22,110,0,0,0,0,3,3,272,375,110,110,85,85,12,12,4,4,0,0,9,9,20,21,0,0,0,0,1,1,131,132,7,8,410,515
8,Indore (Madhya Pradesh),9,9,0,0,0,0,0,0,0,0,10,10,371,374,314,317,0,0,1,1,22,22,0,0,0,0,34,34,0,0,0,0,0,0,4,4,394,397,174,176,111,113,60,60,3,3,0,0,0,0,1,1,0,0,0,0,0,0,175,177,62,62,631,636
9,Jaipur (Rajasthan),2,2,0,0,0,0,0,0,1,1,3,3,430,438,182,189,0,0,0,0,17,17,0,0,0,0,231,232,0,0,0,0,0,0,1,1,437,445,104,104,65,65,31,31,0,0,0,0,8,8,113,483,0,0,9,11,0,0,226,598,36,40,699,1083
10,Kanpur (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,97,97,45,45,0,0,1,1,51,51,0,0,0,0,0,0,0,0,0,0,0,0,9,9,106,106,79,79,28,28,29,29,22,22,0,0,0,0,2,2,0,0,0,0,0,0,81,81,2,2,189,189
11,Kochi (Kerala),1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,4,4,0,0,0,0,1,1,4,19,0,0,0,0,8,8,18,33,55,56,25,25,30,31,0,0,0,0,0,0,3,5,0,0,0,0,0,0,58,61,10,11,86,105
12,Kolkata (West Bengal),5,5,1,1,0,0,0,0,0,0,0,0,161,166,51,52,0,0,0,0,5,5,51,51,2,3,52,55,0,0,11,21,0,0,1,1,179,194,126,126,47,47,29,29,9,9,1,1,40,40,4,4,0,0,4,4,0,0,134,134,4,4,317,332
13,Kozhikode (Kerala),2,2,0,0,0,0,0,0,0,0,1,1,8,9,6,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,15,16,59,59,28,28,28,28,3,3,0,0,0,0,6,6,0,0,0,0,0,0,65,65,12,12,92,93
14,Lucknow (Uttar Pradesh),9,9,0,0,0,0,1,1,0,0,0,0,844,844,556,556,1,1,1,1,286,286,0,0,0,0,0,0,0,0,0,0,0,0,11,11,865,865,81,81,32,32,43,43,6,6,0,0,0,0,5,5,0,0,0,0,0,0,86,86,5,5,956,956
15,Mumbai (Maharashtra),13,16,0,0,2,2,1,1,2,2,8,8,1864,1940,1836,1912,0,0,0,0,8,8,0,0,0,0,20,20,0,0,0,0,0,0,42,43,1932,2012,979,989,455,455,464,474,59,59,0,0,1,1,283,344,0,0,64,81,0,0,1326,1414,142,142,3400,3568
16,Nagpur (Maharashtra),5,5,0,0,2,2,0,0,0,0,4,4,464,471,456,463,0,0,0,0,8,8,0,0,0,0,0,0,3,3,1,1,0,0,8,8,487,494,152,153,81,81,59,59,5,6,0,0,7,7,0,0,6,6,0,0,3,3,161,162,45,51,693,707
17,Patna (Bihar),2,2,0,0,0,0,0,0,0,0,0,0,376,376,0,0,0,0,4,4,262,262,0,0,0,0,110,110,0,0,0,0,0,0,0,0,378,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,378
18,Pune (Maharashtra),10,10,0,0,5,5,0,0,1,1,4,4,747,800,459,483,0,0,2,2,41,42,0,0,0,0,245,273,1,2,0,0,0,0,12,12,780,834,351,358,185,187,156,161,3,3,0,0,7,7,0,0,1,2,0,0,0,0,352,360,48,53,1180,1247
