S. No. (Col.1),Category (Col.2),State/UT (Col.3),Total Number of Persons Arrested (Col.4),New offenders - Number* (Col.5),New offenders - Percentage To Total (Col.6),Old offenders Convicted in the Past - Once - Number (Col.7),Old offenders Convicted in the Past - Once - Percentage To Total (Col.8),Old offenders Convicted in the Past - Twice - Number (Col.9),Old offenders Convicted in the Past - Twice - Percentage To Total (Col.10),Old offenders Convicted in the Past - Thrice or More - Number (Col.11),Old offenders Convicted in the Past - Thrice or More - Percentage To Total (Col.12),Old offenders Convicted in the Past - Percentage of Recidivists (Col.13) = Col.8+Col.10+Col.12
1,State,Andhra Pradesh,155608,138053,88.7,16471,10.6,853,0.5,231,0.1,11.3
2,State,Arunachal Pradesh,2864,2622,91.6,231,8.1,11,0.4,0,0,8.4
3,State,Assam,115523,103518,89.6,11659,10.1,337,0.3,9,0,10.4
4,State,Bihar,233536,221715,94.9,9929,4.3,1564,0.7,328,0.1,5.1
5,State,Chhattisgarh,69305,64517,93.1,4143,6,506,0.7,139,0.2,6.9
6,State,Goa,2794,2784,99.6,3,0.1,6,0.2,1,0,0.4
7,State,Gujarat,198407,187765,94.6,8692,4.4,1737,0.9,213,0.1,5.4
8,State,Haryana,79748,71666,89.9,5737,7.2,2143,2.7,202,0.3,10.1
9,State,Himachal Pradesh,18088,17217,95.2,766,4.2,86,0.5,19,0.1,4.8
10,State,Jammu & Kashmir,36255,35998,99.3,227,0.6,30,0.1,0,0,0.7
11,State,Jharkhand,36483,26238,71.9,7490,20.5,2248,6.2,507,1.4,28.1
12,State,Karnataka,172918,172531,99.8,387,0.2,0,0,0,0,0.2
13,State,Kerala,299307,288332,96.3,9387,3.1,1372,0.5,216,0.1,3.7
14,State,Madhya Pradesh,389382,339759,87.3,35320,9.1,10137,2.6,4166,1.1,12.7
15,State,Maharashtra,327965,324146,98.8,3269,1,419,0.1,131,0,1.2
16,State,Manipur,1464,1455,99.4,9,0.6,0,0,0,0,0.6
17,State,Meghalaya,2112,2053,97.2,11,0.5,41,1.9,7,0.3,2.8
18,State,Mizoram,2704,2054,76,457,16.9,123,4.5,70,2.6,24
19,State,Nagaland,1143,1060,92.7,71,6.2,12,1,0,0,7.3
20,State,Odisha,98448,98448,100,0,0,0,0,0,0,0
21,State,Punjab,44037,41260,93.7,2260,5.1,388,0.9,129,0.3,6.3
22,State,Rajasthan,172990,159905,92.4,8435,4.9,3305,1.9,1345,0.8,7.6
23,State,Sikkim,831,755,90.9,68,8.2,6,0.7,2,0.2,9.1
24,State,Tamil Nadu,287033,267654,93.2,18841,6.6,482,0.2,56,0,6.8
25,State,Telangana,127300,111658,87.7,13605,10.7,1733,1.4,304,0.2,12.3
26,State,Tripura,4554,3221,70.7,1331,29.2,2,0,0,0,29.3
27,State,Uttar Pradesh,566208,554309,97.9,10049,1.8,1593,0.3,257,0,2.1
28,State,Uttarakhand,10278,9847,95.8,359,3.5,58,0.6,14,0.1,4.2
29,State,West Bengal,178051,164650,92.5,9654,5.4,2709,1.5,1038,0.6,7.5
Total (States),State,Total (States),3635336,3415190,93.9,178861,4.9,31901,0.9,9384,0.3,6.1
30,UT,A & N Islands,751,647,86.2,56,7.5,33,4.4,15,2,13.8
31,UT,Chandigarh,2822,1641,58.2,1076,38.1,83,2.9,22,0.8,41.8
32,UT,D&N Haveli,373,372,99.7,0,0,1,0.3,0,0,0.3
33,UT,Daman & Diu,382,381,99.7,1,0.3,0,0,0,0,0.3
34,UT,Delhi,93168,77253,82.9,11401,12.2,3538,3.8,976,1,17.1
35,UT,Lakshadweep,13,13,100,0,0,0,0,0,0,0
36,UT,Puducherry,5025,4489,89.3,454,9,52,1,30,0.6,10.7
Total (UTs),UT,Total (UTs),102534,84796,82.7,12988,12.7,3707,3.6,1043,1,17.3
Total (All India),Total (All India),Total (All India),3737870,3499986,93.6,191849,5.1,35608,1,10427,0.3,6.4
