S. No. (Col.1),Category (Col.2),State/UT (Col.3),Murder (Sec 302 IPC) (Col.4),Culpable Homicide not Amounting to Murder (Sec 304 IPC) (Col.5),Dowry Deaths (Sec 304B IPC) (Col.6),Infanticide (Section 315 IPC) (Col.7),Foeticide (Section 316 IPC) (Col.8),Attempt to Commit Murder (Section 307 IPC) (Col.9),Attempt to Commit Culpable Homicide (Sec 308 IPC) (Col.10),Grievous Hurt (Sec 325 & 326 IPC) (Col.11),Kidnapping & Abduction (Sec. 363 - 369 IPC)* (Col.12),Rape (Sec. 376 IPC) (Col.13),Attempt to Commit Rape (Sec 376 r/w 511 IPC) (Col.14),Rioting** (Sec 147 - 151 & 153A IPC) (Col.15),Robbery (Sec 392 to 394 IPC) (Col.16),Dacoity (Sec. 395 to 398 IPC) (Col.17),Arson (Sec 435 to 438 IPC) (Col.18),Total Violent Crimes (Col.19) = (Col. 4 to 18)
1,State,Andhra Pradesh,1123,83,193,10,1,1795,0,604,917,994,190,657,315,63,519,7464
2,State,Arunachal Pradesh,46,6,1,0,0,46,0,235,112,92,15,8,63,10,31,665
3,State,Assam,1149,34,157,0,1,1257,17,9844,6126,1779,370,1671,940,156,664,24165
4,State,Bihar,2581,150,987,0,0,6998,1364,12040,7324,1008,321,11617,1410,349,472,46621
5,State,Chhattisgarh,957,37,84,1,18,690,1,786,2071,1626,20,652,379,60,341,7723
6,State,Goa,30,12,2,0,0,18,0,85,106,61,0,117,14,7,17,469
7,State,Gujarat,1120,73,12,1,0,986,6,2481,2784,982,5,1659,1155,323,242,11829
8,State,Haryana,1057,42,260,1,4,889,6,2052,3932,1187,137,2844,734,177,1070,14392
9,State,Himachal Pradesh,101,3,3,0,0,66,1,371,290,252,3,395,11,3,94,1593
10,State,Jammu & Kashmir,142,22,6,0,2,574,0,184,810,256,17,3410,59,6,268,5756
11,State,Jharkhand,1514,31,278,0,0,885,6,1364,1309,1109,179,1721,551,210,143,9300
12,State,Karnataka,1573,77,234,2,2,2607,74,1272,2916,1655,16,6263,2157,329,471,19648
13,State,Kerala,305,132,25,0,0,622,2008,1895,241,1656,42,5089,908,71,554,13548
14,State,Madhya Pradesh,2004,136,629,14,19,2178,76,5403,7123,4882,63,1665,1602,125,800,26719
15,State,Maharashtra,2299,184,248,7,7,2619,3,7645,9333,4189,12,7898,6030,656,1338,42468
16,State,Manipur,78,4,0,0,0,211,2,219,145,55,3,119,15,1,59,911
17,State,Meghalaya,108,5,0,1,0,83,0,113,156,190,15,1,87,31,29,819
18,State,Mizoram,29,8,0,0,0,17,0,118,6,23,0,3,4,6,27,241
19,State,Nagaland,36,14,1,0,0,50,0,37,91,26,3,7,32,2,3,302
20,State,Odisha,1328,16,397,1,0,2778,0,4476,3046,1983,161,1914,2012,456,524,19092
21,State,Punjab,771,120,80,8,4,862,59,2213,1591,838,95,0,147,43,78,6909
22,State,Rajasthan,1551,81,462,14,21,1632,133,1335,5299,3656,340,293,970,66,370,16223
23,State,Sikkim,17,1,0,0,0,17,0,40,12,92,2,12,5,0,17,215
24,State,Tamil Nadu,1603,36,58,2,0,2666,4,612,1223,319,17,2002,1680,109,513,10844
25,State,Telangana,1046,137,254,6,0,1050,5,1187,1302,1278,44,511,671,62,451,8004
26,State,Tripura,145,2,19,0,0,58,0,925,139,207,16,78,22,1,34,1646
27,State,Uttar Pradesh,4889,1272,2473,21,52,5109,1849,12624,15898,4816,1958,8018,4502,284,1325,65090
28,State,Uttarakhand,194,29,57,0,4,212,2,65,790,336,6,481,128,17,9,2330
29,State,West Bengal,2044,392,535,0,0,11973,1058,18119,6045,1110,1646,2691,472,115,523,46723
Total (States),State,Total (States),29840,3139,7455,89,135,48948,6674,88344,81137,36657,5696,61796,27075,3738,10986,411709
30,UT,A & N Islands,14,1,0,0,0,15,2,27,26,30,0,8,5,0,9,137
31,UT,Chandigarh,26,6,4,0,1,40,4,41,180,68,4,40,54,5,8,481
32,UT,D&N Haveli,5,0,0,0,0,2,0,13,10,14,0,9,1,3,2,59
33,UT,Daman & Diu,4,1,0,0,0,3,2,10,21,12,0,9,2,1,2,67
34,UT,Delhi,528,54,162,4,8,646,845,529,6619,2155,29,79,4761,46,183,16648
35,UT,Lakshadweep,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,11
36,UT,Puducherry,33,2,0,0,0,12,0,75,15,6,0,33,8,2,1,187
Total (UTs),UT,Total (UTs),610,64,166,4,9,719,853,695,6871,2290,33,178,4831,57,210,17590
Total (All-India),Total (All-India),Total (All-India),30450,3203,7621,93,144,49667,7527,89039,88008,38947,5729,61974,31906,3795,11196,429299
