S. No,Cities,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,Ahmedabad (Gujarat),1847,698,2545,1909,737,2646,10,0,10,714,330,1044,14,0,14
2,Bengaluru (Karnataka),3584,1032,4616,3116,1011,4127,54,6,60,1587,563,2150,12,2,14
3,Chennai (Tamil Nadu),427,151,578,451,55,506,171,18,189,265,15,280,0,0,0
4,Coimbatore (Tamil Nadu),151,57,208,156,55,211,27,10,37,130,60,190,0,0,0
5,Delhi,11268,542,11810,8343,385,8728,867,17,884,1757,36,1793,165,14,179
6,Ghaziabad (Uttar Pradesh),2601,556,3157,1322,332,1654,294,64,358,398,45,443,0,0,0
7,Hyderabad (Telangana),1761,320,2081,1848,318,2166,46,2,48,533,120,653,1,0,1
8,Indore (Madhya Pradesh),1293,257,1550,1277,259,1536,303,41,344,532,23,555,10,1,11
9,Jaipur (Rajasthan),1210,127,1337,1231,147,1378,56,6,62,306,26,332,3,0,3
10,Kanpur (Uttar Pradesh),2841,288,3129,2087,204,2291,556,51,607,444,41,485,0,0,0
11,Kochi (Kerala),474,48,522,504,51,555,35,26,61,165,26,191,0,0,0
12,Kolkata (West Bengal),1516,374,1890,1044,231,1275,0,0,0,96,6,102,0,0,0
13,Kozhikode (Kerala),358,73,431,351,55,406,92,1,93,169,35,204,0,0,0
14,Lucknow (Uttar Pradesh),3280,0,3280,1108,0,1108,90,0,90,96,0,96,0,0,0
15,Mumbai (Maharashtra),4276,626,4902,4345,607,4952,246,14,260,795,183,978,33,3,36
16,Nagpur (Maharashtra),1366,458,1824,1356,294,1650,32,2,34,391,114,505,0,0,0
17,Patna (Bihar),1078,17,1095,2464,9,2473,29,0,29,383,3,386,0,0,0
18,Pune (Maharashtra),2021,493,2514,2077,481,2558,39,1,40,527,139,666,4,0,4
19,Surat (Gujarat),757,263,1020,790,252,1042,0,0,0,3,1,4,0,0,0
Total Cities,Total Cities,42109,6380,48489,35779,5483,41262,2947,259,3206,9291,1766,11057,242,20,262
