S. No.,Category,State/UT,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - 1-10 Crore,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - 10-25 Crore,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - 25-50 Crore,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - 50-100 Crore,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - Above 100 Crore,Cases where the loss of Property more than 1 Crore - Criminal Breach of Trust - Total,Cases where the loss of Property more than 1 Crore - Cheating - 1-10 Crore,Cases where the loss of Property more than 1 Crore - Cheating - 10-25 Crore,Cases where the loss of Property more than 1 Crore - Cheating - 25-50 Crore,Cases where the loss of Property more than 1 Crore - Cheating - 50-100 Crore,Cases where the loss of Property more than 1 Crore - Cheating Above 100 Crore,Cases where the loss of Property more than 1 Crore - Cheating - Total,Cases where the loss of Property more than 1 Crore - Fraud/Forgery - 1-10 Crore,Cases where the loss of Property more than 1 Crore - Fraud/Forgery - 10-25 Crore,Cases where the loss of Property more than 1 Crore - Fraud/Forgery - 25-50 Crore,Cases where the loss of Property more than 1 Crore - Fraud/Forgery - 50-100 Crore,Cases where the loss of Property more than 1 Crore - Fraud/Forgery,Cases where the loss of Property more than 1 Crore - Fraud/Forgery - Total,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - 1-10 Crore,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - 10-25 Crore,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - 25-50 Crore,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - 50-100 Crore,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - Above 100 Crore,Cases where the loss of Property more than 1 Crore - Grand Total (CBT + Cheating + Fraud/Forgery) - Total
1,State,Andhra Pradesh,21,0,1,0,0,22,13,0,0,1,0,14,0,0,0,0,0,0,34,0,1,1,0,36
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,98,0,0,0,0,98,186,0,0,0,0,186,55,0,0,0,0,55,339,0,0,0,0,339
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,6,0,0,0,0,6,55,0,1,0,0,56,0,0,0,0,0,0,61,0,1,0,0,62
6,State,Goa,0,0,0,0,0,0,7,0,0,1,0,8,0,0,0,0,0,0,7,0,0,1,0,8
7,State,Gujarat,31,1,1,0,0,33,54,2,0,0,0,56,9,0,0,0,0,9,94,3,1,0,0,98
8,State,Haryana,0,1,492,0,0,493,40,5,3,2,0,50,0,0,0,0,0,0,40,6,495,2,0,543
9,State,Himachal Pradesh,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,7,0,0,0,0,7,33,3,2,0,0,38,1,0,0,0,0,1,41,3,2,0,0,46
13,State,Kerala,2,0,0,0,0,2,53,3,0,1,0,57,2,0,0,0,0,2,57,3,0,1,0,61
14,State,Madhya Pradesh,39,0,0,0,0,39,120,0,0,0,0,120,1,0,0,0,0,1,160,0,0,0,0,160
15,State,Maharashtra,54,17,9,3,7,90,122,13,4,5,5,149,22,1,1,0,0,24,198,31,14,8,12,263
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
