S.No.,Category,State/UT,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total
1,State,Andhra Pradesh,6633,636,7269,4736,374,5110,345,13,358,2664,110,2774,177,0,177
2,State,Arunachal Pradesh,127,16,143,110,10,120,3,0,3,14,0,14,2,0,2
3,State,Assam,6779,33,6812,1745,5,1750,93,0,93,663,15,678,0,0,0
4,State,Bihar,8448,87,8535,9420,73,9493,232,0,232,1578,0,1578,10,0,10
5,State,Chhattisgarh,1794,93,1887,1824,87,1911,477,12,489,1008,24,1032,102,2,104
6,State,Goa,120,30,150,188,6,194,6,2,8,33,0,33,6,0,6
7,State,Gujarat,5562,476,6038,5287,475,5762,33,0,33,1111,42,1153,33,0,33
8,State,Haryana,4021,120,4141,3076,112,3188,481,5,486,1760,58,1818,0,0,0
9,State,Himachal Pradesh,265,23,288,226,26,252,50,2,52,178,11,189,8,0,8
10,State,Jammu & Kashmir,775,13,788,665,13,678,53,0,53,446,10,456,5,0,5
11,State,Jharkhand,3723,74,3797,2362,19,2381,249,3,252,878,11,889,9,0,9
12,State,Karnataka,5696,523,6219,4396,328,4724,110,5,115,1992,87,2079,26,0,26
13,State,Kerala,6151,280,6431,5635,208,5843,256,5,261,1683,52,1735,89,4,93
14,State,Madhya Pradesh,4347,179,4526,3823,169,3992,784,9,793,1973,50,2023,99,0,99
15,State,Maharashtra,12455,936,13391,13286,780,14066,504,10,514,3599,144,3743,79,3,82
16,State,Manipur,77,9,86,53,8,61,8,3,11,1,0,1,15,2,17
17,State,Meghalaya,142,7,149,141,17,158,31,0,31,30,1,31,25,0,25
18,State,Mizoram,120,22,142,91,20,111,39,12,51,1,1,2,0,0,0
19,State,Nagaland,131,7,138,111,10,121,36,5,41,9,1,10,16,2,18
20,State,Odisha,2952,85,3037,2962,81,3043,228,0,228,1489,19,1508,0,0,0
21,State,Punjab,4460,391,4851,4253,269,4522,900,41,941,2804,150,2954,145,24,169
22,State,Rajasthan,7733,456,8189,7904,462,8366,1004,32,1036,1630,70,1700,113,3,116
23,State,Sikkim,47,7,54,31,6,37,3,0,3,14,6,20,0,0,0
24,State,Tamil Nadu,3717,337,4054,3063,212,3275,227,13,240,1489,160,1649,18,0,18
25,State,Telangana,9118,393,9511,7731,277,8008,334,0,334,2868,90,2958,4,0,4
26,State,Tripura,129,9,138,98,3,101,11,0,11,64,0,64,5,0,5
27,State,Uttar Pradesh,40364,351,40715,27306,171,27477,3922,25,3947,3367,25,3392,26,3,29
28,State,Uttarakhand,870,44,914,812,43,855,135,0,135,195,5,200,0,0,0
29,State,West Bengal,8669,147,8816,6620,152,6772,57,0,57,1216,22,1238,0,0,0
Total (States),State,Total (States),145425,5784,151209,117955,4416,122371,10611,197,10808,34757,1164,35921,1012,43,1055
30,UT,A & N Islands,40,0,40,20,0,20,6,0,6,10,0,10,7,1,8
31,UT,Chandigarh,220,18,238,186,19,205,65,2,67,211,2,213,0,0,0
32,UT,D&N Haveli,32,3,35,40,3,43,0,0,0,28,1,29,0,0,0
33,UT,Daman & Diu,42,5,47,70,3,73,0,0,0,12,0,12,7,0,7
34,UT,Delhi,3198,131,3329,2059,53,2112,588,21,609,722,15,737,272,0,272
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,86,9,95,63,3,66,0,0,0,0,0,0,1,0,1
Total (UTs),UT,Total (UTs),3618,166,3784,2438,81,2519,659,23,682,983,18,1001,287,1,288
Total (All India),Total (All India),Total (All India),149043,5950,154993,120393,4497,124890,11270,220,11490,35740,1182,36922,1299,44,1343
