S. No.,Category ,Crime Head ,Persons Arrested - Male ,Persons Arrested - Female ,Persons Arrested - Total ,Persons Chargesheeted - Male ,Persons Chargesheeted - Female ,Persons Chargesheeted - Total ,Persons Convicted - Male ,Persons Convicted - Female ,Persons Convicted - Total ,Persons Acquitted - Male ,Persons Acquitted - Female ,Persons Acquitted - Total ,Persons Discharged - Male ,Persons Discharged - Female ,Persons Discharged - Total 
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,2068,58,2126,1826,51,1877,383,1,384,510,12,522,3,0,3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,1944,50,1994,1626,43,1669,76,2,78,359,25,384,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,2460,25,2485,2245,25,2270,467,0,467,728,1,729,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,2451,25,2476,2239,25,2264,467,0,467,728,1,729,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,4107,50,4157,3668,48,3716,284,0,284,946,8,954,2,0,2
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,2189,14,2203,1863,10,1873,149,0,149,287,3,290,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,389,6,395,318,7,325,5,0,5,27,0,27,2,0,2
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,24,0,24,21,0,21,0,0,0,4,0,4,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,158,0,158,162,0,162,4,0,4,19,0,19,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,1347,30,1377,1304,31,1335,126,0,126,609,5,614,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,77,0,77,56,0,56,2,0,2,15,0,15,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,1430,12,1442,996,10,1006,153,1,154,229,2,231,3,0,3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,191,1,192,148,1,149,38,0,38,66,0,66,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,18,0,18,15,0,15,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,18,0,18,18,0,18,2,0,2,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,1060,8,1068,670,6,676,104,1,105,110,2,112,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,143,3,146,145,3,148,9,0,9,53,0,53,1,0,1
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,3361,32,3393,2934,24,2958,415,0,415,929,8,937,3,0,3
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,164,1,165,110,1,111,5,0,5,17,0,17,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.9. Riots,9758,217,9975,7959,166,8125,243,0,243,1966,42,2008,34,3,37
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.10. Robbery,129,0,129,112,0,112,3,0,3,19,0,19,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.11. Dacoity,159,3,162,137,0,137,0,0,0,44,0,44,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.12. Arson,404,9,413,385,9,394,26,0,26,132,4,136,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.13. Other IPC Crimes *,38521,938,39459,32401,757,33158,3653,36,3689,8404,223,8627,81,14,95
2,SC / ST (Prevention of Atrocities) Act,2. SC / ST (Prevention of Atrocities) Act,10529,448,10977,9915,351,10266,1234,13,1247,5997,161,6158,17,1,18
Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),75111,1843,76954,64370,1485,65855,6944,53,6997,20295,486,20781,144,18,162
3,"Protection of Civil Rights Act, 1955","3. Protection of Civil Rights Act, 1955",43,1,44,68,1,69,4,0,4,306,0,306,0,0,0
Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),75154,1844,76998,64438,1486,65924,6948,53,7001,20601,486,21087,144,18,162
