S. No.,Category,State/UT,"Number of Cases Registered (U/S 224, 225 B)",Total Number of Persons Escaped from Police Custody,Persons Escaped from Lockup,Persons Escaped Outside the Lockup,Escapees Rearrested who Escaped - From Lockup,Escapees Rearrested who Escaped - Other than Lockup,Number of Persons Chargedsheeted for Offence of Escape,Disposal by Courts - Trials Completed - Cases Involved,Disposal by Courts - Trials Completed - Number of Persons,Disposal by Courts - Convicted - Cases Involved,Disposal by Courts - Convicted - Number of Persons,Disposal by Courts - Acquitted - Cases Involved,Disposal by Courts - Acquitted - Number of Persons,Disposal by Courts - Number Pending for Trial - Cases Involved,Disposal by Courts - Number Pending for Trial - Number of Persons
1,State,Andhra Pradesh,33,34,4,30,2,20,19,37,6,4,4,33,2,12,12
2,State,Arunachal Pradesh,8,18,14,4,13,4,9,0,0,0,0,0,0,2,6
3,State,Assam,39,42,8,34,8,14,10,3,3,3,3,0,0,4,4
4,State,Bihar,49,51,9,42,19,12,38,0,0,0,0,0,0,30,39
5,State,Chhattisgarh,27,28,1,27,1,18,16,0,0,0,0,0,0,14,13
6,State,Goa,3,3,0,3,0,2,3,1,1,1,1,0,0,3,4
7,State,Gujarat,39,48,15,33,15,27,52,0,1,0,0,0,1,25,39
8,State,Haryana,42,56,15,41,14,29,65,3,7,0,0,3,7,27,62
9,State,Himachal Pradesh,10,10,0,10,0,10,8,9,10,4,4,5,6,46,51
10,State,Jammu & Kashmir,18,23,13,10,9,7,11,1,1,1,1,0,0,12,16
11,State,Jharkhand,9,12,3,9,3,1,10,1,1,1,1,0,0,8,9
12,State,Karnataka,26,33,3,30,3,22,20,9,9,8,8,1,1,8,11
13,State,Kerala,51,58,7,51,5,46,65,2,2,2,2,0,0,31,40
14,State,Madhya Pradesh,111,133,26,107,14,81,93,0,0,0,0,0,0,65,79
15,State,Maharashtra,98,118,21,97,21,73,76,1,1,0,0,1,1,68,75
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,5,5,1,4,1,0,1,0,0,0,0,0,0,1,1
18,State,Mizoram,7,7,1,6,1,2,5,5,5,4,4,1,1,1,1
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,50,51,8,43,1,27,27,0,0,0,0,0,0,4,4
21,State,Punjab,56,64,9,55,3,29,56,21,37,9,13,12,24,29,46
22,State,Rajasthan,70,81,3,78,2,60,62,1,1,0,0,1,1,42,55
23,State,Sikkim,4,4,0,4,0,2,2,0,0,0,0,0,0,2,2
24,State,Tamil Nadu,24,24,2,22,1,17,12,3,3,3,3,0,0,8,8
25,State,Telangana,28,28,0,28,0,21,21,2,2,2,2,0,0,17,17
26,State,Tripura,4,7,3,4,0,3,4,215,415,57,83,158,332,2087,4522
27,State,Uttar Pradesh,282,327,34,293,27,235,260,13,13,13,13,0,0,207,239
28,State,Uttarakhand,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0
29,State,West Bengal,21,25,10,15,5,11,14,1,1,1,1,0,0,3,3
Total (States),State,Total (States),1118,1295,210,1085,168,773,959,328,519,113,143,215,376,2756,5358
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,5,5,0,5,0,5,5,8,8,7,7,1,1,9,20
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi,20,20,0,20,0,12,5,1,1,1,1,0,0,3,3
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),25,25,0,25,0,17,10,9,9,8,8,1,1,12,23
Total (All India),Total (All India),Total (All India),1143,1320,210,1110,168,790,969,337,528,121,151,216,377,2768,5381
