S. No. (Col.1),State/UT (Col.2),Murder (Section 302 IPC) - I (Col.3),Murder (Section 302 IPC) - V (Col.4),Murder (Section 302 IPC) - R (Col.5),Abetment of suicide of child (Section 305 IPC) - I (Col.6),Abetment of suicide of child (Section 305 IPC) - V (Col.7),Abetment of suicide of child (Section 305 IPC) - R (Col.8),Attempt to commit Murder (Section 307 IPC) - I (Col.9),Attempt to commit Murder (Section 307 IPC) - V (Col.10),Attempt to commit Murder (Section 307 IPC) - R (Col.11),Infanticide (Section 315 IPC) - I (Col.12),Infanticide (Section 315 IPC) - V (Col.13),Infanticide (Section 315 IPC) - R (Col.14),Foeticide (Section 316 IPC) - I (Col.15),Foeticide (Section 316 IPC) - V (Col.16),Foeticide (Section 316 IPC) - R (Col.17),Exposure and Abandonment (Section 317 IPC) - I (Col.18),Exposure and Abandonment (Section 317 IPC) - V (Col.19),Exposure and Abandonment (Section 317 IPC) - R (Col.20),Kidnapping & Abduction of Children - I (Col.21),Kidnapping & Abduction of Children - V (Col.22),Kidnapping & Abduction of Children - R (Col.23),Kidnapping & Abduction of Children - I (Col.21A),Kidnapping & Abduction of Children - V (Col.22A),Kidnapping & Abduction of Children - R (Col.23A),Kidnapping & Abduction of Children - I (Col.21B),Kidnapping & Abduction of Children - V (Col.22B),Kidnapping & Abduction of Children - R (Col.23B),Kidnapping & Abduction of Children - I (Col.21C),Kidnapping & Abduction of Children - V (Col.22C),Kidnapping & Abduction of Children - R (Col.23C),Kidnapping & Abduction of Children - I (Col.21D),Kidnapping & Abduction of Children - V (Col.22D),Kidnapping & Abduction of Children - R (Col.23D),Kidnapping & Abduction of Children - I (Col.21E),Kidnapping & Abduction of Children - V (Col.22E),Kidnapping & Abduction of Children - R (Col.23E),Kidnapping & Abduction of Children - I (Col.21F),Kidnapping & Abduction of Children - V (Col.22F),Kidnapping & Abduction of Children - R (Col.23F),Kidnapping & Abduction of Children - I (Col.21G),Kidnapping & Abduction of Children - V (Col.22G),Kidnapping & Abduction of Children - R (Col.23G),Human Trafficking (Sections 370 & 370A IPC) - I (Col.24),Human Trafficking (Sections 370 & 370A IPC) - V (Col.25),Human Trafficking (Sections 370 & 370A IPC) - R (Col.26),Selling of minors for prostitution (Sec 372 IPC) - I (Col.27),Selling of minors for prostitution (Sec 372 IPC) - V (Col.28),Selling of minors for prostitution (Sec 372 IPC) - R (Col.29),Buying of minors for prostitution (Sec 373 IPC) - I (Col.30),Buying of minors for prostitution (Sec 373 IPC) - V (Col.31),Buying of minors for prostitution (Sec 373 IPC) - R (Col.32),Unnatural Offences (Sec. 377 IPC) - I (Col.33),Unnatural Offences (Sec. 377 IPC) - V (Col.34),Unnatural Offences (Sec. 377 IPC) - R (Col.35),Total IPC Crimes* against Children - I (Col.36),Total IPC Crimes* against Children - V (Col.37),Total IPC Crimes* against Children - R (Col.38),"Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41A)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - I (Col.39B)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - V (Col.40B)","Protection of Children from Sexual Offences Act(POCSO) r/w Section 376, 354, 509 IPC - R (Col.41B)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41C)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41D)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - I (Col.39E)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - V (Col.40E)","Protection of Children from Sexual Offences Act(POCSO) r/w Sec 376, 354, 509 IPC - R (Col.41E)","Juvenile Justice (Care and Protection of Children) Act, 2000** - I (Col.42)","Juvenile Justice (Care and Protection of Children) Act, 2000** - V (Col.43)","Juvenile Justice (Care and Protection of Children) Act, 2000** - R (Col.44)",Immoral Traffic (Prevention) Act 1956 - I (Col.45),Immoral Traffic (Prevention) Act 1956 - V (Col.46),Immoral Traffic (Prevention) Act 1956 - R (Col.47),"Child Labour (Prohibition & Regulation) Act, 1986-Total - I (Col.48)","Child Labour (Prohibition & Regulation) Act, 1986-Total - V (Col.49)","Child Labour (Prohibition & Regulation) Act, 1986-Total - R (Col.50)","Prohibition of Child Marriage Act, 2006 - I (Col.51)","Prohibition of Child Marriage Act, 2006 - V (Col.52)","Prohibition of Child Marriage Act, 2006 - R (Col.53)",Total SLL Crimes against Children @ - I (Col.54),Total SLL Crimes against Children @ - V (Col.55),Total SLL Crimes against Children @ - R (Col.56),Other IPC Crimes Against Children (IPC +SLL) # - I (Col.57),Other IPC Crimes Against Children (IPC +SLL) # - V (Col.58),Other IPC Crimes Against Children (IPC +SLL) # - R (Col.59),Total IPC Crimes Against Children (IPC+SLL) - I (Col.60),Total IPC Crimes Against Children (IPC+SLL) - V (Col.61),Total IPC Crimes Against Children (IPC+SLL) - R (Col.62)
1,Andhra Pradesh,54,59,0.3,1,1,0,5,5,0,10,10,0.1,1,1,0,15,15,0.1,494,494,3.2,292,292,1.9,0,0,0,2,2,0,94,94,0.6,17,17,0.1,0,0,0,89,89,0.6,2,2,0,0,0,0,0,0,0,7,7,0,589,594,3.8,830,834,5.3,459,463,2.9,237,237,1.5,51,51,0.3,0,0,0,83,83,0.5,22,26,0.1,3,3,0,2,2,0,19,19,0.1,876,884,5.6,382,384,2.4,1847,1862,11.8
2,Arunachal Pradesh,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,60,11.9,28,31,6,0,0,0,0,0,0,5,5,1.1,2,2,0.4,0,0,0,21,22,4.5,0,0,0,0,0,0,0,0,0,0,0,0,57,61,12.1,59,60,12.6,49,50,10.5,8,8,1.7,0,0,0,0,0,0,2,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,59,60,12.6,17,18,3.6,133,139,28.3
3,Assam,35,35,0.3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2970,2970,25,502,502,4.2,5,5,0,11,11,0.1,676,676,5.7,1519,1519,12.8,0,0,0,257,257,2.2,32,32,0.3,31,31,0.3,0,0,0,7,7,0.1,3077,3077,25.9,821,821,6.9,586,586,4.9,159,159,1.3,19,19,0.2,0,0,0,57,57,0.5,15,15,0.1,2,2,0,2,2,0,23,23,0.2,863,863,7.3,24,24,0.2,3964,3964,33.3
4,Bihar,33,33,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,3257,7.3,252,252,0.6,1,1,0,11,11,0,2193,2193,4.9,0,0,0,0,0,0,800,800,1.8,14,62,0,0,0,0,0,0,0,9,9,0,3313,3361,7.4,233,233,0.5,170,170,0.4,26,26,0.1,2,2,0,0,0,0,35,35,0.1,12,80,0,2,2,0,0,0,0,0,0,0,247,315,0.6,372,372,0.8,3932,4048,8.8
5,Chhattisgarh,75,76,0.7,1,1,0,15,15,0.1,1,1,0,18,18,0.2,27,27,0.3,1989,2054,19.8,1324,1387,13.2,2,2,0,3,3,0,337,338,3.4,0,0,0,0,0,0,323,324,3.2,30,42,0.3,0,0,0,0,0,0,19,19,0.2,2175,2253,21.6,1570,1572,15.6,984,984,9.8,473,475,4.7,19,19,0.2,1,1,0,93,93,0.9,11,18,0.1,0,0,0,1,1,0,8,8,0.1,1590,1599,15.8,981,1033,9.8,4746,4885,47.2
6,Goa,3,3,0.6,0,0,0,1,1,0.2,0,0,0,0,0,0,2,2,0.4,88,102,16.9,87,99,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.2,0,0,0,0,0,0,0,0,0,1,1,0.2,95,109,18.3,75,75,14.4,40,40,7.7,29,29,5.6,6,6,1.2,0,0,0,0,0,0,1,3,0.2,0,0,0,3,4,0.6,0,0,0,79,82,15.2,56,61,10.8,230,252,44.2
7,Gujarat,79,94,0.4,2,2,0,5,5,0,1,1,0,0,0,0,64,65,0.3,1749,1815,8.5,910,958,4.4,0,0,0,8,8,0,761,766,3.7,0,0,0,0,0,0,70,83,0.3,0,0,0,0,0,0,0,0,0,20,21,0.1,1920,2003,9.3,1408,1414,6.8,1054,1059,5.1,210,210,1,7,7,0,1,1,0,136,137,0.7,165,177,0.8,7,7,0,7,25,0,12,12,0.1,1599,1635,7.7,118,137,0.6,3637,3775,17.6
8,Haryana,58,64,0.6,0,0,0,4,4,0,1,1,0,4,4,0,41,41,0.4,1282,1356,13.8,94,94,1,6,9,0.1,6,6,0.1,164,165,1.8,56,56,0.6,0,0,0,956,1026,10.3,4,4,0,0,0,0,0,0,0,59,59,0.6,1453,1533,15.7,1020,1020,11,532,532,5.7,346,346,3.7,67,67,0.7,0,0,0,75,75,0.8,43,43,0.5,0,0,0,0,0,0,14,14,0.2,1077,1077,11.6,569,584,6.1,3099,3194,33.4
9,Himachal Pradesh,3,3,0.1,0,0,0,1,1,0,0,0,0,0,0,0,8,8,0.4,230,252,10.6,64,76,3,3,3,0.1,0,0,0,120,127,5.6,0,0,0,0,0,0,43,46,2,0,0,0,0,0,0,0,0,0,4,4,0.2,246,268,11.4,205,209,9.5,146,150,6.8,54,54,2.5,0,0,0,0,0,0,5,5,0.2,7,7,0.3,0,0,0,0,0,0,0,0,0,212,216,9.8,9,9,0.4,467,493,21.6
10,Jammu & Kashmir,5,6,0.1,0,0,0,2,3,0,0,0,0,2,2,0,16,16,0.4,167,168,3.7,165,166,3.7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.1,197,200,4.4,25,25,0.6,21,21,0.5,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.6,0,0,0,222,225,4.9
11,Jharkhand,10,17,0.1,0,0,0,15,15,0.1,0,0,0,0,0,0,0,0,0,247,290,1.9,45,47,0.3,7,7,0.1,5,5,0,92,92,0.7,2,2,0,0,0,0,96,137,0.7,69,97,0.5,0,0,0,0,0,0,5,5,0,346,424,2.6,348,348,2.6,205,205,1.6,81,81,0.6,10,10,0.1,19,19,0.1,33,33,0.3,4,4,0,0,0,0,0,0,0,4,4,0,356,356,2.7,15,18,0.1,717,798,5.5
12,Karnataka,84,102,0.4,2,2,0,6,6,0,2,2,0,2,2,0,98,99,0.5,2144,2268,10.9,1895,2015,9.7,0,0,0,17,17,0.1,78,78,0.4,1,1,0,0,0,0,153,157,0.8,11,31,0.1,0,0,0,0,0,0,5,5,0,2354,2517,12,1565,1602,8,1136,1165,5.8,264,267,1.3,49,50,0.3,3,3,0,113,117,0.6,66,117,0.3,7,9,0,23,46,0.1,51,51,0.3,1712,1825,8.7,389,433,2,4455,4775,22.7
