S. No.,Category,State/UT,Number of Occasions of Lathi Charges by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,0,0,0,0,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0
4,State,Bihar,3,3,0,0,0,3
5,State,Chhattisgarh,0,0,0,0,0,0
6,State,Goa,2,2,0,0,0,5
7,State,Gujarat,0,0,0,0,0,0
8,State,Haryana,0,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0
10,State,Jammu & Kashmir,1959,1909,29,375,1,4502
11,State,Jharkhand,2,2,4,8,0,14
12,State,Karnataka,9,9,0,8,0,52
13,State,Kerala,1,1,0,4,0,3
14,State,Madhya Pradesh,1,1,0,33,0,16
15,State,Maharashtra,10,10,1,85,0,75
16,State,Manipur,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0
20,State,Odisha,0,0,0,0,0,0
21,State,Punjab,0,0,0,0,0,0
22,State,Rajasthan,2,2,0,0,0,11
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,0,0,0,0,0,0
25,State,Telangana,0,0,0,0,0,0
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,185,185,0,219,0,11
28,State,Uttarakhand,0,0,0,0,0,0
29,State,West Bengal,6,6,0,3,0,9
Total (States),State,Total (States),2180,2130,34,735,1,4701
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,3,3,1,20,0,0
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi,1,1,0,4,0,12
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),4,4,1,24,0,12
Total (All India),Total (All India),Total (All India),2184,2134,35,759,1,4713
