S. No.,Category,State/UT,Number of Occasions firing was Resorted to by the Police,Cases Registered,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,0,0,0,0,0,0
2,State,Arunachal Pradesh,3,3,3,13,1,17
3,State,Assam,1,1,16,0,0,17
4,State,Bihar,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,6,6,1,3,0,9
8,State,Haryana,22,11,22,107,0,22
9,State,Himachal Pradesh,0,0,0,0,0,0
10,State,Jammu & Kashmir,42,41,15,189,0,548
11,State,Jharkhand,1,1,1,0,0,3
12,State,Karnataka,8,8,2,16,0,36
13,State,Kerala,0,0,0,0,0,0
14,State,Madhya Pradesh,1,1,8,0,0,2
15,State,Maharashtra,44,44,11,19,0,36
16,State,Manipur,0,0,0,0,0,0
17,State,Meghalaya,1,1,1,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0
20,State,Odisha,5,5,5,0,0,0
21,State,Punjab,2,2,2,0,0,0
22,State,Rajasthan,25,25,1,1,1,16
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,1,0,0,0,0,0
25,State,Telangana,0,0,0,0,0,0
26,State,Tripura,0,0,0,0,0,0
27,State,Uttar Pradesh,19,19,3,1,2,12
28,State,Uttarakhand,0,0,0,0,0,0
29,State,West Bengal,2,2,0,2,0,9
Total (States),State,Total (States),183,170,91,351,4,727
30,UT,A & N Islands,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0
32,UT,D&N Haveli,0,0,0,0,0,0
33,UT,Daman & Diu,0,0,0,0,0,0
34,UT,Delhi,1,1,1,0,0,0
35,UT,Lakshadweep,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),1,1,1,0,0,0
Total (All India),Total (All India),Total (All India),184,171,92,351,4,727
