S. No. (Col.1),Category (Col.2),Crime Head (Col.3),Persons Arrested - Male (Col.4),Persons Arrested - Female (Col.5),Persons Arrested - Total (Col.6),Persons Chargesheeted - Male (Col.7),Persons Chargesheeted - Female (Col.8),Persons Chargesheeted - Total (Col.9),Persons Convicted - Male (Col.10),Persons Convicted - Female (Col.11),Persons Convicted - Total (Col.12),Persons Acquitted - Male (Col.13),Persons Acquitted - Female (Col.14),Persons Acquitted - Total (Col.15),Persons Discharged - Male (Col.16),Persons Discharged - Female (Col.17),Persons Discharged - Total (Col.18)
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,90,0,90,75,0,75,3,0,3,9,0,9,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,43,0,43,29,0,29,0,0,0,1,0,1,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,27,0,27,22,0,22,8,0,8,5,0,5,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,27,0,27,22,0,22,8,0,8,5,0,5,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,99,1,100,106,1,107,7,0,7,15,1,16,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,70,0,70,75,0,75,3,0,3,7,0,7,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,18,1,19,20,1,21,4,0,4,8,1,9,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,36,0,36,23,0,23,6,0,6,4,0,4,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,32,0,32,18,0,18,5,0,5,2,0,2,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,147,3,150,151,0,151,8,0,8,47,0,47,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.9. Riots,194,1,195,145,0,145,3,0,3,16,2,18,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.10. Robbery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.11. Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.12. Arson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.13. Other IPC Crimes *,1012,16,1028,583,14,597,107,0,107,151,2,153,2,0,2
2,SC / ST (Prevention of Atrocities) Act,2. SC / ST (Prevention of Atrocities) Act,494,63,557,467,58,525,2,0,2,117,5,122,3,1,4
Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),2143,84,2227,1602,73,1675,144,0,144,366,10,376,5,1,6
3,"Protection of Civil Rights Act, 1955","3. Protection of Civil Rights Act, 1955",2,0,2,2,0,2,0,0,0,6,0,6,0,0,0
Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),2145,84,2229,1604,73,1677,144,0,144,372,10,382,5,1,6
