S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage State Share to All-India (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Mid-Year Projected Population (in Lakhs) (2016)+ (Col.9),Rate of Total Cognizable Crimes (2016)++ (Col.10),Rank Based on Crime Rate (2016) (Col.11)
1,State,Andhra Pradesh,18,44,40,0.6,18,517.4,0.1,26
2,State,Arunachal Pradesh,1,7,10,0.1,25,13.2,0.8,10
3,State,Assam,264,212,343,4.9,4,325.8,1.1,7
4,State,Bihar,98,202,207,3,7,1043,0.2,18
5,State,Chhattisgarh,14,16,9,0.1,26,259.9,0,30
6,State,Goa,38,19,11,0.2,24,19.9,0.6,13
7,State,Gujarat,30,46,44,0.6,17,630.8,0.1,27
8,State,Haryana,1051,536,1286,18.4,3,276.1,4.7,2
9,State,Himachal Pradesh,71,70,58,0.8,15,71.2,0.8,9
10,State,Jammu & Kashmir,54,77,185,2.6,8,124.6,1.5,5
11,State,Jharkhand,108,159,106,1.5,11,338,0.3,15
12,State,Karnataka,49,87,148,2.1,10,625.7,0.2,17
13,State,Kerala,281,343,317,4.5,6,357.5,0.9,8
14,State,Madhya Pradesh,21,14,21,0.3,22,782.6,0,31
15,State,Maharashtra,237,162,178,2.5,9,1205.5,0.1,20
16,State,Manipur,640,548,335,4.8,5,26,12.9,1
17,State,Meghalaya,48,32,51,0.7,16,27.8,1.8,4
18,State,Mizoram,1,7,0,0,NA,10.7,0,NA
19,State,Nagaland,0,12,15,0.2,23,23.9,0.6,12
20,State,Odisha,13,37,25,0.4,20,425.9,0.1,28
21,State,Punjab,44,29,32,0.5,19,292,0.1,23
22,State,Rajasthan,116,113,82,1.2,14,732.8,0.1,21
23,State,Sikkim,4,1,0,0,NA,6.5,0,NA
24,State,Tamil Nadu,1612,1674,1827,26.2,1,695.2,2.6,3
25,State,Telangana,24,63,90,1.3,13,368.5,0.2,16
26,State,Tripura,2,9,7,0.1,28,38.4,0.2,19
27,State,Uttar Pradesh,429,1346,1414,20.2,2,2192.4,0.6,11
28,State,Uttarakhand,5,8,4,0.1,30,106.8,0,29
29,State,West Bengal,99,148,102,1.5,12,938.3,0.1,24
Total (States),State,Total (States),5372,6021,6947,99.4,NA,12476.2,0.6,NA
30,UT,A & N Islands,1,3,7,0.1,29,5.5,1.3,6
31,UT,Chandigarh,0,0,2,0,31,18,0.1,22
32,UT,D&N Haveli,0,0,0,0,NA,4.3,0,NA
33,UT,Daman & Diu,0,0,0,0,NA,3.3,0,NA
34,UT,Delhi,11,14,22,0.3,21,214.9,0.1,25
35,UT,Lakshadweep,0,0,0,0,NA,0.8,0,NA
36,UT,Puducherry,12,2,8,0.1,27,16.8,0.5,14
Total (UTs),UT,Total (UTs),24,19,39,0.6,NA,263.7,0.1,NA
Total (All India),Total (All India),Total (All India),5396,6040,6986,100,NA,12739.9,0.5,NA
