S. No.,Category,State/UT,SLL Offences (Involving Computer as Medium/Target) - Copy Right Act,"SLL Offences (Involving Computer as Medium/Target) - Trade Marks Act, 1999",SLL Offences (Involving Computer as Medium/Target) - Other SLL Offences,SLL Offences (Involving Computer as Medium/Target) - Total Cyber Crimes under SLL,Total Offences Under Cyber Crimes - IT Act,Total Offences Under Cyber Crimes - IPC,Total Offences Under Cyber Crimes - SLL,Total Offences Under Cyber Crimes - Total Cyber Crimes
1,State,Andhra Pradesh,35,0,0,35,396,185,35,616
2,State,Arunachal Pradesh,0,0,0,0,3,1,0,4
3,State,Assam,0,0,0,0,696,0,0,696
4,State,Bihar,0,0,0,0,299,10,0,309
5,State,Chhattisgarh,0,0,0,0,55,35,0,90
6,State,Goa,0,0,0,0,21,10,0,31
7,State,Gujarat,16,0,1,17,98,247,17,362
8,State,Haryana,7,1,0,8,386,7,8,401
9,State,Himachal Pradesh,8,0,0,8,23,0,8,31
10,State,Jammu & Kashmir,7,0,0,7,20,1,7,28
11,State,Jharkhand,0,0,0,0,259,0,0,259
12,State,Karnataka,7,0,0,7,1091,3,7,1101
13,State,Kerala,15,0,0,15,218,50,15,283
14,State,Madhya Pradesh,9,0,0,9,194,55,9,258
15,State,Maharashtra,12,1,2,15,359,2006,15,2380
16,State,Manipur,3,0,0,3,2,6,3,11
17,State,Meghalaya,0,0,0,0,39,0,0,39
18,State,Mizoram,0,0,0,0,1,0,0,1
19,State,Nagaland,0,0,0,0,2,0,0,2
20,State,Odisha,0,0,0,0,25,292,0,317
21,State,Punjab,5,0,0,5,95,2,5,102
22,State,Rajasthan,3,0,0,3,625,313,3,941
23,State,Sikkim,0,0,0,0,1,0,0,1
24,State,Tamil Nadu,14,0,0,14,104,26,14,144
25,State,Telangana,0,0,0,0,538,55,0,593
26,State,Tripura,0,0,0,0,3,5,0,8
27,State,Uttar Pradesh,2,0,0,2,2562,75,2,2639
28,State,Uttarakhand,0,0,0,0,58,4,0,62
29,State,West Bengal,38,0,0,38,349,91,38,478
Total (States),State,Total (States),181,2,3,186,8522,3479,186,12187
30,UT,A & N Islands,0,0,0,0,2,1,0,3
31,UT,Chandigarh,0,0,0,0,17,9,0,26
32,UT,D&N Haveli,0,0,0,0,1,0,0,1
33,UT,Daman & Diu,0,0,0,0,0,0,0,0
34,UT,Delhi,0,0,0,0,69,29,0,98
35,UT,Lakshadweep,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,2,0,0,2
Total (UTs),UT,Total (UTs),0,0,0,0,91,39,0,130
Total (All India),Total (All India),Total (All India),181,2,3,186,8613,3518,186,12317
