S. No.,City,Year - 2014,Year - 2015,Year - 2016,Percentage City Share to Total (2016),Rank Based on Incidence/ Percentage share (2016)
1,Ahmedabad (Gujarat),8,4,10,6.3,3
2,Bengaluru (Karnataka),11,12,10,6.3,4
3,Chennai (Tamil Nadu),0,0,0,0,NA
4,Coimbatore (Tamil Nadu),0,0,0,0,NA
5,Delhi,2,0,2,1.3,11
6,Ghaziabad (Uttar Pradesh),0,0,0,0,NA
7,Hyderabad (Telangana),8,16,21,13.2,2
8,Indore (Madhya Pradesh),10,8,6,3.8,6
9,Jaipur (Rajasthan),129,101,88,55.3,1
10,Kanpur (Uttar Pradesh),0,0,0,0,NA
11,Kochi (Kerala),0,2,2,1.3,9
12,Kolkata (West Bengal),2,4,2,1.3,10
13,Kozhikode (Kerala),3,0,0,0,NA
14,Lucknow (Uttar Pradesh),11,0,0,0,NA
15,Mumbai (Maharashtra),4,6,3,1.9,8
16,Nagpur (Maharashtra),9,4,5,3.1,7
17,Patna (Bihar),0,0,0,0,NA
18,Pune (Maharashtra),0,1,1,0.6,12
19,Surat (Gujarat),2,11,9,5.7,5
Total Cities,Total Cities,199,169,159,100,NA
